VALUE	SESSIONLENGTH	TIMEONPAGE	FREQUENCY	TIMER
1080	3.918	85967.68707	2893654	TTFB
130	3.565	55284.25907	6415567	TTFB
350	4.502	67985.82523	6540911	TTFB
3130	3.742	132983.3557	279583	TTFB
28250	2.664	109160.1052	734	TTFB
14040	3.436	224013.4462	4529	TTFB
23880	2.714	97144.72013	1083	TTFB
25410	2.862	112053.5454	946	TTFB
5820	3.351	85697.03011	51065	TTFB
23390	3.417	133692.7198	1211	TTFB
27750	3.113	108868.7042	732	TTFB
9700	3.177	93309.84316	12674	TTFB
12130	3.142	148507.4855	7249	TTFB
18930	4.152	95290.8726	2133	TTFB
18100	3.682	150988.3722	2324	TTFB
10130	3.229	82503.94787	11442	TTFB
9240	3.028	81462.80768	14701	TTFB
16920	3.045	328184.2722	3012	TTFB
17670	2.94	101871.4595	2525	TTFB
16210	2.988	112933.312	3343	TTFB
20140	2.962	85964.64992	1997	TTFB
22690	2.675	109174.7286	1342	TTFB
25360	2.962	117516.556	954	TTFB
25240	2.533	104047.0501	930	TTFB
7260	3.485	112817.9326	27640	TTFB
4030	3.655	112214.372	132606	TTFB
8250	3.241	69180.18794	19593	TTFB
16970	3.332	202940.3671	2844	TTFB
6770	3.449	100091.7905	34853	TTFB
13430	3.164	84437.76566	5295	TTFB
12750	3.092	126081.0333	6087	TTFB
27280	2.734	109988.2498	783	TTFB
23840	3.06	104313.6992	1115	TTFB
27480	2.579	107353.4876	773	TTFB
16180	2.746	84097.16729	3394	TTFB
24700	2.433	100152.5118	1015	TTFB
12030	3.005	86415.01985	7549	TTFB
29190	2.732	91800.30608	661	TTFB
27450	2.861	113800.0206	766	TTFB
2380	3.871	144828.7038	578646	TTFB
4500	3.666	95868.814	96590	TTFB
4990	3.548	94948.79228	70997	TTFB
8880	3.181	80641.94486	15646	TTFB
13980	3.211	86003.89384	4638	TTFB
21730	3.243	93765.69304	1671	TTFB
24890	2.948	103822.9818	967	TTFB
26550	2.616	110038.0459	830	TTFB
29530	3.065	102554.3506	626	TTFB
760	4.066	83272.61181	4491147	TTFB
10690	3.258	95735.74448	10954	TTFB
11590	3.276	76850.15189	8125	TTFB
15500	3.258	84080.64526	3773	TTFB
17760	3.064	89971.48424	2386	TTFB
16610	3	84823.04017	3227	TTFB
25940	3.122	108153.5531	893	TTFB
25810	2.71	108703.3038	930	TTFB
21650	3.511	95212.28688	1656	TTFB
15940	2.998	85428.70232	3528	TTFB
10500	3.163	71154.1968	11636	TTFB
26800	2.956	110351.3733	841	TTFB
21340	4.251	231923.4637	1803	TTFB
2220	3.925	117901.6291	689696	TTFB
800	4.037	78720.97164	4272931	TTFB
13800	3.063	83561.25608	4997	TTFB
7550	3.487	83355.81685	24753	TTFB
12630	3.266	107971.2491	6340	TTFB
9320	3.351	113276.5334	14550	TTFB
24540	2.814	105751.2012	1101	TTFB
21070	3.204	120600.8628	1841	TTFB
17540	2.78	226588.7972	2572	TTFB
11710	3.067	118003.6171	8271	TTFB
20520	3.069	120985.6691	1941	TTFB
24120	2.743	108587.671	1071	TTFB
14000	3.119	83570.45399	4497	TTFB
2770	3.849	112328.9844	391887	TTFB
7040	3.381	92390.80498	30635	TTFB
5360	3.541	100493.1291	62741	TTFB
18530	3.068	92180.09031	2275	TTFB
28150	2.682	104032.717	680	TTFB
7130	3.462	76852.42005	29189	TTFB
18510	2.971	89617.19112	2279	TTFB
23810	3.973	248446.2937	1124	TTFB
17060	3.208	141984.6289	2901	TTFB
23700	2.883	102638.3651	1167	TTFB
24620	2.754	100891.1062	1018	TTFB
26590	2.878	110662.7478	763	TTFB
2560	3.879	96773.25155	479977	TTFB
2320	3.876	105055.85	617945	TTFB
6880	3.393	113318.0508	33087	TTFB
12910	3.01	81995.08454	5982	TTFB
2900	3.829	91707.82101	346256	TTFB
6480	3.404	92076.18043	39794	TTFB
21850	3.183	142762.2173	1585	TTFB
9600	3.281	90039.36426	13164	TTFB
12870	3.153	90272.92317	5841	TTFB
13190	3.199	80202.68346	5652	TTFB
24810	2.887	105454.2425	1055	TTFB
24590	3.287	105647.5	1043	TTFB
23220	2.89	106254.431	1251	TTFB
25930	3.224	98215.35413	939	TTFB
19680	2.897	95109.9952	1915	TTFB
10650	3.169	99688.33885	11073	TTFB
22260	3.041	99925.27271	1493	TTFB
26180	2.99	98716.62999	876	TTFB
940	3.961	82409.81737	3524275	TTFB
1160	3.927	79308.6785	2584618	TTFB
1050	3.924	83995.47823	3025092	TTFB
1730	3.942	80901.07723	1225448	TTFB
8310	3.333	67699.14296	19019	TTFB
9030	3.449	74740.57759	14882	TTFB
15290	3.023	230223.4318	3831	TTFB
12800	3.141	80369.81525	6154	TTFB
11990	3.136	111849.0989	7864	TTFB
14690	2.913	84882.29323	4082	TTFB
24500	2.917	558823.7269	990	TTFB
26510	2.877	106488.1997	803	TTFB
25880	2.368	100986.9053	908	TTFB
12160	3.052	449075.8614	7226	TTFB
2040	3.911	111815.831	845594	TTFB
5490	3.466	178751.9706	59496	TTFB
22780	2.953	98040.11126	1331	TTFB
27910	2.385	101752.9265	742	TTFB
29990	3.09	133453.7218	598	TTFB
16140	2.886	92021.47667	3437	TTFB
27610	3.055	105222.128	753	TTFB
17120	2.907	187631.4217	2824	TTFB
1010	3.954	74017.34729	3205410	TTFB
1360	3.941	79832.56557	1972850	TTFB
2210	3.893	105192.4315	700881	TTFB
4950	3.652	91209.41135	72965	TTFB
3260	3.766	102321.6661	251996	TTFB
7470	3.609	95378.76796	25577	TTFB
4580	3.54	114064.7326	91814	TTFB
7330	3.44	81822.07514	27403	TTFB
24250	2.628	100602.2426	1052	TTFB
18960	3.135	94518.27587	2022	TTFB
18140	3.072	90977.21529	2281	TTFB
22830	3.418	101786.1863	1331	TTFB
12380	3.484	96647.16317	6816	TTFB
9000	3.529	105843.6602	14857	TTFB
27860	2.689	102183.4058	714	TTFB
730	4.094	75783.22503	4676404	TTFB
14370	3.171	192589.997	4204	TTFB
7310	3.569	221534.7343	27425	TTFB
14890	3.377	84736.131	3854	TTFB
16300	3.258	89657.7012	3346	TTFB
24970	2.826	157875.064	1013	TTFB
20270	2.797	93954.57066	1966	TTFB
26670	2.965	115628.9294	850	TTFB
260	4.442	65301.87194	6715610	TTFB
1910	3.932	119023.6435	986202	TTFB
6700	3.406	78170.67429	36321	TTFB
5710	3.361	99327.52551	55079	TTFB
26310	2.96	734670.2655	856	TTFB
14140	3.226	153500.8663	4502	TTFB
19190	3.004	133444.9193	1988	TTFB
23520	3.092	101137.6277	1183	TTFB
23640	3.864	94770.01797	1186	TTFB
21110	2.871	98758.26489	1770	TTFB
1920	3.98	97921.38391	974201	TTFB
2020	3.915	97868.94974	864818	TTFB
14260	3.522	85493.47725	4361	TTFB
4730	3.602	102676.2856	83308	TTFB
7940	3.345	118610.1564	21056	TTFB
19160	3.05	94863.9453	2074	TTFB
17800	2.738	91022.62127	2417	TTFB
25300	2.596	102696.7136	915	TTFB
18890	2.845	95095.10035	2116	TTFB
21550	2.912	93020.25284	1677	TTFB
24240	2.551	100375.943	1126	TTFB
29980	2.682	103765.3346	618	TTFB
29100	2.414	93890.15678	682	TTFB
28580	2.497	96058.06594	697	TTFB
9210	3.158	67609.29896	15249	TTFB
19130	3.162	146753.6625	2032	TTFB
1000	3.931	79634.52403	3242005	TTFB
6120	3.371	105075.6865	45007	TTFB
