"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","session_length","sessions","beacons","non_bounce_sessions","bounces","page_visit_time","session_duration","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop",0,100,46778.965776101,485,4.096,1,2,6,2.253,0.813664691,1392,13.0,3.681,1392,4429,137,706,167,971,56.25,16.18,"0 - 100 ms",0.3484195402298851,1.0,3
"article","Desktop",0,200,77985.103542891,120,4.35,1,3,5,4.075,0.806515482,280,149.0,5.939,280,1412,46,72,222,1480,30.77,24.67,"100 - 200 ms",0.42857142857142855,1.0,3
"article","Desktop",0,300,15464.006009095,656,4.48,1,3,6,5.385,0.75950159,1077,270.0,8.114,1077,7883,196,42,137,1348,4.77,22.47,"200 - 300 ms",0.6090993500464252,1.0,3
"article","Desktop",0,400,7844.32980567,2742,4.701,1,3,6,5.798,0.732869068,4048,363.0,8.982,4048,33591,691,107,126,1404,3.19,23.4,"300 - 400 ms",0.6773715415019763,1.0,3
"article","Desktop",0,500,6483.73993265,6982,4.603,2,3,6,5.681,0.712863374,9921,462.0,8.921,9921,82737,1449,270,118,1261,3.19,21.02,"400 - 500 ms",0.7037597016429795,1.0,3
"article","Desktop",0,600,6086.030329074,15514,4.576,2,3,6,5.322,0.698337171,21944,560.0,8.558,21944,177669,2534,696,122,1236,3.59,20.6,"500 - 600 ms",0.706981407218374,1.0,3
"article","Desktop",0,700,5660.565173239,31084,4.626,2,3,6,5.205,0.683596207,42961,657.0,8.552,42961,349843,4294,1295,129,1306,3.35,21.77,"600 - 700 ms",0.7235399548427643,1.0,3
"article","Desktop",0,800,5924.648699216,49069,4.603,2,3,6,5.044,0.682410943,68370,756.0,8.347,68370,543687,6730,1877,139,1358,3.05,22.63,"700 - 800 ms",0.7176978206815855,1.0,3
"article","Desktop",0,900,6325.899789569,74318,4.527,1,3,6,4.917,0.683059879,104011,856.0,8.153,104011,808133,10191,2810,149,1421,3.0,23.68,"800 - 900 ms",0.7145205795540857,1.0,3
"article","Desktop",0,1000,6741.575402293,107284,4.524,1,3,6,4.845,0.682846422,150817,955.0,8.063,150817,1157659,15084,4777,154,1454,3.52,24.23,"0.9 - 1.0 s",0.7113521685221162,1.0,3
"article","Desktop",0,1100,7093.16069761,143771,4.448,1,3,6,4.771,0.686973346,204089,1054.0,7.905,204089,1534172,20806,8024,157,1450,4.38,24.17,"1.0 - 1.1 s",0.7044524692658595,1.0,3
"article","Desktop",0,1200,7485.875666653,185743,4.468,1,3,6,4.729,0.688994143,266163,1153.0,7.848,266163,1984739,27910,12786,159,1472,5.37,24.53,"1.1 - 1.2 s",0.6978543223513411,1.0,3
"article","Desktop",0,1300,7853.290047099,228569,4.488,1,3,6,4.689,0.690818752,330892,1253.0,7.79,330892,2448919,35027,18822,161,1484,6.36,24.73,"1.2 - 1.3 s",0.6907661714396238,1.0,3
"article","Desktop",0,1400,8181.888760907,269896,4.5,1,3,6,4.625,0.692796229,394915,1353.0,7.702,394915,2887645,42057,26330,164,1503,7.46,25.05,"1.3 - 1.4 s",0.683428079460137,1.0,3
"article","Desktop",0,1500,8508.223256412,308276,4.503,1,3,6,4.59,0.69548356,456014,1452.0,7.635,456014,3301526,49319,34905,165,1515,8.58,25.25,"1.4 - 1.5 s",0.6760231045538075,1.0,3
"article","Desktop",0,1600,8827.939167608,341463,4.513,1,3,6,4.545,0.698260082,511006,1552.0,7.561,511006,3659725,56485,43953,167,1525,9.67,25.42,"1.5 - 1.6 s",0.6682172029291241,1.0,3
"article","Desktop",0,1700,9135.31797529,371623,4.524,1,3,6,4.502,0.700017425,561318,1652.0,7.498,561318,3984824,62837,53444,169,1541,10.72,25.68,"1.6 - 1.7 s",0.6620543078967716,1.0,3
"article","Desktop",0,1800,9518.507809936,395218,4.528,1,3,6,4.488,0.703216927,603038,1751.0,7.456,603038,4249092,68114,62422,170,1548,11.67,25.8,"1.7 - 1.8 s",0.6553782680361768,1.0,3
"article","Desktop",0,1900,9929.284687137,412419,4.539,1,3,6,4.45,0.705357194,635520,1851.0,7.396,635520,4434099,73790,71109,171,1560,12.66,26.0,"1.8 - 1.9 s",0.6489473187311178,1.0,3
"article","Desktop",0,2000,10367.218166914,421689,4.527,1,3,6,4.421,0.708463893,656745,1951.0,7.328,656745,4533744,76723,79039,172,1558,13.63,25.97,"1.9 - 2.0 s",0.642089395427449,1.0,3
"article","Desktop",0,2100,10801.571275528,425364,4.51,1,3,6,4.391,0.711836342,669243,2051.0,7.258,669243,4566806,79851,86321,172,1555,14.65,25.92,"2.0 - 2.1 s",0.6355897633594972,1.0,3
"article","Desktop",0,2200,11262.550703501,421464,4.511,1,3,6,4.367,0.714964674,670837,2151.0,7.201,670837,4534072,81131,92034,173,1561,15.61,26.02,"2.1 - 2.2 s",0.6282658827703302,1.0,3
"article","Desktop",0,2300,11702.455889204,413395,4.49,1,3,6,4.326,0.71786025,664853,2250.0,7.118,664853,4434048,81423,96625,172,1548,16.56,25.8,"2.2 - 2.3 s",0.6217840635448738,1.0,3
"article","Desktop",0,2400,12197.427080416,402346,4.471,1,3,6,4.286,0.720995142,654413,2350.0,7.036,654413,4307257,80545,100155,173,1540,17.45,25.67,"2.3 - 2.4 s",0.614819693374062,1.0,3
