"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","non_bounce_sessions","page_visit_time","session_duration","session_length","sessions","bounces","beacons","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop","0","100","1171.820329708","69340","3.647","1","2","5","3.752","0.837132309","168858","61.0","9022","44","330","5.249","168858","27671","863737","17.31","5.5","0 - 100 ms","0.4106408935318433","0.45314564657031","5"
"article","Desktop","0","200","1031.560580357","67930","3.623","1","2","5","3.125","0.853075427","187885","148.0","5975","34","260","4.435","187885","51632","813464","28.38","4.33","100 - 200 ms","0.3615509487186311","0.45314564657031","5"
"article","Desktop","0","300","1019.191950359","65524","3.783","1","2","5","3.147","0.839222471","171031","250.0","5315","35","277","4.596","171031","48948","767001","29.54","4.62","200 - 300 ms","0.3831118335272553","0.45314564657031","5"
"article","Desktop","0","400","991.992663414","62878","3.552","1","2","5","2.887","0.834214901","166369","350.0","4582","34","254","4.23","166369","51317","686837","31.72","4.23","300 - 400 ms","0.37794300620908944","0.45314564657031","5"
"article","Desktop","0","500","1007.803611797","62230","3.259","1","2","4","2.655","0.824743199","162329","450.0","4121","33","230","3.905","162329","53820","619949","34.02","3.83","400 - 500 ms","0.38335725594317716","0.45314564657031","5"
"article","Desktop","0","600","1030.831641279","60945","3.076","1","2","4","2.513","0.814651376","154981","550.0","3479","32","217","3.722","154981","53969","564786","35.62","3.62","500 - 600 ms","0.39324175221478763","0.45314564657031","5"
"article","Desktop","0","700","1084.162890268","59070","3.048","1","2","4","2.466","0.802621593","143630","649.0","3105","32","218","3.72","143630","50418","522053","35.88","3.63","600 - 700 ms","0.41126505604678687","0.45314564657031","5"
"article","Desktop","0","800","1138.646132674","56234","3.027","1","2","4","2.522","0.793540844","130832","749.0","2898","33","226","3.823","130832","45822","488656","35.82","3.77","700 - 800 ms","0.4298183930536872","0.45314564657031","5"
"article","Desktop","0","900","1196.341070985","54384","3.136","1","2","4","2.637","0.781123935","119516","849.0","2650","34","243","4.064","119516","40229","475652","34.42","4.05","800 - 900 ms","0.4550353090799558","0.45314564657031","5"
"article","Desktop","0","1000","1250.866446682","52778","3.158","1","2","4","2.706","0.770800017","110321","950.0","2613","35","253","4.217","110321","35928","454431","33.36","4.22","0.9 - 1.0 s","0.47840393034870965","0.45314564657031","5"
"article","Desktop","0","1100","1295.333922678","51119","3.184","1","2","4","2.763","0.761011218","102129","1050.0","2462","37","265","4.357","102129","31775","434393","31.88","4.42","1.0 - 1.1 s","0.5005336388293237","0.45314564657031","5"
"article","Desktop","0","1200","1361.58672114","50072","3.125","1","2","4","2.735","0.755031728","98000","1149.0","2394","37","267","4.332","98000","30483","414760","31.88","4.45","1.1 - 1.2 s","0.5109387755102041","0.45314564657031","5"
"article","Desktop","0","1300","1413.52493455","48289","3.086","1","2","4","2.688","0.752419089","93912","1250.0","2169","36","263","4.275","93912","29842","392435","32.53","4.38","1.2 - 1.3 s","0.5141941391941391","0.45314564657031","5"
"article","Desktop","0","1400","1474.50619114","46805","3.013","1","2","4","2.659","0.742658386","88020","1350.0","2143","37","264","4.262","88020","27063","366418","31.51","4.4","1.3 - 1.4 s","0.5317541467848216","0.45314564657031","5"
"article","Desktop","0","1500","1532.854253962","44424","2.953","1","1","3","2.627","0.741716323","83322","1450.0","2088","37","263","4.201","83322","26071","341655","32.09","4.38","1.4 - 1.5 s","0.5331605098293368","0.45314564657031","5"
