"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","non_bounce_sessions","page_visit_time","session_duration","session_length","sessions","bounces","beacons","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop","0","100","1272.905462796","24741","3.382","1","2","4","4.312","0.858202618","63014","61.0","1282","48","332","5.64","63014","795","348476","1.29","5.53","0 - 100 ms","0.39262703526200526","0.5037030099181908","5"
"article","Desktop","0","200","1457.949742102","28128","3.784","1","2","5","4.622","0.81667346","57472","152.0","1905","50","393","6.474","57472","2276","362432","4.1","6.55","100 - 200 ms","0.48942093541202675","0.5037030099181908","5"
"article","Desktop","0","300","1099.947357621","56476","4.198","1","3","6","4.235","0.773458558","104817","259.0","3239","44","388","6.497","104817","15663","664203","15.42","6.47","200 - 300 ms","0.5388057280784605","0.5037030099181908","5"
"article","Desktop","0","400","1078.49451256","85774","3.699","1","2","5","3.42","0.768361112","166387","354.0","4059","38","312","5.327","166387","36353","866338","22.39","5.2","300 - 400 ms","0.5155090241425111","0.5037030099181908","5"
"article","Desktop","0","500","1221.920481006","94744","3.261","1","2","4","2.926","0.764183874","187439","451.0","4004","35","266","4.574","187439","48998","838493","26.71","4.43","400 - 500 ms","0.5054657781998411","0.5037030099181908","5"
"article","Desktop","0","600","1397.127542075","90693","2.983","1","1","3","2.64","0.758698457","179904","549.0","3690","33","240","4.144","179904","51401","730436","29.17","4.0","500 - 600 ms","0.5041188633938101","0.5037030099181908","5"
"article","Desktop","0","700","1614.409325199","78748","2.771","1","1","3","2.432","0.754135633","156176","648.0","3156","32","224","3.83","156176","47111","584526","30.79","3.73","600 - 700 ms","0.5042260014342793","0.5037030099181908","5"
"article","Desktop","0","800","1827.480046739","65563","2.635","1","1","3","2.304","0.752328515","130376","748.0","2614","32","211","3.629","130376","41306","461988","32.33","3.52","700 - 800 ms","0.5028762962508437","0.5037030099181908","5"
"article","Desktop","0","900","2047.307553912","53577","2.565","1","1","3","2.24","0.749853321","106188","848.0","2246","32","212","3.535","106188","34236","366093","32.94","3.53","800 - 900 ms","0.5045485365578032","0.5037030099181908","5"
"article","Desktop","0","1000","2229.315236407","43852","2.538","1","1","3","2.168","0.747230895","86734","948.0","1772","32","208","3.452","86734","28502","293234","33.55","3.47","0.9 - 1.0 s","0.5055918094403579","0.5037030099181908","5"
"article","Desktop","0","1100","2455.096314892","36951","2.501","1","1","3","2.133","0.74627182","73170","1049.0","1633","32","209","3.396","73170","24026","242324","33.59","3.48","1.0 - 1.1 s","0.5050020500205002","0.5037030099181908","5"
"article","Desktop","0","1200","2636.988777152","31432","2.43","1","1","3","2.075","0.750335247","63166","1148.0","1372","32","200","3.284","63166","21608","202157","34.97","3.33","1.1 - 1.2 s","0.4976094734509071","0.5037030099181908","5"
"article","Desktop","0","1300","2774.047389698","27665","2.402","1","1","3","2.004","0.756320971","57270","1250.0","1266","32","195","3.165","57270","20634","176579","36.84","3.25","1.2 - 1.3 s","0.48306268552470755","0.5037030099181908","5"
"article","Desktop","0","1400","3033.533224216","24804","2.343","1","1","3","1.967","0.748165508","50132","1349.0","1128","32","192","3.126","50132","17606","152667","35.93","3.2","1.3 - 1.4 s","0.4947737971754568","0.5037030099181908","5"
"article","Desktop","0","1500","3195.021497398","22372","2.296","1","1","2","1.895","0.749042173","45472","1449.0","980","32","184","3.025","45472","16389","133882","36.84","3.07","1.4 - 1.5 s","0.4919950738916256","0.5037030099181908","5"
"article","Desktop","0","1600","3317.033132539","20978","2.219","1","1","2","1.835","0.74763077","42678","1550.0","794","31","178","2.926","42678","15988","123526","38.17","2.97","1.5 - 1.6 s","0.49154130933970663","0.5037030099181908","5"
"article","Desktop","0","1700","3406.193019769","19713","2.151","1","1","2","1.77","0.749160803","40467","1650.0","755","30","167","2.818","40467","15698","113071","39.53","2.78","1.6 - 1.7 s","0.48713766772926087","0.5037030099181908","5"
"article","Desktop","0","1800","3439.651042352","19105","2.106","1","1","2","1.691","0.751263802","39912","1750.0","681","30","160","2.699","39912","16239","105323","41.39","2.67","1.7 - 1.8 s","0.4786780918019643","0.5037030099181908","5"
"article","Desktop","0","1900","3547.330254453","18179","2.056","1","1","2","1.622","0.753013369","38432","1850.0","581","29","149","2.595","38432","16320","97340","43.12","2.48","1.8 - 1.9 s","0.47301727726894255","0.5037030099181908","5"
"article","Desktop","0","2000","3634.699639264","17538","2.009","1","1","2","1.581","0.753238135","37252","1950.0","576","27","140","2.527","37252","16332","91910","44.53","2.33","1.9 - 2.0 s","0.4707935144421776","0.5037030099181908","5"
"article","Desktop","0","2100","3720.091331196","16483","1.985","1","1","2","1.516","0.753852866","35465","2050.0","534","27","134","2.439","35465","15967","84466","45.71","2.23","2.0 - 2.1 s","0.4647680812068236","0.5037030099181908","5"
"article","Desktop","0","2200","3930.937136308","15240","1.952","1","1","2","1.501","0.755954541","33112","2149.0","444","27","125","2.4","33112","15267","77690","46.73","2.08","2.1 - 2.2 s","0.4602561005073689","0.5037030099181908","5"
"article","Desktop","0","2300","4047.920501479","14597","1.95","1","1","2","1.47","0.75124666","31317","2250.0","439","27","133","2.379","31317","14425","72931","46.72","2.22","2.2 - 2.3 s","0.46610467158412366","0.5037030099181908","5"
"article","Desktop","0","2400","4274.837160729","13328","1.945","1","1","2","1.444","0.749229303","28553","2349.0","364","27","127","2.352","28553","13210","65779","46.86","2.12","2.3 - 2.4 s","0.4667810737925962","0.5037030099181908","5"
"article","Desktop","0","2500","4484.845166134","11677","1.935","1","1","2","1.422","0.754127223","25583","2449.0","328","27","122","2.305","25583","12099","57786","47.91","2.03","2.4 - 2.5 s","0.4564359144744557","0.5037030099181908","5"
"article","Desktop","0","2600","4672.020234084","10612","1.904","1","1","2","1.42","0.754597721","23271","2549.0","279","28","125","2.289","23271","11006","52318","47.87","2.08","2.5 - 2.6 s","0.4560182201022732","0.5037030099181908","5"
"article","Desktop","0","2700","4883.408024937","9517","1.928","1","1","2","1.418","0.753916595","20820","2649.0","277","28","125","2.299","20820","9821","46731","47.81","2.08","2.6 - 2.7 s","0.45710854947166185","0.5037030099181908","5"
"article","Desktop","0","2800","4969.531383071","8547","1.957","1","1","2","1.417","0.754541737","18839","2749.0","247","27","125","2.305","18839","8936","42557","48.06","2.08","2.7 - 2.8 s","0.4536865014066564","0.5037030099181908","5"
"article","Desktop","0","2900","5211.198353365","7536","1.924","1","1","2","1.397","0.753872532","16576","2849.0","199","28","125","2.272","16576","7842","36948","47.88","2.08","2.8 - 2.9 s","0.4546332046332046","0.5037030099181908","5"
"article","Desktop","0","3000","5465.277805175","6961","1.916","1","1","2","1.398","0.749689905","15048","2949.0","184","29","129","2.285","15048","6999","33708","47.09","2.15","2.9 - 3.0 s","0.46258639021796916","0.5037030099181908","5"
"article","Desktop","0","3100","5696.281807795","6145","1.92","1","1","2","1.398","0.753433393","13474","3050.0","164","28","120","2.274","13474","6372","30062","47.87","2.0","3.0 - 3.1 s","0.4560635297610212","0.5037030099181908","5"
"article","Desktop","0","3200","5729.048303122","5465","1.975","1","1","2","1.423","0.754750673","12088","3149.0","188","30","134","2.316","12088","5724","27388","48.1","2.23","3.1 - 3.2 s","0.4521012574454004","0.5037030099181908","5"
"article","Desktop","0","3300","6037.953347959","5014","1.967","1","1","2","1.394","0.752309237","10996","3249.0","162","29","128","2.292","10996","5189","24663","47.9","2.13","3.2 - 3.3 s","0.4559839941797017","0.5037030099181908","5"
"article","Desktop","0","3400","6243.267357916","4612","1.941","1","1","2","1.43","0.751810087","10034","3350.0","146","29","128","2.322","10034","4652","22743","47.05","2.13","3.3 - 3.4 s","0.45963723340641816","0.5037030099181908","5"
"article","Desktop","0","3500","6525.792929077","4022","1.961","1","1","2","1.405","0.75617168","8982","3449.0","124","29","129","2.283","8982","4202","20094","47.44","2.15","3.4 - 3.5 s","0.4477844578044979","0.5037030099181908","5"
"article","Desktop","0","3600","6764.076732203","3628","1.958","1","1","2","1.423","0.757787992","8089","3549.0","127","30","130","2.302","8089","3847","18190","48.32","2.17","3.5 - 3.6 s","0.448510322660403","0.5037030099181908","5"
"article","Desktop","0","3700","6948.330192806","3292","1.945","1","1","2","1.4","0.754497386","7259","3649.0","110","31","130","2.282","7259","3377","16179","47.24","2.17","3.6 - 3.7 s","0.4535059925609588","0.5037030099181908","5"
"article","Desktop","0","3800","7131.107761373","3041","1.933","1","1","2","1.445","0.757723994","6759","3750.0","103","30","132","2.315","6759","3150","15270","47.33","2.2","3.7 - 3.8 s","0.44991862701583074","0.5037030099181908","5"
"article","Desktop","0","3900","7405.70106235","2734","1.984","1","1","2","1.425","0.758622617","6119","3850.0","89","32","138","2.311","6119","2880","13829","47.76","2.3","3.8 - 3.9 s","0.44680503350220624","0.5037030099181908","5"
"article","Desktop","0","4000","7586.976166005","2519","1.911","1","1","2","1.443","0.755596721","5561","3949.0","80","33","134","2.309","5561","2544","12570","46.41","2.23","3.9 - 4.0 s","0.45297608343823054","0.5037030099181908","5"
"article","Desktop","0","4100","7590.273546176","2287","1.991","1","1","2","1.42","0.761873136","5199","4050.0","85","32","142","2.296","5199","2476","11662","48.42","2.37","4.0 - 4.1 s","0.43989228697826505","0.5037030099181908","5"
"article","Desktop","0","4200","8472.576773531","2054","1.938","1","1","2","1.43","0.764048746","4669","4150.0","75","32","137","2.283","4669","2237","10401","48.69","2.28","4.1 - 4.2 s","0.43992289569500964","0.5037030099181908","5"
"article","Desktop","0","4300","8637.490078824","1872","2.024","1","1","2","1.396","0.766286116","4349","4248.0","56","33","142","2.267","4349","2118","9600","49.34","2.37","4.2 - 4.3 s","0.4304437801793516","0.5037030099181908","5"
"article","Desktop","0","4400","8664.472286261","1662","1.999","1","1","2","1.445","0.771437739","3958","4349.0","63","31","131","2.285","3958","1942","8807","49.86","2.18","4.3 - 4.4 s","0.4199090449722082","0.5037030099181908","5"
"article","Desktop","0","4500","8801.710436464","1587","1.948","1","1","2","1.41","0.763303642","3608","4453.0","55","32","130","2.267","3608","1744","7977","49.09","2.17","4.4 - 4.5 s","0.4398558758314856","0.5037030099181908","5"
"article","Desktop","0","4600","8864.635492189","1456","2.074","1","1","2","1.44","0.766087721","3399","4549.0","65","33","146","2.329","3399","1678","7687","50.33","2.43","4.5 - 4.6 s","0.4283612827302148","0.5037030099181908","5"
"article","Desktop","0","4700","9259.254977257","1361","1.932","1","1","2","1.43","0.768032399","3151","4650.0","49","32","128","2.264","3151","1541","6966","49.68","2.13","4.6 - 4.7 s","0.4319263725801333","0.5037030099181908","5"
"article","Desktop","0","4800","9560.191191679","1276","1.944","1","1","2","1.416","0.770755591","2995","4749.0","50","32","129","2.244","2995","1464","6534","49.71","2.15","4.7 - 4.8 s","0.42604340567612686","0.5037030099181908","5"
"article","Desktop","0","4900","9614.715661389","1176","1.948","1","1","2","1.417","0.772733113","2794","4851.0","49","32","129","2.237","2794","1378","6081","50.2","2.15","4.8 - 4.9 s","0.42090193271295634","0.5037030099181908","5"
"article","Desktop","0","5000","9847.0758008","1081","2.029","1","1","2","1.397","0.7703378","2561","4949.0","36","32","125","2.253","2561","1279","5602","50.65","2.08","4.9 - 5.0 s","0.4221007418976962","0.5037030099181908","5"
"article","Desktop","0","5100","9996.547633868","971","1.984","1","1","2","1.44","0.773211187","2317","5048.0","43","32","124","2.271","2317","1152","5119","50.66","2.07","5.0 - 5.1 s","0.41907639188605955","0.5037030099181908","5"
"article","Desktop","0","5200","10265.703658698","923","2.004","1","1","2","1.405","0.781267987","2274","5151.0","40","31","119","2.218","2274","1161","5092","51.97","1.98","5.1 - 5.2 s","0.40589270008795075","0.5037030099181908","5"
"article","Desktop","0","5300","10883.620005602","882","2.036","1","1","2","1.456","0.776544468","2112","5251.0","46","38","155","2.306","2112","1048","4717","50.73","2.58","5.2 - 5.3 s","0.41761363636363635","0.5037030099181908","5"
"article","Desktop","0","5400","10729.54182813","823","2.024","1","1","2","1.403","0.778550528","2031","5350.0","31","33","133","2.224","2031","1049","4419","52.45","2.22","5.3 - 5.4 s","0.4052191038897095","0.5037030099181908","5"
"article","Desktop","0","5500","10989.309444576","772","2.161","1","1","3","1.46","0.769622435","1849","5450.0","36","39","162","2.363","1849","906","4257","49.97","2.7","5.4 - 5.5 s","0.41752298539751215","0.5037030099181908","5"
"article","Desktop","0","5600","10767.333583146","793","1.929","1","1","2","1.391","0.757446953","1772","5549.0","27","31","126","2.255","1772","838","3906","48.02","2.1","5.5 - 5.6 s","0.44751693002257337","0.5037030099181908","5"
"article","Desktop","0","5700","11328.64722586","687","1.921","1","1","2","1.417","0.785829896","1708","5650.0","35","31","117","2.19","1708","894","3606","53.44","1.95","5.6 - 5.7 s","0.4022248243559719","0.5037030099181908","5"
"article","Desktop","0","5800","11350.783609262","702","1.878","1","1","2","1.322","0.766099533","1637","5748.0","22","33","111","2.128","1637","813","3419","50.34","1.85","5.7 - 5.8 s","0.42883323152107516","0.5037030099181908","5"
"article","Desktop","0","5900","12136.21369782","634","1.943","1","1","2","1.45","0.779460492","1546","5847.0","27","41","156","2.247","1546","795","3404","52.34","2.6","5.8 - 5.9 s","0.41009055627425617","0.5037030099181908","5"
"article","Desktop","0","6000","11097.109267406","574","2.078","1","1","2","1.425","0.772624543","1381","5950.0","35","36","149","2.288","1381","691","3081","51.34","2.48","5.9 - 6.0 s","0.41564083997103546","0.5037030099181908","5"
"article","Desktop","0","6100","12615.0319008","592","1.993","1","1","2","1.385","0.77402525","1432","6051.0","27","35","129","2.209","1432","713","3082","50.75","2.15","6.0 - 6.1 s","0.4134078212290503","0.5037030099181908","5"
"article","Desktop","0","6200","12083.835798653","576","1.854","1","1","2","1.374","0.760799811","1310","6149.5","24","34","132","2.189","1310","636","2792","49.46","2.2","6.1 - 6.2 s","0.4396946564885496","0.5037030099181908","5"
"article","Desktop","0","6300","12302.64426416","510","2.098","1","1","2","1.409","0.769319505","1217","6249.0","25","40","173","2.288","1217","613","2705","51.43","2.88","6.2 - 6.3 s","0.419063270336894","0.5037030099181908","5"
"article","Desktop","0","6400","13269.330551501","428","1.778","1","1","2","1.455","0.808258292","1183","6350.0","20","37","132","2.098","1183","645","2435","55.46","2.2","6.3 - 6.4 s","0.3617920540997464","0.5037030099181908","5"
"article","Desktop","0","6500","11770.811889608","443","1.828","1","1","2","1.412","0.795767332","1155","6453.0","25","36","148","2.114","1155","607","2362","53.72","2.47","6.4 - 6.5 s","0.38354978354978353","0.5037030099181908","5"
"article","Desktop","0","6600","12309.832106466","428","2.039","1","1","2","1.368","0.785284898","1084","6554.0","19","33","124","2.173","1084","579","2252","54.37","2.07","6.5 - 6.6 s","0.3948339483394834","0.5037030099181908","5"
"article","Desktop","0","6700","13654.005855934","393","2.05","1","1","2","1.424","0.788678966","1011","6650.0","22","40","191","2.221","1011","538","2151","54.4","3.18","6.6 - 6.7 s","0.3887240356083086","0.5037030099181908","5"
"article","Desktop","0","6800","12985.045408535","413","2.062","1","1","2","1.452","0.767146153","970","6750.0","14","34","138","2.33","970","486","2177","50.84","2.3","6.7 - 6.8 s","0.42577319587628865","0.5037030099181908","5"
