IMAGES,TTI,FREQ
1,6228,19638568
2,7010,14579980
3,6872,11734291
19,5567,9639900
6,4121,9365258
5,5058,8594569
24,5336,7578666
9,4535,6946432
29,5722,6867501
8,5044,6774534
15,4775,6412866
20,5535,6366116
21,5463,6332193
30,5762,6244966
23,5713,6211791
18,5415,6161027
11,4825,6153450
17,5290,6111593
12,4377,6065922
22,5553,5989617
14,4719,5914578
26,5382,5804056
28,5257,5784367
16,5064,5737507
13,4707,5611218
31,5647,5460049
25,5736,5419645
32,5592,5295662
27,5479,5215360
10,5157,5111085
4,4549,5091278
7,4703,4841180
35,6280,4548764
33,5737,4513072
36,6289,4308700
34,6049,4160901
37,6210,3664969
41,5615,3585888
65,5383,3491062
44,5287,3479540
38,6194,3281006
64,5155,3273180
55,5365,3185324
39,6132,3061054
66,5077,3015555
61,6198,2994505
49,6163,2985018
51,6093,2977506
53,5558,2967047
50,6199,2956866
62,5803,2879089
42,5690,2846198
40,5834,2842494
59,5318,2814539
54,5763,2771534
52,6017,2768467
47,6183,2756505
69,5730,2616061
58,5454,2609341
67,5491,2592677
57,5909,2590153
43,5791,2585940
56,5838,2537279
48,6329,2515292
45,5764,2425924
46,5892,2337823
73,6206,2233128
63,5627,2167505
122,5066,2106379
60,5778,2039837
68,5840,1916639
74,6735,1913475
72,6348,1908655
77,6240,1845967
75,6844,1819172
76,6460,1778090
71,6635,1716303
70,5991,1640345
80,6529,1612382
120,4987,1597234
81,6500,1440716
79,6717,1420973
97,4152,1398911
78,6560,1325071
121,5436,1309561
82,6621,1271037
84,6497,1215314
119,4794,1177128
86,5856,1159047
83,6492,1158739
98,4190,1042607
90,6471,1021634
88,5958,967335
85,6256,966011
109,5780,950982
92,6335,943081
87,6480,866366
89,6545,846677
93,5825,842653
91,6329,841458
96,5566,757344
113,5713,726321
104,5440,694883
94,6361,664832
118,5564,626776
95,6320,608422
99,5769,567127
108,6015,552633
101,6096,527940
100,5873,497068
106,5891,493211
123,6685,490846
105,6334,483808
102,6299,481579
110,6394,453785
114,6141,452553
107,6066,451170
117,6111,448204
103,6430,427423
215,6103,422935
116,6200,419598
112,6125,418176
187,6034,414906
202,6216,410593
115,5927,405568
111,6047,378188
128,6510,377785
125,6793,376608
127,6785,368648
124,6862,356066
192,8772,354008
126,6757,350092
130,6929,343676
129,7363,341149
131,6721,327907
132,6808,323239
133,7405,313888
137,7168,311807
134,7505,309118
136,7044,299091
203,6023,295586
139,6935,294359
191,7726,290895
176,5968,289504
140,7038,282696
138,7216,271961
141,7542,271858
184,5493,264842
161,6049,260368
186,5983,258838
135,7247,258437
143,7249,254972
167,6942,249899
158,6532.5,246782
195,7141,243836
142,7342,238326
177,5479,231666
156,6382,229822
178,5650,224333
144,7082,218572
157,6476,215643
159,6736,215460
175,5967,212303
190,7213,211453
145,7085,210763
194,7789,209125
152,6703,208097
217,6941,207578
163,6422,205996
153,6827,203330
173,6115,199932
193,8097,197697
160,7254,196814
199,7041,196785
188,6391,194804
196,7760,194302
169,7328,193527
214,6378,193316
166,6420,192956
264,7404,192801
147,7395,189558
219,6451,188098
197,8017,187247
162,6601,185797
148,7129,180981
149,7178,178658
170,6786,177919
155,7130,177428
198,7846,175927
200,7365,174368
154,7204,173311
165,6929,173192
461,8023,171373
171,6122,170942
483,6961,170565
183,5950,170147
460,7705,169546
468,8054,168049
485,6945,167397
201,7656,167070
150,7407,167001
174,6628,166585
284,7518,166477
146,7385,165711
482,7276,165491
182,6700,164062
216,7143,163530
218,6958,158297
480,7355,158293
481,7671,157891
239,7461,157228
151,7555,155899
234,6998.5,155574
172,6709,155458
512,5987,155100
185,6385,154376
464,8478,153839
462,8382,153819
476,7064,153808
484,7320,153549
179,6311,153254
477,7079,152985
455,6918,152979
164,6780,152942
473,7220,152895
466,8309,152487
258,7395,152172
467,8332,152068
463,8715,151493
189,7344,150460
469,8557,150186
168,6817,149198
465,8253,148736
237,7536,148689
212,5964,148012
475,7214,147884
576,6489,146989
272,7810,146849
486,6743,146075
471,8269,145627
489,7413,145479
492,7879,144674
253,7357,143934
491,6759,141944
459,7750,140322
507,7081,139364
487,7302,138074
256,6989,137684
251,7191,136985
495,7492,136886
490,7486,135067
235,6982.5,134648
458,7748,134524
454,8036,134461
493,7446,133663
474,8159,131830
472,8338,131105
453,7964,130405
457,8172,130263
479,7981,130112
506,7188.5,130058
520,6649,129985
569,7468,128867
180,6816,128767
478,8366,127959
181,7187,127852
470,9050,126750
456,7977,125450
494,7475,124759
496,7906,124505
503,6784,124359
545,5865,124041
450,7829,123463
451,7837,123075
452,7873,123043
255,7217,122849
257,6814,122808
213,6933,122442
530,6549,121132
446,8081,119731
498,6978,119057
504,7168.5,118536
211,6767,118377
488,8098.5,118090
540,7076,117457
501,6759,117283
505,7287,116997
449,8175,116962
500,7250,116911
320,6105,116412
447,7703,114873
290,7496,114510
273,6987,114372
444,7577.5,113302
499,6817,113105
238,7183,112977
281,5360,111527
287,5339,110984
293,7280,110959
542,6609,110804
574,7002,109491
554,6483,109419
497,7405,108846
250,7321.5,108298
266,7289,108172
209,7350,107777
448,8395,107548
225,6639,107505
514,7862,106944
260,6764,106727
301,6987,106630
244,6433.5,106470
443,7593,106442
541,6926,106073
524,7219,106067
502,7689,105813
522,7827,105685
445,8657,105289
511,6794,104932
204,7897,104719
254,6789,103795
575,7738,102273
517,7442,102196
579,8014,102109
210,7355,101727
509,6635.5,101526
226,6482,101111
539,6786,100990
556,6094,100987
553,7804,100917
236,6849,99941
519,8421,99852
262,7211,99528
533,7344,98948
246,7262,98640
518,8363,98246
516,7352,98217
537,7223,97361
564,6093.5,96758
442,7562,96735
577,7492,96631
532,7300,96198
513,8285,96135
233,5668,95837
289,10542.5,95592
552,8136,95495
232,6101,95033
510,6888,94811
521,7277,93785
252,6579,93438
529,7703,93059
283,5966,92360
230,6091.5,92326
220,7158,92317
247,6496,92307
546,6155,92050
538,7338,91877
221,7655,91630
548,6169,91054
543,6482,90876
224,6153.5,90288
265,7232,89703
208,7444,89688
240,7154,89265
207,7083,88837
267,6820,88736
583,6792,88462
437,7528,87892
205,7694,87789
525,8011,87562
581,7006,87189
535,6787,86743
528,6937,86633
531,6970,86579
277,6440,86551
558,7504,86506
527,7472,86367
441,8493,86220
508,7391,86126
285,4947,85981
440,7764,85453
231,6366,84755
582,6779,84514
279,4646,84240
578,7187,84235
570,7486,83991
551,8215,83675
275,6084,83109
263,6958,82025
206,7754,81925
557,7490,81826
567,7049,81628
534,7484,81029
526,7676,80888
573,7975,80837
584,7029,80683
560,7462,80200
241,7032,80079
572,7275,79931
515,7504.5,79920
523,8259,79093
268,6788,78231
439,8515,78119
586,7751,77972
438,8219.5,76936
550,7580,76789
286,6326,76215
399,5939,75657
282,5469,75639
319,5678,75556
229,6204,75512
562,6971,75277
593,7031,75060
566,7728,74616
280,4786,74496
549,7383,74301
435,8141.5,74242
547,7207,74158
228,6755.5,74142
601,6148,73835
585,8465,73592
571,7304,73279
559,9029,73070
432,7742,72935
288,6501,72914
590,6569,72418
568,7718,72337
589,5915,71864
321,6224,71617
