IMAGE_SIZE,TTI,FREQ
126,7201.000,11477897
84,5719.000,7990051
42,5654.000,6911693
168,7429.000,3907663
210,6333.000,1793757
252,6834.000,1550018
420,11379.000,855752
294,9944.000,853057
2289,6258.000,807030
1046,4981.000,637457
44,1769.000,582713
130192,4551.000,539729
504,9203.000,484317
378,10828.000,464462
546,11298.000,463840
2385,4443.000,434966
55592,2979.000,360929
24219,2220.000,337405
336,9741.000,333210
15130,2457.000,326404
1150,4259.000,326254
10419,4606.000,325861
32991,10210.000,323807
44796,1963.000,321950
462,11510.000,317220
43,5720.000,312792
3101,3364.000,299624
8352,3365.000,285743
91022,2340.000,257534
2583,2359.000,251372
11165,5409.000,250561
931297,13728.000,250040
50362,3273.000,241577
218018,1826.000,225628
169,6014.000,214830
2247,5003.000,213703
767230,10563.000,211511
85,6280.000,203548
2331,8047.000,198925
83155,1737.000,187233
51796,6654.000,184166
2373,8789.000,182751
588,10912.000,182173
46089,5050.000,180780
3942,7062.000,179226
86,3920.000,178690
58327,2579.000,176646
10285,3619.000,170341
6888,5926.000,168074
23024,4308.000,166161
5430,3646.000,164437
2427,13202.000,162932
2337,4158.000,154283
370105,3286.000,153429
2469,13082.000,151823
181818,5113.000,151396
21093,4061.000,151152
254032,3385.000,149361
127,6147.000,147990
65620,13086.000,143261
7854807,6177.000,137315
4150,3286.000,132606
154742,5462.000,128638
34534,1941.000,127620
57984,4990.000,127404
45872,2148.000,126817
53971,5280.000,126770
255110,3585.000,126514
21615,6801.000,126084
176129,4394.000,124624
25246,9225.000,121675
130234,4831.000,121600
3184,4736.000,120663
8394,4372.000,118725
4812,5376.000,118646
4080,3362.000,115709
216905,2906.000,115254
34718,4624.000,113809
2343,4554.000,112227
22172,6763.000,112177
26230,4954.000,109386
526982,4370.000,105265
6020,4765.500,100164
2511,12998.000,99136
105782,33362.000,96227
26232,11095.000,95524
49620,2486.000,94442
88122,3127.000,94375
161115,4800.000,91421
208308,9832.500,90354
7350,3246.000,90147
25353,4886.000,89894
58285,2504.000,89371
53377,5443.000,88972
932036,16178.500,88538
46763,4194.000,88333
11448,5046.500,88234
37310,2860.000,87888
3210,2619.000,87707
1,10604.500,86626
2369281,6192.000,85918
834391,2823.000,83401
1365,2283.000,82020
7257,8047.000,81849
887840,3763.000,81603
241492,7994.000,80877
132058,2848.000,80341
7905,7182.500,79634
758208,6772.000,79123
6601,1909.000,78536
26062,6072.000,78319
205,7404.000,78045
318,3382.000,77740
1234,5042.000,76542
39558,5501.000,75342
129881,6491.000,75004
1004,5365.000,74441
170,4383.000,74185
15783,3323.000,73713
19363,5328.000,73703
341694,4150.000,72581
28865,7536.000,72447
1088,9543.000,71841
28828,5807.000,70769
17544,2800.000,70589
3421,4268.000,70556
36764,8541.000,70160
23631,8433.000,69838
55109,1777.000,69801
46051,3111.500,69378
337,4397.000,69257
602627,2330.000,69076
567702,7940.500,68798
142053,2619.000,66455
3463,4574.000,65521
498442,2872.000,65491
34722,6046.000,64024
3231289,4064.000,63552
577220,4890.000,63516
41343,6061.000,62991
29051,5729.000,62965
260590,6889.000,62158
51688,2684.000,61924
247820,1869.000,61009
652793,11036.000,60107
133031,4922.000,59809
2923,7437.000,59804
26373,7007.000,59390
74732,4341.000,58901
304439,7001.000,58587
370870,3463.000,58283
51512,2997.000,57364
35936,5221.000,56816
540190,7409.000,56567
4770,5408.000,56321
42842,3828.000,56251
29852,10754.000,56198
545449,3076.000,55987
54442,3112.000,55950
5686,5990.000,55913
6816,3186.000,55884
7940,8936.500,55698
51880,7997.000,55291
29094,5832.000,55231
37591,3789.000,55092
4885,2743.000,54746
105351,5253.000,54741
2415,10196.500,54690
174721,3346.000,54490
58188,2417.000,54483
90094,3206.000,54460
28871,5952.000,54447
9173295,6858.000,54443
67502,3532.000,54305
630,12696.000,54193
42470,10613.000,54006
1099519,4067.000,53894
1276,5499.000,53718
756,8957.500,53658
3435,5255.000,53425
4592,5893.000,53423
7614,4419.000,53340
108976,2869.000,53165
176171,4601.000,52705
402,4943.000,52638
19406,5585.000,52476
306125,3722.000,52301
46774,5418.000,52187
408632,2472.000,52116
798,7860.500,51644
130276,5148.000,51436
13240,12835.000,50789
3124,2485.000,50730
1025,3844.000,50576
45830,2102.000,50573
1493154,3044.000,50448
127767,7444.000,50351
56074,4293.000,50234
91844,5367.000,50179
12204,4151.000,50091
57236,3322.000,50088
132989,4957.000,49661
1861,6102.000,49481
25527,4187.000,49306
3984,15032.000,49289
11214,7199.000,49027
361363,4324.000,48990
669703,11472.000,48741
6720,7194.000,48720
50318,7209.000,47989
84305,1855.000,47787
36128,2114.000,47781
2151263,6978.000,47444
64443,6182.000,47324
535,4199.000,47263
5700,8894.000,47231
727802,4445.000,47170
7056,7035.000,47139
58944,5602.000,46756
65893,4930.000,46708
211,6567.000,46699
11298,6921.000,46655
16302,3072.000,46633
7091,7199.000,46478
2553,12393.500,46406
12440,2503.000,46399
68616,2386.000,46288
196566,1982.000,46094
4286,5894.000,46045
1898184,3640.000,45652
25395,5480.000,45643
541623,5518.000,45583
51800,2567.000,45427
272540,2729.000,45386
21950,9194.000,45101
91472,2864.000,44984
83559,11295.000,44761
60942,6390.000,44326
109200,910.000,44110
12354,7071.000,43967
3714,3938.000,43848
412411,3796.000,43710
111847,2099.000,43653
24424,9120.500,43520
3709,8237.000,43049
48458,2271.000,43039
15172,3144.000,42973
176,1421.000,42773
478340,3729.000,42529
3143,5877.000,42226
15262,2253.000,42199
14139,3030.000,41889
3168,2490.000,41490
127725,14864.000,41381
400064,2922.000,41087
83818,5350.000,40738
6062,5829.500,40680
256667,6950.000,40636
35197,1538.000,40549
638535,3931.000,40437
14870,4094.000,40363
82553,4942.000,40328
1130,11785.500,40226
16693,7647.000,40139
811596,4327.500,40046
130108,4437.500,40004
65536,10101.000,39936
24262,3221.000,39933
107186,4190.000,39901
105393,5401.000,39749
54082,5128.000,39656
658689,3786.000,39591
58870,3252.000,39325
3491,5109.000,39227
129815,4925.000,38811
4866,4070.000,38769
3024,1768.000,38625
4349,5004.000,38580
135828,5377.000,38572
103235,5154.000,38466
6805735,8038.000,38447
7089,9596.000,38360
3774,9181.000,38357
55068,1253.000,38104
9077,7885.000,38075
44562,3598.000,37966
277983,5717.000,37959
11159039,3769.000,37956
369015,3644.000,37607
429109,4306.000,37288
129923,8801.500,37262
157885,4168.000,36919
13549,3740.000,36803
3082,2379.000,36764
714,11089.000,36356
93289,7179.000,36284
15568,2921.000,36163
2775,4399.000,36156
42235,9287.000,36154
440488,11177.000,36093
672,11741.000,35891
2965,8256.000,35823
4290113,10212.000,35809
2811,1490.000,35757
37268,2749.000,35624
650861,11484.000,35540
6914,1527.000,35441
13282,13485.500,35244
11286,5201.000,35229
48595,2563.000,35044
36453,5821.000,34851
5582,2306.000,34807
16945,10602.000,34792
2881,6745.000,34569
31689,7562.000,34392
5472,5425.000,34271
5295,3248.000,34251
137236,2925.000,34178
1100627,4661.000,34177
11283,5498.500,33946
385242,4256.000,33831
60560,8360.000,33770
7029,1880.000,33760
293800,5845.000,33626
11123,3195.000,33394
4159,3795.000,33385
283096,2550.000,33189
46009,2752.000,33076
85091,12028.500,32782
1196885,14438.500,32724
167945,5190.000,32661
263973,5637.000,32449
3452,12872.000,32445
43564,5301.000,32342
8062230,4345.000,32332
38680,7597.000,32097
488390,2816.000,32070
127809,7770.500,32044
121,4729.000,31926
40651,7527.000,31896
145346,3122.000,31895
548667,6669.000,31883
4917,6872.000,31808
3908696,2946.000,31763
60518,5963.000,31726
12519,3144.000,31703
41551,7513.000,31535
72006,3162.500,31508
5230,3280.000,31489
33939,6337.000,31425
76796,5086.000,31364
696320,4578.000,31361
38682,7701.000,31353
29470,3193.000,31210
128849,9476.000,31197
200304,4137.000,31161
454255,3493.000,31133
83517,10636.500,30928
14107,2374.000,30884
204,4961.000,30865
61322,5550.000,30697
4667,1351.000,30624
20660,3667.000,30583
130763,6993.000,30527
10637,715.000,30471
647233,4242.000,30409
51459,6579.000,30174
178353,2988.000,30069
15097,3326.000,29951
638605,6990.000,29929
539002,5320.500,29920
19228,4785.000,29709
4126714,4430.500,29594
416064,4113.000,29584
717274,2628.000,29528
58146,2349.000,29518
2395630,2619.000,29365
7435,10533.500,29298
2363993,2708.000,29277
10989,5050.000,29258
62394,4058.000,29161
346593,4351.000,29155
128,5336.000,29115
1345,6165.000,29086
116675,3017.000,29062
67676,2205.000,29026
4289976,6343.000,28992
85049,10767.000,28987
762367,4007.000,28759
35000,10632.000,28751
8452,9647.000,28724
12016,5378.000,28399
22483,2640.000,28377
12284,3964.000,28369
38701,4411.500,28260
8615809,8051.000,28122
19449,5370.000,28105
1036290,3344.000,28090
133073,5304.000,28080
45744,1946.000,27886
25573,6430.000,27825
425639,3994.000,27806
13532,2543.000,27784
196841,4566.000,27764
303345,6243.000,27747
