JS_SIZE,TTI,FREQ
75148,3213,617255
111,3138,561556
17885,2791,393475
104,3527,317045
378,3683,176025
75151,2797,167639
171,3095,145628
419645,3144,123763
1024,4963,107660
18069,2936,103907
5206,2980,99063
554,3818,90277
342,6094,86793
344551,3534,82528
283,2772,81259
22037,1636,80066
1054,4399,79810
20032,5189,79753
707774,16082,78608
420319,2958,76951
67134,4619,75866
433870,3409,72517
175,4108,70231
9632,3139,63381
267,3275,63274
284,3308,61071
419776,3276,57064
1025,4566,54895
20033,5179,51175
433850,3931,49809
113,3357,48063
375,4241,47843
421,6041,47712
419703,4381,46713
344555,2653.5,46062
112,3264,45340
652,5310,45218
437869,1385,45121
17860,3924.5,44690
24149,3480,44527
20031,5226,43691
345542,4371,43518
80426,6455,42664
357,4869,42544
1087,3702,41116
64,3163,40361
1998,2401,39363
22277,1770,39273
182,6650,39015
472,6426,38525
75130,3621,37468
910853,24252.5,37340
15690,21311,37161
106,3492,36858
867,9691,36847
15657,3662,36467
377,4161,36388
335,646.5,36326
911298,41951.5,36250
1053,4522,36203
433847,2410,35077
658,4280,33908
20206,4908,33841
1364,4844,33807
2694,5138,33705
2695,5082,33474
35826,5086,33434
527,4757,32895
388,4527,32500
545,3719,32406
110,3317,32071
2009,2299,31958
962,5527.5,31552
27526,4367,31275
419599,2574,31193
75154,2728,30868
2032,5314,30282
2033,5129,30136
18071,2722,29800
661,4350,28978
105,3590,28577
2031,5306,28558
943,4492,28045
379,3951,28016
473,5780,27885
15598,3995,27786
68,3578,27665
481,4357,27590
22010,1959,27323
670,4309.5,27166
532,4945,27059
989,2862,26789
1095,4756,26673
2978,5915,26656
15873,7624,25994
2696,5063,25986
707868,14801.5,25940
1086,3754,25394
2979,5967,25329
249,4086.5,25052
15550,4247,24747
582,4777,24642
2693,5131,24515
259,3838,24296
71589,2662,24241
371,3778.5,24166
172,3205.5,24026
15663,5253,24009
778,5658,24001
17887,2900,23805
1107,4804,23617
153,2933,23478
10287,6329,23397
345358,4687.5,23262
34289,4485,23018
11715,4704,22889
536,4445.5,22788
420,5940,22665
493633,9729,22628
533,5251,22617
291,3920,22547
419678,2571,22536
185,2856,22501
557,4500,22259
103,3422,22213
203,2797,22149
708024,17262.5,22148
496,4815,22090
11091,3245,22001
559341,5679,21997
11089,3184,21857
1072,4397.5,21778
11090,3196,21659
977,5364,21627
2977,5876.5,21584
11092,3213,21567
66676,2688.5,21504
2034,5287,21465
11093,3235,21459
866,8167,21417
11088,3223.5,21410
762,2187,21407
493672,10393,21310
71571,2692.5,21286
419625,3424,21154
11087,3217,21086
184,3371,21053
585,3586,20884
493652,9155,20869
567,4050,20836
11094,3214,20782
187477,3212,20732
2008,2236,20720
11095,3218,20651
707995,14237,20593
11086,3167,20464
345541,4404,20413
256,3837,20377
990,3186,20375
15559,4023,20216
1096,4627,20195
11096,3250,20187
238168,1538,20186
419651,3068,20141
485,4665,20066
11077,3194,19939
2030,5259.5,19888
11076,3175,19807
275,4945,19723
11078,3195,19666
11079,3185,19645
457,4036,19637
420307,2928,19572
347740,3631,19551
777,4783,19515
11351,3582,19505
344602,2730,19499
452,3216,19476
11353,3556,19454
11085,3213,19277
1038,5311,19255
58391,7331,19253
11354,3565.5,19242
11101,3245,19212
11097,3240,19193
11075,3201,19181
326850,5252,19164
146394,5658,19143
471,4691,19131
566,4102,19115
11080,3189,19107
11098,3226,19091
11352,3534,19056
78843,3886,19043
9641,3673,19020
419683,5010.5,18866
456,4394,18841
344,5459.5,18812
419730,2686.5,18686
2980,5944,18678
18070,2894,18676
387,4459,18674
21983,2019,18630
11084,3221.5,18622
11349,3561,18584
402,5450,18579
11355,3546,18576
11074,3188.5,18512
11350,3531,18468
35742,6007,18431
202,4009,18422
11081,3221,18418
1253,4920,18387
355,4484.5,18382
11356,3575,18370
11082,3228,18344
418,5549.5,18316
707855,15737.5,18278
11102,3231.5,18248
11099,3274,18247
11100,3251,18197
11083,3219,18189
1750,2498,18171
776,4731,18139
11103,3254,18108
11348,3556,18059
493653,10945,17996
67916,5182,17949
9752,3805,17937
21981,1950,17911
684,6331,17904
1106,4513,17847
331,4866,17843
326851,5264,17837
560,3874,17809
419709,3624,17798
594474,2356,17795
468,5547.5,17748
1962,1766,17742
707775,13799,17725
186,3420,17650
11358,3586,17583
11357,3571,17524
299898,3926,17458
11104,3267,17453
18152,3851,17446
51111,1952,17405
16187,3852,17400
30561,14383,17379
433861,3475.5,17342
419834,4561.5,17270
11073,3235,17235
346,3890,17221
11576,4569,17175
11347,3545,17169
17886,3112,17159
11364,3541,17032
11105,3255,16986
10557,3192,16972
3063,5168.5,16912
553,3422,16889
11360,3574,16821
11359,3580,16784
51006,1825,16747
11365,3545,16741
2697,5061,16736
11346,3608,16721
339,2924,16679
564,4352,16642
11339,3530,16628
11362,3570,16606
398,4317.5,16602
11072,3209,16580
11106,3278,16556
11363,3570,16554
1363,5061,16547
11337,3620,16521
11366,3554,16506
2280,2895,16501
493635,8814,16489
307955,4103,16478
344818,2766,16469
1071,4629,16455
520,1988,16453
419724,3481.5,16450
11107,3280,16391
15634,1208,16378
15626,4904,16304
15864,7466,16296
11342,3593,16266
534,5916,16255
1058,4451,16237
11338,3585,16231
146548,5630,16222
28246,2763,16218
11340,3615,16201
11361,3591,16131
22012,1854,16122
11108,3303,16112
11341,3660,16107
1165,5388,16070
11071,3263,16030
71535,2344,15915
469,5148,15905
171302,2047,15895
11367,3544,15894
2590,4881.5,15864
2961,16248,15847
10558,3143,15790
22341,1409,15783
261,4519,15781
10556,3189,15780
11343,3620,15767
11109,3287,15748
497,4635,15711
33995,5178,15705
11368,3574,15689
10559,3177.5,15680
10813,3689,15675
1997,2716,15657
11345,3567,15653
51178,1714,15624
345543,4351.5,15606
326849,5195,15594
568,4230,15582
1052,4633,15577
558,4604,15570
772,4212,15548
565,4249,15543
17884,2910,15538
10814,3696,15514
466,4226,15459
10568,3171,15441
50997,2077,15439
15625,2548,15436
11369,3587,15425
10560,3149,15414
11370,3589,15397
204,2586,15389
71607,2695,15386
10567,3186,15342
500,4698.5,15340
344550,3469,15297
10566,3216,15261
11336,3606,15259
1026,5111,15257
11111,3269.5,15254
499,4617,15225
10561,3171,15215
720,2846,15211
11344,3563,15202
10569,3170,15200
11110,3241,15190
494,4471,15171
10553,3163,15147
10555,3171,15119
631,4562,15108
422,5877,15077
419,5518,15071
10554,3154.5,15044
467,4541,15043
1104,4515,15033
345359,4632,15025
10570,3164,15015
498,4628,14980
326870,5288.5,14958
470,4973,14951
10565,3133,14944
669,942,14942
1164,3911,14931
11112,3286,14917
2591,4957,14917
10563,3199,14906
563,4371.5,14900
10564,3191,14897
260,3921,14883
11335,3630,14880
649,4213,14851
10820,3477,14839
10571,3181,14817
10552,3183,14798
10551,3130,14788
10562,3191,14773
15658,3782,14765
1927,8489,14763
10572,3192,14750
11113,3279,14726
40521,612,14704
351,3219,14651
523,4711,14649
248,4034,14574
369,3454,14550
721,4269,14536
763,4591,14526
11371,3550,14526
495,4511.5,14504
290,3917.5,14502
779,5148,14492
10573,3185.5,14490
396,5250,14470
3312,4984,14467
11070,3251,14453
2604,1676,14448
1090,4432,14403
419633,3348,14397
775,4781,14384
11372,3590,14379
10574,3174,14373
11114,3298.5,14370
62272,20838.5,14320
10575,3173,14302
501,4274,14302
10550,3158,14289
531,5616,14282
434548,3005.5,14274
11066,3552,14266
389,4805,14247
453,6651,14223
1188,5262,14191
235610,4647,14182
474,5114,14154
373,4197,14151
10549,3145,14109
173,3851,14108
11334,3640.5,14090
1070,4313,14079
2692,5348,14074
186336,2462,14063
417,4700,14045
535,5531,13993
462,3545.5,13984
394,3668,13961
300,3313,13944
186335,2469,13884
22250,2143,13851
367,8602,13832
326871,5292.5,13828
11064,3500,13822
662,4740,13817
2020,2495.5,13808
261930,3935,13793
67135,4562,13772
1114,4435,13766
493576,10678,13762
71553,2957.5,13752
2740,13482,13751
556,4493,13749
380,3848.5,13736
313,5951,13735
36351,2267,13732
1108,4166,13731
1094,4585,13708
10548,3133,13705
11115,3310,13701
1105,4654.5,13616
157364,2785,13612
10547,3206,13580
437870,1479,13578
11069,3300,13571
10576,3210,13563
10836,3596,13561
354,5033,13536
11373,3556,13527
11068,3367,13517
2976,5859,13478
5690,3344,13468
10819,3551,13453
139514,1712,13405
344674,2906,13387
1913,2233,13380
2702,5591,13378
17800,12048,13377
2279,2941,13363
3311,5119,13359
11374,3621,13356
3332,1569,13347
10821,3573,13342
10845,3628.5,13302
11333,3659,13297
20034,5308,13283
11377,3565,13274
197,4464.5,13274
433841,3879,13272
299905,3970.5,13236
792,3970,13235
10830,3541,13235
706,4127,13230
75139,3640,13223
11376,3614,13207
164737,3967,13198
10825,3581,13193
10822,3619,13182
10835,3588,13180
433934,3455,13136
230083,3083,13135
11399,3408,13122
804,4496,13121
10834,3548,13114
433911,2362,13102
11375,3573,13099
10824,3564,13091
156755,5400,13077
165,4633,13068
397,4265,13053
1103,4395,13040
10546,3131,13018
63905,5252,12995
1075,3720,12986
10828,3564,12985
10827,3560,12982
10837,3653,12967
2035,4727,12947
11116,3338,12940
10826,3567,12882
550,5036,12869
806,4715.5,12836
638,5218,12805
2701,5529,12796
11332,3610,12795
10831,3577,12794
326852,5283,12779
206,3240,12776
10829,3603,12762
10545,3166,12755
2592,5055.5,12742
196336,4550,12725
10833,3518,12675
492,4255,12671
2589,4896,12666
30570,14798,12654
10839,3637,12649
1064,4065,12649
1073,4526,12641
1066,4266,12622
10832,3566,12612
10815,3606,12577
2278,2999,12577
10577,3189,12562
10823,3548,12561
10812,3663,12551
1085,3491.5,12546
10544,3144,12509
883,3905,12491
18100,3259,12470
493,4381,12453
399,4135.5,12446
17668,1225,12427
2703,5786,12427
11067,3335,12393
528,6691,12381
186337,2447,12369
11218,4408,12355
10817,3565,12354
2981,6012,12353
71625,2653,12352
186334,2445,12321
562,4557,12319
1063,4316,12315
11065,3361,12252
463,3272,12215
11378,3645,12206
1055,4626,12198
257,3663,12181
942,4871.5,12162
1097,4378,12145
486,4565,12130
10578,3241,12119
10844,3654,12090
35835,4988,12074
326869,5266,12051
10842,3676,12004
1379,5191,11998
10816,3569,11981
1065,4406.5,11972
10841,3636,11951
11057,3335,11948
1155,4733,11942
10818,3505,11924
10543,3130,11924
455,4983,11923
1067,4473.5,11922
1057,4715,11921
480600,11843,11911
10838,3680.5,11888
530,5547,11868
419697,4066,11862
