LASTFONT,TTI,FREQ
1270,3505,291
1019,2992,291
1465,3846,287
1302,3686,287
1324,3472,285
1046,3232,283
1236,3516,282
1528,4079,282
1367,3570.5,280
1178,3665,279
1355,3824.5,278
1338,3671.5,278
1700,4244,277
1526,4222,277
1372,3619,277
1260,3419,277
1584,3971,277
1285,3193,276
1313,3559,275
1356,3699,275
1062,2648,275
1764,4615,274
1217,3463.5,274
1237,3237.5,274
1334,3863,273
1504,3670,273
1102,3108.5,272
1190,3261,272
1461,4219.5,272
1201,3066,272
1326,3793,272
1159,3489,271
1615,4312,271
1098,3505,271
1289,3528,271
1187,3388,271
1416,3698,271
1400,3705.5,270
1164,3196.5,270
1193,3429.5,270
1282,3668,269
1180,3486,269
1377,3740,269
1389,3794,269
1540,4018,269
1566,3928,269
1314,3984,268
976,2550.5,268
1101,3061.5,268
1474,4243.5,268
1105,2947,267
1332,3665,267
1365,3747,267
1545,3790,267
1204,3358,267
1467,4403,267
1755,4314,267
1280,3559,267
1107,3231,266
1291,3682.5,266
1484,4180.5,266
1455,3758,266
1328,3445,265
1582,3980,265
1532,3973,265
1563,4045,265
1288,3248,265
1407,3928,265
1432,3648,264
1232,3199,264
1596,3720,264
1589,4338.5,264
1274,3600,264
1406,3637.5,264
1693,4670.5,264
1245,3317.5,264
1404,4234,264
1308,3790.5,264
1449,3973.5,264
1477,3928,263
1368,3800,263
1349,3495,263
1667,4560,263
2005,4729,263
1197,3290,263
1574,4014,262
1025,2910,262
1850,4521.5,262
1743,4536.5,262
1701,4516.5,262
1059,2925.5,262
1185,3130,262
1619,4447,262
1510,4015.5,262
1430,3735.5,262
1872,4519,262
1128,3183,262
1516,4024,262
1319,3286,261
1686,4061,261
1234,3589,261
1695,4335,261
1167,3051,261
1573,3961,261
1382,3807,261
1609,4527,261
1498,3844,261
1347,3761,261
1228,3429,261
1262,3603,261
1443,3882,261
1162,3324,261
1177,3448,260
1202,3474,260
1577,4423,260
1506,3970,260
1239,3553,260
1394,3895.5,260
1136,3068,260
990,2734,260
1267,3605,260
1750,4612,260
1343,3627,260
1714,4405,260
1518,3996.5,260
1287,3454,260
1402,3934,260
1656,4268.5,260
1551,4046,259
1158,3376,259
1033,2902,259
1774,4287,259
1481,4262,259
1044,3089,259
1363,3656,259
1603,4194,259
1203,3346,259
1535,4325,259
1547,4028,259
1281,3372,259
1454,3874,259
1594,4468,259
1227,3174,258
1527,4137.5,258
1435,3817,258
1255,3341,258
1106,3189.5,258
1339,3441.5,258
1813,4634.5,258
1409,3942,258
1426,3760.5,258
1671,4328,258
1466,4011.5,258
952,3040.5,258
1538,4077,257
1588,4230,257
1388,3846,257
1108,3110,257
1450,3837,257
1851,4953,257
1241,3532,257
1397,3798.5,256
1611,3931,256
1489,3968,256
1942,4958.5,256
1580,3895.5,256
2067,4796,256
974,2868,256
1122,3353.5,256
1139,3122.5,256
1375,3717,256
971,2895.5,256
2034,4741,256
1056,3196,256
1631,4393.5,256
1192,3186.5,256
1557,3856,256
1331,3901,256
1739,4408,256
1475,3834,256
1704,4513.5,256
1811,4763.5,256
1428,3714.5,256
1182,3443,255
1199,3402,255
1094,3442,255
1076,2999,255
1491,4081,255
1598,3937,255
1682,4538,255
1887,5075,255
1283,3520,255
1429,3934,255
1381,3609,255
1658,4217,255
1396,4067,255
1231,3426,255
1258,3485,254
1828,4559,254
1014,2932,254
1463,3978.5,254
1194,3086.5,254
1284,3542,254
1665,4190.5,254
1351,3571,254
