"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","non_bounce_sessions","page_visit_time","session_duration","session_length","sessions","bounces","beacons","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop","0","100","1169.485860044","68879","3.649","1","2","5","3.757","0.837230235","167780","61.0","8979","44","331","5.256","167780","27308","859321","17.2","5.52","0 - 100 ms","0.4105316485874359","0.45315339567370433","5"
"article","Desktop","0","200","1034.56141637","67740","3.622","1","2","5","3.129","0.852997815","187249","148.0","5961","35","261","4.439","187249","51254","811447","28.27","4.35","100 - 200 ms","0.36176428178521647","0.45315339567370433","5"
"article","Desktop","0","300","1019.96126383","65665","3.788","1","2","5","3.151","0.838970782","171051","250.0","5344","35","277","4.605","171051","48861","768588","29.49","4.62","200 - 300 ms","0.38389135404060776","0.45315339567370433","5"
"article","Desktop","0","400","992.600371528","62618","3.553","1","2","5","2.891","0.834497178","165759","350.0","4603","34","254","4.233","165759","51065","684842","31.69","4.23","300 - 400 ms","0.3777653098775934","0.45315339567370433","5"
"article","Desktop","0","500","1009.344040511","62047","3.261","1","2","4","2.659","0.825057046","161946","450.0","4126","33","230","3.908","161946","53527","618851","33.92","3.83","400 - 500 ms","0.38313388413421756","0.45315339567370433","5"
"article","Desktop","0","600","1031.645937903","60642","3.069","1","2","4","2.508","0.815147824","154562","550.0","3495","32","216","3.713","154562","53840","561886","35.64","3.6","500 - 600 ms","0.39234740751284275","0.45315339567370433","5"
"article","Desktop","0","700","1083.175063774","58658","3.039","1","2","4","2.463","0.803179288","142951","649.0","3079","32","218","3.71","142951","50238","518252","35.92","3.63","600 - 700 ms","0.4103364089793006","0.45315339567370433","5"
"article","Desktop","0","800","1136.201646636","55862","3.023","1","2","4","2.509","0.793795411","130345","749.0","2884","33","225","3.805","130345","45824","484357","35.95","3.75","700 - 800 ms","0.4285703325789252","0.45315339567370433","5"
"article","Desktop","0","900","1195.820892565","53974","3.123","1","2","4","2.631","0.782071929","119040","849.0","2638","34","242","4.048","119040","40161","471839","34.5","4.03","800 - 900 ms","0.4534106182795699","0.45315339567370433","5"
"article","Desktop","0","1000","1249.422697497","52505","3.15","1","2","4","2.693","0.771252858","110089","950.0","2592","35","252","4.196","110089","36020","451248","33.51","4.2","0.9 - 1.0 s","0.47693230022981403","0.45315339567370433","5"
"article","Desktop","0","1100","1292.337008342","50881","3.19","1","2","4","2.767","0.761402303","101834","1050.0","2470","37","266","4.361","101834","31731","433538","31.93","4.43","1.0 - 1.1 s","0.4996464834927431","0.45315339567370433","5"
"article","Desktop","0","1200","1358.345059015","49759","3.128","1","2","4","2.734","0.756039021","97734","1150.0","2409","37","266","4.327","97734","30530","413050","32.03","4.43","1.1 - 1.2 s","0.5091268135960874","0.45315339567370433","5"
"article","Desktop","0","1300","1407.949225633","48247","3.091","1","2","4","2.691","0.752265253","93818","1250.0","2172","36","263","4.28","93818","29781","392599","32.5","4.38","1.2 - 1.3 s","0.5142616555458441","0.45315339567370433","5"
"article","Desktop","0","1400","1471.342803593","46509","3.018","1","2","4","2.663","0.74364626","87723","1350.0","2133","37","264","4.263","87723","27058","365147","31.61","4.4","1.3 - 1.4 s","0.5301802263944462","0.45315339567370433","5"
"article","Desktop","0","1500","1524.662357981","44548","2.966","1","1","3","2.629","0.741139462","83410","1450.0","2109","37","262","4.213","83410","26041","343054","32.03","4.37","1.4 - 1.5 s","0.5340846421292411","0.45315339567370433","5"
"article","Desktop","0","1600","1582.431919657","42238","2.879","1","1","3","2.554","0.73751931","78548","1550.0","1878","36","252","4.102","78548","24956","314316","32.55","4.2","1.5 - 1.6 s","0.5377348882212151","0.45315339567370433","5"
"article","Desktop","0","1700","1643.201768809","39935","2.82","1","1","3","2.468","0.735873133","74292","1650.0","1765","36","247","3.984","74292","24327","288833","33.54","4.12","1.6 - 1.7 s","0.5375410542184892","0.45315339567370433","5"
"article","Desktop","0","1800","1693.480557634","38607","2.762","1","1","3","2.404","0.734011903","71654","1750.0","1763","36","241","3.892","71654","23985","271800","34.32","4.02","1.7 - 1.8 s","0.5387975549166829","0.45315339567370433","5"
"article","Desktop","0","1900","1776.106100792","36433","2.698","1","1","3","2.318","0.736342753","68734","1850.0","1651","35","235","3.749","68734","23974","251277","35.74","3.92","1.8 - 1.9 s","0.5300579043850205","0.45315339567370433","5"
"article","Desktop","0","2000","1824.448448226","34938","2.657","1","1","3","2.243","0.734576501","66065","1950.0","1545","35","228","3.648","66065","23723","234915","36.77","3.8","1.9 - 2.0 s","0.5288428063271021","0.45315339567370433","5"
"article","Desktop","0","2100","1902.120852365","33668","2.569","1","1","3","2.179","0.735852551","63975","2050.0","1443","34","219","3.531","63975","23551","220200","37.66","3.65","2.0 - 2.1 s","0.5262680734661977","0.45315339567370433","5"
"article","Desktop","0","2200","1959.936594592","31836","2.518","1","1","3","2.118","0.736852342","61002","2150.0","1355","33","206","3.432","61002","23031","204035","38.61","3.43","2.1 - 2.2 s","0.5218845283761188","0.45315339567370433","5"
"article","Desktop","0","2300","2035.61597283","30060","2.489","1","1","3","2.065","0.737652233","58122","2250.0","1286","33","207","3.353","58122","22545","189857","39.67","3.45","2.2 - 2.3 s","0.517187983895943","0.45315339567370433","5"
"article","Desktop","0","2400","2093.507264616","28482","2.425","1","1","3","1.994","0.736002454","55099","2350.0","1152","33","201","3.248","55099","21684","174533","40.2","3.35","2.3 - 2.4 s","0.5169240821067533","0.45315339567370433","5"
"article","Desktop","0","2500","2165.562305339","26789","2.417","1","1","3","1.971","0.735607167","51896","2450.0","1049","33","196","3.219","51896","20584","163153","40.48","3.27","2.4 - 2.5 s","0.5162054878988747","0.45315339567370433","5"
"article","Desktop","0","2600","2261.764865651","25431","2.351","1","1","2","1.936","0.740023326","50032","2550.0","1059","32","189","3.131","50032","20385","152571","41.62","3.15","2.5 - 2.6 s","0.5082946913975056","0.45315339567370433","5"
"article","Desktop","0","2700","2329.604090947","23893","2.347","1","1","2","1.899","0.737372636","46828","2650.0","923","33","191","3.097","46828","19124","141753","41.66","3.18","2.6 - 2.7 s","0.510228922866661","0.45315339567370433","5"
"article","Desktop","0","2800","2390.912199826","22774","2.33","1","1","2","1.883","0.736584254","44484","2750.0","929","32","185","3.076","44484","18158","133288","41.69","3.08","2.7 - 2.8 s","0.511959356173006","0.45315339567370433","5"
"article","Desktop","0","2900","2470.91531939","21379","2.299","1","1","2","1.874","0.73508184","41723","2850.0","894","32","186","3.052","41723","17192","124133","42.11","3.1","2.8 - 2.9 s","0.5124032308319153","0.45315339567370433","5"
"article","Desktop","0","3000","2519.673614653","20520","2.303","1","1","2","1.837","0.73406361","40034","2950.0","848","32","182","3.018","40034","16574","117744","42.3","3.03","2.9 - 3.0 s","0.5125643203277215","0.45315339567370433","5"
"article","Desktop","0","3100","2605.748240525","19235","2.277","1","1","2","1.822","0.733716854","37559","3049.0","801","32","180","2.988","37559","15533","109555","42.26","3.0","3.0 - 3.1 s","0.5121275859314678","0.45315339567370433","5"
"article","Desktop","0","3200","2695.200387111","18318","2.23","1","1","2","1.797","0.735627331","35853","3150.0","760","31","176","2.937","35853","15023","102592","42.81","2.93","3.1 - 3.2 s","0.5109195883189691","0.45315339567370433","5"
"article","Desktop","0","3300","2756.738270385","17292","2.217","1","1","2","1.755","0.732117108","33716","3250.0","681","31","175","2.893","33716","14118","95423","42.74","2.92","3.2 - 3.3 s","0.5128722268359236","0.45315339567370433","5"
"article","Desktop","0","3400","2841.567310905","16710","2.262","1","1","2","1.756","0.728806866","32248","3350.0","645","32","178","2.928","32248","13429","92232","42.49","2.97","3.3 - 3.4 s","0.518171669560903","0.45315339567370433","5"
"article","Desktop","0","3500","2917.993916568","15516","2.22","1","1","2","1.763","0.733982011","30418","3449.0","633","31","176","2.895","30418","12875","86061","43.23","2.93","3.4 - 3.5 s","0.5100927082648432","0.45315339567370433","5"
"article","Desktop","0","3600","2989.377282122","14732","2.235","1","1","2","1.75","0.731982366","28670","3550.0","591","31","175","2.898","28670","12102","81216","43.1","2.92","3.5 - 3.6 s","0.5138472270666201","0.45315339567370433","5"
"article","Desktop","0","3700","3067.220628243","14218","2.212","1","1","2","1.729","0.7258908","27241","3650.0","605","32","176","2.884","27241","11239","76793","42.19","2.93","3.6 - 3.7 s","0.5219338497118314","0.45315339567370433","5"
"article","Desktop","0","3800","3132.330432648","13565","2.169","1","1","2","1.74","0.729123012","26184","3750.0","541","31","170","2.864","26184","10935","73067","42.64","2.83","3.7 - 3.8 s","0.5180644668499848","0.45315339567370433","5"
"article","Desktop","0","3900","3197.18057727","12722","2.19","1","1","2","1.736","0.727730723","24484","3849.0","508","31","175","2.875","24484","10317","68731","43.03","2.92","3.8 - 3.9 s","0.5196046397647444","0.45315339567370433","5"
