TTFB,TTI,FREQ
1,5380,506336
339,3994,388271
315,3965,384568
328,4036,383159
272,3778,379212
300,3983,377382
296,3979,377284
312,4039,377188
317,4045,376746
316,4043,376558
313,4026,376096
297,3969,376075
299,3977,376073
306,4012,375725
302,3987,375710
314,4047,375577
333,4131,375487
301,3980,375482
298,3981,375460
318,4061,375421
303,3992,375388
290,3930,375239
310,4031,375122
311,4023,375109
294,3955,375102
309,4017,375061
332,4120,374793
280,3899,374792
282,3908,374789
304,3987,374771
327,4083,374762
320,4070,374680
307,4005,374667
308,4012,374582
330,4111,374537
380,4232,374371
322,4068,374321
293,3945,374252
295,3951,374244
326,4091,374242
279,3874,374237
329,4118,374161
283,3919,374076
323,4077,374027
305,3998,373861
319,4059,373810
350,4197,373736
292,3951,373711
325,4079.5,373572
284,3912,373538
346,4173,373441
278,3901,373417
321,4073,373210
288,3921,373193
342,4163,373137
324,4083,373125
341,4153,373041
381,4260,372975
289,3932,372950
285,3926,372943
334,4128,372798
286,3919,372758
287,3925,372755
291,3937,372752
335,4126,372692
343,4168,372538
348,4190,372514
281,3899,372492
344,4172,372415
345,4181,372363
340,4153,372269
276,3876,372159
331,4117,372111
336,4137,372049
347,4173,371995
266,3847,371835
349,4193,371655
337,4127,371501
351,4192,371417
352,4191,371316
338,4122,371252
359,4224,371248
275,3890,371228
358,4235,371220
354,4193,371168
277,3868,371087
360,4243,371080
265,3837,370915
269,3856,370835
366,4254,370823
353,4194,370527
355,4202,370460
362,4248.5,370442
365,4248,370211
273,3862,370209
267,3844,370171
357,4215,370144
363,4238,370001
264,3828,369997
274,3882,369934
268,3840,369908
361,4240,369902
367,4250,369720
270,3862,369680
262,3826,369468
374,4277,369372
8,2544,369356
261,3826,369232
271,3845,369179
364,4252,369030
379,4298,368812
368,4261,368620
263,3838,368619
376,4283,368497
372,4281,368449
384,4324,368398
377,4296,368353
356,4226,368326
369,4258,368266
375,4279,368228
382,4306,368051
370,4255,368047
260,3819,367963
373,4276,367899
383,4314,367840
378,4299,367695
9,2646,367665
371,4268,367558
259,3814,367509
258,3817,367175
256,3800,366181
385,4311,366160
390,4337,366108
386,4322,365877
250,3793,365764
257,3801,365163
255,3796,364947
395,4329,364886
254,3780,364803
249,3777,364725
399,4377,364715
388,4340,364648
391,4335,364529
387,4320,364431
251,3791,364420
389,4337,364146
