TTI,LASTFONT,FREQ
3490,1212.877153,871
3864,1215.741050,838
3898,1502.033499,806
3131,1303.071429,784
3154,1337.709091,770
3249,1218.593995,766
3356,1351.656619,763
4593,1522.564069,757
4279,1740.076821,755
3023,1191.149333,750
3652,1530.204819,747
4256,1301.657682,742
3434,1362.974290,739
3173,1029.193767,738
3242,1264.027174,736
3307,1314.246238,731
4060,1626.834247,730
2876,1182.854195,727
3208,1320.651994,727
3810,1593.550206,727
4493,1731.714876,726
2601,1033.457300,726
2975,1038.872928,724
3547,1527.595007,721
3981,1438.917942,719
3382,1304.662483,717
3223,1322.659693,717
3243,1249.099024,717
3185,1266.716480,716
3569,1477.117483,715
3155,1272.596073,713
4353,1767.677419,713
3098,1212.067606,710
3319,1514.966150,709
3293,1383.052260,708
2831,1184.563739,706
3347,1299.330496,705
5066,2127.713475,705
4236,1570.633523,704
3227,1199.401989,704
3499,1338.396307,704
4012,1607.210227,704
3699,1604.504274,702
3581,1428.519258,701
3351,1304.154286,700
2727,1055.171674,699
2950,1130.255014,698
3590,1362.018625,698
3897,1613.833811,698
5243,3088.812321,698
3086,1322.456241,697
3825,1529.038737,697
4574,4429.370690,696
3508,1422.179598,696
3601,1417.244604,695
2890,1110.703170,694
3653,1331.773449,693
3708,1480.410405,692
3143,1123.901592,691
3817,1564.843478,690
3207,1259.119186,688
3069,1192.152616,688
3996,1567.700581,688
2796,1083.123547,688
4507,1797.086006,686
4116,1676.919825,686
3819,1536.603499,686
3201,1236.925547,685
3327,1411.134307,685
3172,1290.652047,684
3405,1136.311859,683
4011,1755.385066,683
4051,1690.311859,683
3454,1548.521994,682
3524,1453.080645,682
2760,1072.270191,681
3329,1231.980910,681
4246,1670.744118,680
3359,1402.737850,679
3848,1572.857143,679
2964,1182.181416,678
2535,1076.032448,678
4939,1952.030973,678
2967,1243.264402,677
3150,1335.745938,677
2942,1150.387574,676
3467,1357.599112,676
3999,1685.989645,676
3655,1488.792593,675
2649,1047.666667,675
4437,1686.205926,675
3827,1635.553412,674
3300,1319.409496,674
3516,1470.004451,674
3156,1357.327893,674
3426,1454.409496,674
3729,1397.662704,673
3296,1370.285290,673
2633,1093.417533,673
3689,1652.849926,673
3650,1463.849926,673
3701,1578.516369,672
3478,1218.201192,671
3489,1458.329359,671
3484,1377.938806,670
2843,1245.534328,670
3678,1513.365672,670
2846,1266.911940,670
2935,1080.019403,670
4671,2049.444776,670
3107,1265.867164,670
4268,1871.339312,669
3008,1188.801196,669
4115,1689.362275,668
4603,1688.321856,668
3518,1494.422156,668
3828,1560.820090,667
4818,1690.424288,667
3241,1292.805097,667
3496,1445.743243,666
4185,1773.000000,666
3613,1480.411411,666
3863,1506.304805,666
2763,1141.772932,665
4085,904.455639,665
2685,1095.327820,665
3515,1356.181955,665
3324,1270.993976,664
3232,1180.170181,664
3857,1704.653092,663
2850,1191.013575,663
4281,1773.292609,663
3193,1270.357466,663
3643,1468.126697,663
3124,1311.909366,662
3603,1523.892749,662
3670,1496.262840,662
3209,1249.885196,662
4634,2082.584592,662
3074,1242.332326,662
