DEVICETYPENAME,reqFont,avg_visual_complete,median_visual_complete,visual_complete_90,FREQ
Mobile,0,12567.46747,8900,23100,1277805
Mobile,1,18145.34079,13500,33000,548522
Mobile,2,18942.06372,14200,33700,575167
Mobile,3,20184.38032,15300,36000,567723
Mobile,4,21529.1459,16500,38100,534987
Mobile,5,22957.46381,17900,40600,446552
Mobile,6,24493.10724,19300,43300,342805
Mobile,7,25996.46664,20800,45700,251240
Mobile,8,27168.43028,22000,47700,176831
Mobile,9,28038.31161,22900,49000,125209
Mobile,10,28949.76821,23700,50300,87082
Mobile,11,29728.94446,24600,51500,60637
Mobile,12,30515.42319,25200,53000,42633
Mobile,13,30892.88474,25500,53500,29940
Mobile,14,31423.49532,25700,55400,21275
Mobile,15,31353.05363,26000,54600,15270
Mobile,16,33251.82502,27600,56600,11927
Mobile,17,31413.81487,25600,55800,8902
Mobile,18,31698.5388,25700,56500,6869
Mobile,19,31856.85213,26300,56000,5390
Mobile,20,31975.53547,26000,57100,4299
Mobile,21,32016.36034,26400,57700,3394
Mobile,22,31280.62344,25200,55300,3131
Mobile,23,32118.92961,26300,55500,2415
Mobile,24,31729.83826,25900,56400,2065
Mobile,25,31350.51149,25300,54100,1697
Mobile,26,31052.07548,25500,56000,1550
Mobile,27,30770.02433,25400,53000,1521
Mobile,28,31268.47555,24700,57000,1329
Mobile,29,31336.36441,24600,54900,1180
Mobile,30,30901.25602,25500,54200,1039
Desktop,0,5529.906759,3500,10200,938823
Desktop,1,7153.944957,4900,12900,393331
Desktop,2,7616.587238,5300,13900,417177
Desktop,3,8014.344826,5700,14400,426418
Desktop,4,8501.71632,6200,15000,420051
Desktop,5,8995.234563,6600,15800,363774
Desktop,6,9669.125883,7300,16900,286940
Desktop,7,10253.01247,7800,17800,218325
Desktop,8,10735.80008,8200,18500,160491
Desktop,9,11051.68715,8600,19000,116730
Desktop,10,11490.46955,8900,19700,85107
Desktop,11,11616.31979,9100,20000,63016
Desktop,12,11952.42998,9300,20500,46188
Desktop,13,12177.92602,9500,20900,33251
Desktop,14,12412.59776,9600,21300,24329
Desktop,15,12247.13314,9600,21200,17838
Desktop,16,12649.48106,9700,22200,13493
Desktop,17,12256.38002,9500,21000,10352
Desktop,18,12414.28693,9600,21900,8577
Desktop,19,13817.33625,10600,26000,7206
Desktop,20,12617.16405,9800,22000,5157
Desktop,21,12576.57281,9700,22500,4148
Desktop,22,12081.0842,9100,21700,3848
Desktop,23,12687.78393,9500,22700,3036
Desktop,24,12399.64391,9400,22000,2505
Desktop,25,12918.40457,9400,23000,2190
Desktop,26,12851.31928,9400,23200,1898
Desktop,27,12790.47577,9300,23000,1816
Desktop,28,13107.02236,9500,24100,1610
Desktop,29,12989.41322,9300,24000,1331
Desktop,30,13053.16207,9300,24500,1234
Desktop,31,13356.27211,10400,24500,1029
