DEVICETYPENAME,bytesHtmlDoc,avg_visual_complete,median_visual_complete,visual_complete_90,FREQ
Desktop,0,6928.507722,4300,13900,90717
Desktop,1000,5389.50095,3100,10800,104773
Desktop,2000,4592.081196,2800,8700,89019
Desktop,3000,4416.955134,3000,7800,103977
Desktop,4000,4762.3993,3300,8400,121916
Desktop,5000,5281.146035,3700,9200,135967
Desktop,6000,5796.610903,4100,10200,150361
Desktop,7000,6260.599679,4400,11100,161218
Desktop,8000,6558.919527,4600,11500,167808
Desktop,9000,6894.310823,4900,12300,167719
Desktop,10000,7183.151842,5200,12600,166278
Desktop,11000,7413.197591,5400,13000,162204
Desktop,12000,7733.88666,5600,13500,154359
Desktop,13000,7930.38965,5800,13900,145849
Desktop,14000,8232.60858,6100,14400,136922
Desktop,15000,8482.806724,6300,14800,127036
Desktop,16000,8656.741936,6500,15000,118308
Desktop,17000,8822.007651,6600,15500,109008
Desktop,18000,8964.876229,6700,15800,99773
Desktop,19000,9204.969863,6900,16200,90885
Desktop,20000,9180.530151,6900,16400,84542
Desktop,21000,9373.084521,7100,16600,75804
Desktop,22000,9501.623886,7100,16800,69431
Desktop,23000,9512.66447,7200,16900,63726
Desktop,24000,9560.308089,7200,17000,58759
Desktop,25000,9627.888334,7200,17100,54636
Desktop,26000,9693.716991,7300,17100,50592
Desktop,27000,9763.01442,7300,17400,46880
Desktop,28000,9701.008337,7200,17300,43540
Desktop,29000,9877.370739,7400,17700,40368
Desktop,30000,9938.62139,7400,17900,37635
Desktop,31000,10041.59939,7500,18000,35029
Desktop,32000,10162.09988,7600,18400,33069
Desktop,33000,10187.84532,7500,18500,30295
Desktop,34000,10334.16876,7700,18700,28549
Desktop,35000,10221.44793,7600,18500,27176
Desktop,36000,10238.59027,7700,18600,25153
Desktop,37000,10258.6138,7600,18600,23656
Desktop,38000,10292.81553,7600,18500,22638
Desktop,39000,10374.29874,7700,18900,21293
Desktop,40000,10323.45326,7700,18600,19940
Desktop,41000,10384.94874,7700,18600,18905
Desktop,42000,10397.30462,7700,18700,18456
Desktop,43000,10355.76772,7700,18500,17789
Desktop,44000,10581.29645,7900,18900,16920
Desktop,45000,10389.40059,7800,18500,16044
Desktop,46000,10416.407,7800,18800,15764
Desktop,47000,10646.47222,8000,18900,14362
Desktop,48000,10848.15666,8000,19200,13411
Desktop,49000,10513.74749,8000,18400,13045
Desktop,50000,10769.46259,8000,18900,12495
Desktop,51000,10658.6771,8000,19000,11920
Desktop,52000,10671.12125,7800,18800,11291
Desktop,53000,10467.80205,7700,18500,10826
Desktop,54000,10809.45201,7900,19000,10064
Desktop,55000,10589.43924,7900,19000,9892
Desktop,56000,10097.14567,7600,18000,10222
Desktop,57000,10273.80721,7900,18200,10063
Desktop,58000,10267.40369,8000,18000,9807
Desktop,59000,10347.97344,8100,17800,9750
Desktop,60000,10397.56409,8200,18100,9268
Desktop,61000,10629.843,8500,18200,8847
Desktop,62000,10699.916,8200,19000,8107
Desktop,63000,10499.91423,8100,19000,7905
Desktop,64000,11117.28539,8400,20000,7071
Desktop,65000,11058.36895,8300,19100,6795
Desktop,66000,10928.16294,8200,19300,6616
Desktop,67000,11382.27346,8400,20000,6447
Desktop,68000,11035.54813,8300,19800,6254
Desktop,69000,10938.61327,8300,18900,6374
Desktop,70000,11242.07991,8500,19700,5844
Desktop,71000,11125.09869,8500,19600,5786
Desktop,72000,11288.34536,8700,19900,5490
Desktop,73000,11021.6459,8400,19500,5281
Desktop,74000,11229.06276,8600,19800,5258
Desktop,75000,11486.1451,8600,20600,4907
Desktop,76000,11305.01961,8600,20200,4844
Desktop,77000,11138.57938,8500,19600,4617
Desktop,78000,11224.33922,8400,20300,4590
Desktop,79000,11078.97432,8600,20000,4361
Desktop,80000,11322.68033,8600,20000,4317
Desktop,81000,11368.49046,8400,20000,4192
Desktop,82000,11418.50592,8600,19700,3967
Desktop,83000,11513.69937,8600,20700,4118
Desktop,84000,11215.17164,8500,20100,3857
Desktop,85000,11604.08211,8500,20700,3800
Desktop,86000,11712.59553,8600,20600,3669
Desktop,87000,11550.8597,8800,20800,3685
