DEVICETYPENAME,reqImg,avg_visual_complete,median_visual_complete,FREQ
Mobile,0,2611.676142,0,1970
Mobile,1,4408.02774,3200,43800
Mobile,2,7252.33274,6000,77003
Mobile,3,8517.424358,7100,90056
Mobile,4,9295.516494,7600,92733
Mobile,5,9622.009756,8000,93074
Mobile,6,10082.23015,8300,91920
Mobile,7,10465.79988,8600,95894
Mobile,8,10849.44365,9000,100381
Mobile,9,11386.96089,9300,98355
Mobile,10,11728.71326,9500,102324
Mobile,11,12247.95262,10000,103614
Mobile,12,12783.47437,10400,103979
Mobile,13,13418.24416,10900,104930
Mobile,14,13896.43405,11200,105234
Mobile,15,14584.9592,11800,103515
Mobile,16,15205.34481,12300,102587
Mobile,17,15604.5874,12600,102259
Mobile,18,16138.82894,13100,101782
Mobile,19,16528.94725,13600,102948
Mobile,20,16920.18674,13800,99245
Mobile,21,17334.61627,14100,98894
Mobile,22,17687.78551,14400,96191
Mobile,23,18158.62203,14800,94912
Mobile,24,18488.5769,15000,92839
Mobile,25,18860.96568,15300,91988
Mobile,26,19136.71621,15500,90990
Mobile,27,19383.99364,15700,87451
Mobile,28,19773.02275,16000,86032
Mobile,29,20167.70752,16300,83575
Mobile,30,20387.6705,16600,80357
Mobile,31,20726.15299,16900,77902
Mobile,32,21088.69437,17200,76152
Mobile,33,21378.96878,17400,73120
Mobile,34,21629.29437,17600,70509
Mobile,35,21897.57224,18000,68359
Mobile,36,22316.32204,18300,66020
Mobile,37,22400.34178,18300,63676
Mobile,38,22689.4019,18700,61214
Mobile,39,23125.80245,19000,59437
Mobile,40,23159.28159,19100,57563
Mobile,41,23553.03286,19400,55515
Mobile,42,23733.09237,19500,52853
Mobile,43,23903.6278,19600,51153
Mobile,44,24112.63206,19900,49690
Mobile,45,24153.078,20000,47806
Mobile,46,24404.82613,20200,46885
Mobile,47,24609.37795,20500,44707
Mobile,48,25004.77669,20700,43030
Mobile,49,25041.43621,20900,40822
Mobile,50,25222.4998,20900,39636
Mobile,51,25668.37965,21200,38190
Mobile,52,25785.70446,21400,36594
Mobile,53,25818.68934,21600,34955
Mobile,54,26085.83437,21700,33774
Mobile,55,26172.72652,21900,32426
Mobile,56,26242.48118,21700,31448
Mobile,57,26238.98236,22000,30730
Mobile,58,26430.18841,21900,29605
Mobile,59,26265.15406,21700,29268
Mobile,60,26111.29644,21500,28606
Mobile,61,26326.24626,21600,29128
Mobile,62,25951.41224,21100,27867
Mobile,63,26393.9553,21600,26534
Mobile,64,27123.60523,22600,24584
Mobile,65,27556.86172,23000,23019
