DEVICETYPENAME,bytesJS,avg_visual_complete,median_visual_complete,visual_complete_90,FREQ
Desktop,0,2331.355222,1600,3900,138871
Desktop,10000,3175.917881,2200,5200,22236
Desktop,20000,2827.513362,2000,4600,41871
Desktop,30000,3710.458525,2500,6100,23436
Desktop,40000,3979.202466,2600,6600,38273
Desktop,50000,4376.781601,2900,7300,41557
Desktop,60000,4679.579949,3100,8000,47937
Desktop,70000,5092.242971,3400,8700,48907
Desktop,80000,5253.201991,3500,9100,52448
Desktop,90000,5094.962212,3400,8900,61130
Desktop,100000,5509.010864,3800,9600,57346
Desktop,110000,5769.002236,3900,10000,55003
Desktop,120000,5973.859394,4000,10400,55154
Desktop,130000,5993.172969,4100,10600,55669
Desktop,140000,6004.41991,4100,10600,59246
Desktop,150000,6192.313417,4200,10800,55884
Desktop,160000,6224.333269,4300,11000,57278
Desktop,170000,6527.598527,4500,11600,54041
Desktop,180000,6563.158358,4500,11500,54863
Desktop,190000,6554.452397,4500,11700,54996
Desktop,200000,6515.97532,4500,11500,56241
Desktop,210000,6786.599358,4700,12000,54822
Desktop,220000,6773.535482,4700,12000,54788
Desktop,230000,6800.698522,4700,12200,54183
Desktop,240000,6951.566822,4800,12200,53530
Desktop,250000,7039.036791,4900,12500,53328
Desktop,260000,7181.280088,5000,12400,52994
Desktop,270000,7244.187797,5100,12600,51529
Desktop,280000,7197.27835,5100,12500,51234
Desktop,290000,7271.830191,5100,12900,50339
Desktop,300000,7281.68242,5100,12800,50740
Desktop,310000,7286.954567,5200,12800,49369
Desktop,320000,7556.449286,5400,13300,46861
Desktop,330000,7562.224418,5400,13200,46449
Desktop,340000,7458.39743,5300,13100,47236
Desktop,350000,7663.621525,5400,13500,45929
Desktop,360000,7877.769886,5600,13800,43874
Desktop,370000,7875.774128,5700,13700,42440
Desktop,380000,8122.042313,5900,14200,40815
Desktop,390000,8106.725317,5900,14100,40483
Desktop,400000,8152.563858,5900,14000,39361
Desktop,410000,8282.72927,6000,14200,38773
Desktop,420000,8186.780453,5900,14400,38921
Desktop,430000,8177.853237,6000,14100,39281
Desktop,440000,8272.661905,6000,14500,37173
Desktop,450000,8349.984933,6100,14500,36040
Desktop,460000,8336.8576,6000,14700,37823
Desktop,470000,8559.248078,6200,14900,34981
Desktop,480000,8447.168996,6100,14700,35202
Desktop,490000,8634.965998,6400,15000,33469
Desktop,500000,8598.805316,6400,14800,33598
Desktop,510000,8683.961214,6300,15100,32873
Desktop,520000,8743.696718,6500,15000,32267
Desktop,530000,8908.583101,6600,15400,31871
Desktop,540000,8940.17549,6700,15301,31130
Desktop,550000,8731.577875,6500,15100,31448
Desktop,560000,9107.715746,6600,15600,32098
Desktop,570000,9113.393916,6800,15800,30212
Desktop,580000,9006.351529,6700,15500,30208
Desktop,590000,9225.056811,7000,16000,28586
Desktop,600000,9179.098333,6900,15700,29339
Desktop,610000,9268.25407,7000,16000,27520
Desktop,620000,9419.640283,7100,16000,27024
Desktop,630000,9376.575336,7100,16000,26760
Desktop,640000,9513.702384,7200,16200,26131
Desktop,650000,9501.922732,7200,16300,25457
Desktop,660000,9764.677502,7400,16600,24456
Desktop,670000,9641.991814,7400,16400,24799
Desktop,680000,9372.61901,7100,16000,25187
Desktop,690000,9599.337257,7300,16400,24213
Desktop,700000,9596.030742,7300,16400,23746
Desktop,710000,9874.999351,7500,16900,23101
Desktop,720000,9813.599973,7500,16800,22416
Desktop,730000,9988.800215,7600,17000,21443
Desktop,740000,10111.17043,7800,17000,21006
Desktop,750000,10062.82911,7700,17100,20773
Desktop,760000,10256.66554,8000,17400,19602
Desktop,770000,10147.98689,7800,17200,19598
Desktop,780000,10319.08534,8000,17700,19264
Desktop,790000,10121.61221,7900,17100,19495
Desktop,800000,10167.5005,8000,17100,20014
Desktop,810000,10297.13004,8000,17400,18902
Desktop,820000,10254.3981,7900,17400,18224
Desktop,830000,10310.80727,8000,17500,17641
Desktop,840000,10442.18571,8100,17400,17597
Desktop,850000,10640.01221,8200,18000,16871
Desktop,860000,10641.27046,8400,17600,16749
Desktop,870000,10574.09193,8200,17900,16186
Desktop,880000,10812.17614,8400,18200,15533
Desktop,890000,10905.41458,8500,18400,15319
Desktop,900000,10807.88321,8500,18200,15164
Desktop,910000,10589.6691,8500,18000,15473
Desktop,920000,10877.55213,8800,18100,14944
Desktop,930000,10677.11896,8500,17900,14316
Desktop,940000,10950.82072,8900,18300,13995
Desktop,950000,10892.68507,8600,18300,13295
Desktop,960000,11048.59875,8700,18600,13069
Desktop,970000,10662.86199,8300,18200,13600
Desktop,980000,11235.19215,8900,19000,12464
Desktop,990000,11277.74066,8800,19100,12474
Desktop,1000000,11249.11048,8900,19000,11803
Desktop,1010000,11169.94848,8800,18900,11742
Desktop,1020000,11188.50286,8900,18900,11729
Desktop,1030000,11358.67873,8900,19100,11436
Desktop,1040000,11534.53519,9000,19400,10955
