DEVICETYPENAME,num_scripts,avg_visual_complete,median_visual_complete,visual_complete_90,FREQ
Desktop,0,2453.915147,1500,4300,90474
Desktop,1,3166.19991,2000,5300,35541
Desktop,2,3273.49526,2200,5600,50424
Desktop,3,3849.715013,2500,6800,54992
Desktop,4,4329.660721,2900,7600,61392
Desktop,5,4808.102407,3100,8500,70132
Desktop,6,5084.106047,3400,9000,76391
Desktop,7,5414.263174,3600,9600,81809
Desktop,8,5696.452388,3800,10200,84432
Desktop,9,5950.82305,4000,10500,88912
Desktop,10,6171.737583,4100,10900,93039
Desktop,11,6342.145763,4300,11300,95518
Desktop,12,6509.011185,4400,11500,97632
Desktop,13,6705.695735,4500,11900,98812
Desktop,14,6905.698226,4700,12300,99243
Desktop,15,7038.313103,4800,12500,99603
Desktop,16,7049.63813,4800,12600,101227
Desktop,17,7302.482328,5000,13000,99847
Desktop,18,7508.549749,5200,13300,96042
Desktop,19,7686.46856,5400,13500,92191
Desktop,20,7715.54673,5400,13700,94286
Desktop,21,7897.783333,5600,14000,89492
Desktop,22,7981.676848,5600,14100,86501
Desktop,23,8015.475492,5700,14200,85196
Desktop,24,8091.001439,5800,14300,84097
Desktop,25,8240.937769,5900,14500,81004
Desktop,26,8272.323693,5900,14600,79316
Desktop,27,8483.343125,6100,15000,75745
Desktop,28,8604.057992,6200,15100,73665
Desktop,29,8727.040882,6400,15300,70960
Desktop,30,8749.611959,6400,15200,69137
Desktop,31,8836.027975,6500,15500,66666
Desktop,32,8991.04557,6700,15700,63397
Desktop,33,9107.314516,6700,15800,61221
Desktop,34,9218.412433,6800,16000,57973
Desktop,35,9364.083013,6900,16200,54943
Desktop,36,9451.730898,7000,16500,53214
Desktop,37,9526.911981,7100,16500,51171
Desktop,38,9614.028898,7200,16700,48515
Desktop,39,9869.773615,7400,17300,46178
Desktop,40,9904.904315,7500,17100,44145
Desktop,41,9929.490369,7600,17100,41791
Desktop,42,10060.66307,7700,17200,39777
Desktop,43,10347.53614,7900,17800,38190
Desktop,44,10293.51756,7900,17700,36807
Desktop,45,10357.41324,7900,17900,34353
Desktop,46,10391.29752,7900,17900,32600
