DEVICETYPENAME,DOM_SIZE,TTI,FREQ
Mobile,580,8498.000,6415516
Desktop,850,4566.000,6226094
Mobile,4060,2840.000,5756990
Mobile,590,8252.000,5704782
Mobile,200,19478.000,5493908
Mobile,570,7118.000,5417807
Desktop,860,4736.000,5165242
Mobile,290,8500.000,4945560
Mobile,600,7646.000,4905710
Mobile,4050,3044.000,4733176
Mobile,410,16180.000,4698851
Mobile,3160,5067.000,4587422
Mobile,1200,13619.000,4575194
Mobile,560,7399.000,4543573
Desktop,20,4508.000,4462664
Mobile,20,7612.000,4324974
Mobile,70,5055.000,4296960
Mobile,1190,13298.000,4284204
Mobile,610,9337.000,4057200
Mobile,420,15593.000,4020818
Mobile,180,15037.000,3968803
Mobile,550,8760.000,3753307
Mobile,630,8727.000,3748521
Mobile,310,18208.000,3694327
Mobile,320,16920.000,3683506
Mobile,1180,11769.000,3627491
Mobile,620,9240.000,3593080
Mobile,190,18302.000,3549711
Mobile,400,14929.000,3547940
Mobile,1210,13312.000,3547452
Mobile,650,9877.000,3457185
Mobile,470,12446.000,3450383
Desktop,1020,8487.000,3335142
Mobile,1170,11949.000,3258811
Mobile,450,13050.000,3256385
Desktop,960,7857.000,3234262
Mobile,430,13766.000,3223821
Mobile,660,10596.000,3205879
Mobile,440,12998.000,3187379
Mobile,1150,12516.000,3182606
Desktop,1030,8730.000,3178845
Mobile,1160,12332.000,3178233
Desktop,1000,8204.000,3177408
Desktop,950,7908.000,3158968
Mobile,460,13059.000,3143716
Desktop,1010,8205.000,3112862
Mobile,340,9736.000,3102411
Desktop,930,7625.000,3094405
Desktop,970,7967.000,3080280
Desktop,920,7642.000,3079709
Mobile,1020,13978.000,3058500
Desktop,1190,8335.000,3056715
Desktop,940,7754.000,3052023
Mobile,1140,12871.000,3046213
Mobile,1290,12060.000,3044927
Mobile,1300,12394.600,3004245
Desktop,980,8098.000,2999771
Mobile,3250,5301.000,2997915
Mobile,1220,11772.000,2994048
Mobile,1420,16854.000,2988778
Mobile,2960,6438.000,2977068
Mobile,640,9776.000,2975252
Mobile,1030,13620.000,2957689
Mobile,210,19348.000,2956718
Desktop,910,7551.000,2940812
Desktop,1040,8592.000,2931174
Desktop,990,8138.000,2926144
Mobile,3200,5196.000,2908875
Mobile,1430,15738.000,2862189
Mobile,1130,13777.000,2850201
Mobile,1240,11089.000,2821884
Desktop,1070,7420.000,2818441
Mobile,1230,11432.000,2816424
Desktop,830,6037.000,2814739
Mobile,1270,11486.000,2805960
Mobile,1280,11836.000,2803716
Mobile,540,9542.000,2787114
Desktop,190,5916.000,2776241
Desktop,900,7482.000,2774771
Mobile,1450,14650.000,2767401
Mobile,1080,13195.000,2758926
Mobile,530,9113.000,2753138
Mobile,1110,13155.000,2746502
Mobile,480,12379.000,2729116
Mobile,1630,13002.000,2712766
Mobile,1120,13188.000,2690985
Mobile,1470,13801.000,2688023
Mobile,1460,15068.000,2688009
Desktop,1050,8139.000,2686970
Mobile,1260,11683.000,2685723
Mobile,300,15524.000,2685292
Desktop,480,4848.000,2679766
Mobile,1440,14869.000,2677282
Mobile,1250,11338.000,2669975
Mobile,680,11596.000,2663883
Mobile,690,13020.000,2660093
Mobile,330,13285.000,2656557
Mobile,1310,12689.000,2652052
Mobile,1620,12813.000,2637286
Mobile,1040,13467.000,2632221
Desktop,470,5039.000,2624982
Mobile,1640,13435.000,2622426
Mobile,1410,14271.000,2608647
Desktop,1180,9192.000,2605134
Desktop,870,7035.000,2602499
Mobile,1090,13184.000,2600208
Mobile,900,11560.000,2588907
Mobile,670,11136.000,2577335
Mobile,1070,13418.000,2568739
Mobile,1100,13241.000,2565034
Desktop,890,7320.000,2557440
Mobile,890,12307.000,2546163
Mobile,350,8706.000,2529502
Mobile,220,13678.000,2520164
Mobile,1480,12914.000,2519452
Mobile,770,11390.000,2505118
Mobile,1770,11909.000,2503931
Mobile,1570,12731.000,2500357
Mobile,230,8261.000,2486554
Mobile,850,12897.000,2475573
Desktop,1170,9534.000,2473929
Mobile,1320,13027.000,2461305
Desktop,1380,8687.000,2450951
Mobile,1520,12012.000,2450353
Mobile,360,8713.000,2450198
Mobile,880,12332.000,2446916
Desktop,1200,8925.000,2445021
Mobile,1610,12564.000,2441397
Desktop,1330,9081.000,2436505
Desktop,1080,7718.000,2434907
Mobile,1380,12875.000,2432580
Desktop,2270,9611.000,2427314
Mobile,1050,13714.000,2423930
Mobile,1580,12976.000,2414465
Desktop,2510,7233.000,2412768
Mobile,840,12390.000,2408428
Mobile,1060,13554.000,2408247
Mobile,490,11930.000,2406779
Mobile,2990,6672.000,2406122
Mobile,370,9207.000,2391484
Desktop,880,7466.000,2381854
Mobile,1490,12514.000,2380542
Mobile,1500,12108.000,2377048
Mobile,520,9323.000,2374296
Desktop,1690,12869.000,2371577
Desktop,180,4726.000,2371419
Mobile,3170,6580.000,2370475
Mobile,710,12952.000,2367327
Mobile,1650,13251.000,2367117
Mobile,760,11605.000,2365703
Desktop,1060,8030.000,2356867
