DEVICETYPENAME,DOMAINS,TTI,FREQ
Mobile,37,6029.000,6428601
Mobile,38,6762.000,6261805
Mobile,39,7437.000,6230006
Mobile,40,7834.000,6196468
Mobile,9,4273.000,6157099
Mobile,36,5720.000,6020967
Mobile,41,7858.000,5794308
Mobile,17,4525.000,5637615
Mobile,20,4902.000,5521470
Mobile,12,4782.000,5492602
Mobile,21,4832.000,5434760
Mobile,11,4780.000,5432851
Mobile,35,5556.000,5420060
Mobile,10,4476.000,5402427
Mobile,34,5448.000,5271695
Mobile,42,7649.000,5203746
Mobile,18,4682.000,5189662
Mobile,16,4623.000,5030550
Mobile,8,3357.000,4982223
Mobile,19,4981.000,4829198
Mobile,33,5325.000,4825995
Mobile,43,7470.000,4605117
Mobile,15,4535.000,4513192
Mobile,14,4691.000,4403878
Mobile,44,7365.000,4245588
Desktop,15,4171.000,4233805
Mobile,22,5449.000,4230114
Mobile,32,5425.000,4124485
Mobile,13,4850.000,4105221
Mobile,45,7406.000,4089197
Mobile,26,5520.000,4086464
Mobile,27,5483.000,4013027
Mobile,28,5455.000,3847985
Mobile,24,5667.000,3812485
Mobile,23,5496.000,3810074
Mobile,25,5389.000,3802503
Mobile,46,7288.000,3767844
Mobile,31,5383.000,3691489
Mobile,29,5363.000,3602215
Mobile,7,4260.000,3567062
Mobile,30,5425.000,3537891
Desktop,38,4943.000,3521851
Desktop,16,4435.000,3451830
Desktop,37,5084.000,3413334
Mobile,5,3428.000,3373098
Desktop,27,5185.000,3364769
Desktop,28,5582.000,3305174
Desktop,35,4654.000,3197513
Desktop,26,4707.000,3194806
Mobile,6,4010.000,3192844
Mobile,47,7087.000,3174672
Desktop,36,4926.000,3123246
Desktop,17,4145.000,3118895
Desktop,34,4717.000,3108597
Desktop,20,4342.000,3101179
Desktop,25,4433.000,3086635
Desktop,22,4717.000,3061501
Desktop,29,5506.000,3013964
Desktop,39,5125.000,3011585
Desktop,21,4311.000,3007493
Desktop,23,4768.000,2939177
Desktop,18,4280.000,2875614
Desktop,33,4822.000,2872289
Desktop,24,4709.000,2841627
Desktop,14,4184.000,2813093
Desktop,11,3996.000,2804818
Desktop,32,4953.000,2771056
Desktop,30,5303.000,2741349
Desktop,19,4443.000,2735608
Mobile,48,7012.000,2710619
Desktop,31,5225.000,2670324
Desktop,13,4108.000,2658415
Desktop,5,2438.000,2597880
Desktop,12,4259.000,2584766
Desktop,40,5315.000,2540523
Mobile,49,6898.000,2528184
Mobile,50,6891.000,2412017
Desktop,10,3850.000,2399177
Mobile,51,6997.000,2365276
Mobile,52,7131.000,2336862
Desktop,41,5482.000,2296912
Mobile,53,7183.000,2258727
Desktop,44,5694.000,2254109
Desktop,45,5748.000,2224396
Desktop,43,5530.000,2215584
Desktop,6,2935.000,2180630
Mobile,57,6882.000,2176799
Mobile,58,6892.000,2158264
Desktop,42,5532.000,2148314
Mobile,54,7092.000,2145214
Desktop,46,5756.000,2123635
Mobile,56,6952.000,2099131
Mobile,55,7014.000,2091645
Desktop,8,4508.000,2091314
Mobile,59,6979.000,2065357
Mobile,64,6779.000,2037347
Mobile,2,4586.000,2034741
Desktop,47,5704.000,2032893
Desktop,9,3907.000,2021045
Mobile,65,6686.000,2015109
Desktop,4,1923.000,1975864
Mobile,63,7084.000,1968124
Mobile,60,7172.000,1941092
Mobile,62,7348.000,1911748
Desktop,7,3791.000,1893651
Mobile,61,7373.000,1887062
Mobile,66,6865.000,1873084
Mobile,3,4660.000,1842564
Desktop,48,5812.000,1802704
Desktop,49,5765.000,1648241
Mobile,67,7068.000,1640467
Desktop,2,3054.000,1580527
Mobile,4,4470.000,1569226
Desktop,61,6491.000,1560196
Desktop,50,5840.000,1525522
Desktop,63,6803.000,1520222
Desktop,62,6784.000,1513889
Desktop,3,2811.000,1465215
Desktop,51,5960.000,1459325
Desktop,64,7097.000,1442135
Mobile,68,7543.000,1432677
Desktop,52,6003.000,1414567
Desktop,60,6641.000,1412811
Desktop,59,6585.000,1343434
Desktop,53,5983.000,1334694
Desktop,65,7190.000,1304823
Mobile,69,7900.000,1294435
Desktop,58,6665.000,1282346
Desktop,57,6661.000,1238605
Desktop,56,6559.000,1235262
Desktop,54,6359.000,1230362
Desktop,55,6478.000,1218511
Mobile,70,8259.000,1170437
Desktop,66,7321.000,1142036
Desktop,67,7539.000,1019182
Mobile,71,8644.000,1005825
Desktop,68,7739.000,919150
Mobile,72,9083.000,861793
Desktop,69,8040.000,806414
Mobile,73,9625.000,724804
Desktop,70,8257.000,723814
Desktop,71,8521.000,679265
Desktop,72,8631.000,639712
Mobile,74,10073.000,615256
Desktop,73,8742.000,599031
Desktop,74,8791.000,552866
Tablet,37,6826.000,532515
Tablet,36,6682.000,523466
Tablet,35,6298.000,517124
Mobile,75,10237.000,513370
Desktop,75,8767.000,507595
Tablet,38,7331.000,506272
Tablet,39,7670.000,505423
Tablet,33,6332.000,503896
Tablet,34,6364.000,497187
Tablet,40,7654.000,482528
Tablet,41,7642.000,473515
Desktop,76,8580.000,462762
Tablet,42,7782.000,457679
Tablet,43,7901.000,451886
Mobile,76,10386.000,450246
Tablet,29,6205.000,449829
Tablet,44,8060.000,426361
Tablet,32,6451.000,423785
Tablet,18,5525.000,414358
Tablet,30,6199.000,411558
Tablet,28,6365.000,403164
Tablet,45,8317.000,395855
Tablet,31,6269.000,395545
Desktop,77,8690.000,391876
Mobile,77,10569.000,377204
Tablet,46,8467.000,371326
Tablet,27,6399.000,370827
Tablet,20,5683.000,365761
Tablet,54,8677.000,365164
Tablet,53,9195.000,351965
Tablet,17,6096.000,350205
Tablet,55,7995.000,343647
Tablet,19,6012.000,343357
Tablet,47,8541.000,338436
Tablet,26,6347.000,333503
Desktop,78,8839.000,329879
Tablet,21,6017.000,324053
Mobile,78,10616.000,323245
Tablet,16,6204.000,315941
Tablet,5,3569.000,314496
Tablet,52,9295.000,312615
Tablet,25,6389.000,305506
Tablet,48,8535.000,301878
Tablet,56,7608.000,295681
Tablet,23,6616.000,293516
Tablet,24,6607.000,293401
Mobile,79,10459.000,293013
Desktop,79,8946.000,289750
Tablet,64,8639.000,288781
Tablet,22,6381.000,287347
Tablet,11,4873.000,285179
Tablet,63,9144.000,280570
Tablet,51,9086.000,278118
Tablet,49,8545.000,276489
Tablet,65,8690.000,274289
Tablet,9,4765.000,273456
Tablet,10,5402.000,268948
Desktop,80,8998.000,264854
Tablet,62,9745.000,263769
Tablet,50,8732.000,263119
Tablet,15,6221.000,261790
Mobile,80,10635.000,251368
Tablet,57,8063.000,246309
