DEVICETYPENAME,DOM_SIZE,TTI,FREQ
Mobile,580,2638.000,6415516
Desktop,850,1082.000,6226094
Mobile,4060,1152.000,5756990
Mobile,590,2569.000,5704782
Mobile,200,6800.000,5493908
Mobile,570,2285.000,5417807
Desktop,860,1203.000,5165242
Mobile,290,3337.000,4945560
Mobile,600,2593.000,4905710
Mobile,4050,1117.000,4733176
Mobile,410,6917.000,4698851
Mobile,3160,1748.000,4587422
Mobile,1200,5015.000,4575194
Mobile,560,2330.000,4543573
Desktop,20,1246.000,4462664
Mobile,20,1599.000,4324974
Mobile,70,2359.000,4296960
Mobile,1190,4870.000,4284204
Mobile,610,2835.000,4057200
Mobile,420,6304.000,4020818
Mobile,180,3555.000,3968803
Mobile,550,2537.000,3753307
Mobile,630,3089.000,3748521
Mobile,310,7850.000,3694327
Mobile,320,6206.000,3683506
Mobile,1180,3908.000,3627491
Mobile,620,2953.000,3593080
Mobile,190,4208.000,3549711
Mobile,400,6158.000,3547940
Mobile,1210,4551.000,3547452
Mobile,650,3330.000,3457185
Mobile,470,3703.000,3450383
Desktop,1020,2707.000,3335142
Mobile,1170,3939.000,3258811
Mobile,450,3607.000,3256385
Desktop,960,2628.000,3234262
Mobile,430,4379.000,3223821
Mobile,660,3607.000,3205879
Mobile,440,3677.000,3187379
Mobile,1150,4045.000,3182606
Desktop,1030,2833.000,3178845
Mobile,1160,4019.000,3178233
Desktop,1000,2618.000,3177408
Desktop,950,2634.000,3158968
Mobile,460,3708.000,3143716
Desktop,1010,2642.000,3112862
Mobile,340,3037.000,3102411
Desktop,930,2649.000,3094405
Desktop,970,2640.000,3080280
Desktop,920,2596.000,3079709
Mobile,1020,4417.000,3058500
Desktop,1190,2449.000,3056715
Desktop,940,2631.000,3052023
Mobile,1140,4063.000,3046213
Mobile,1290,4157.000,3044927
Mobile,1300,4307.000,3004245
Desktop,980,2697.000,2999771
Mobile,3250,1660.000,2997915
Mobile,1220,3929.000,2994048
Mobile,1420,5276.000,2988778
Mobile,2960,1958.000,2977068
Mobile,640,3621.000,2975252
Mobile,1030,4361.000,2957689
Mobile,210,4989.000,2956718
Desktop,910,2601.000,2940812
Desktop,1040,2616.000,2931174
Desktop,990,2657.000,2926144
Mobile,3200,1575.000,2908875
Mobile,1430,4986.000,2862189
Mobile,1130,4231.000,2850201
Mobile,1240,3707.000,2821884
Desktop,1070,2363.000,2818441
Mobile,1230,3838.000,2816424
Desktop,830,1846.000,2814739
Mobile,1270,3860.000,2805960
Mobile,1280,3990.000,2803716
Mobile,540,2735.000,2787114
Desktop,190,2142.000,2776241
Desktop,900,2604.000,2774771
Mobile,1450,4901.000,2767401
Mobile,1080,4195.000,2758926
Mobile,530,2744.000,2753138
Mobile,1110,4036.000,2746502
Mobile,480,3755.000,2729116
Mobile,1630,4169.000,2712766
Mobile,1120,4090.000,2690985
Mobile,1470,4684.000,2688023
Mobile,1460,4892.000,2688009
Desktop,1050,2556.000,2686970
Mobile,1260,3887.000,2685723
Mobile,300,5648.000,2685292
Desktop,480,1393.000,2679766
Mobile,1440,4826.000,2677282
Mobile,1250,3782.000,2669975
Mobile,680,3862.000,2663883
Mobile,690,4365.000,2660093
Mobile,330,3985.000,2656557
Mobile,1310,4246.000,2652052
Mobile,1620,4180.000,2637286
Mobile,1040,4104.000,2632221
Desktop,470,1523.000,2624982
Mobile,1640,4418.000,2622426
Mobile,1410,4594.000,2608647
Desktop,1180,3030.000,2605134
Desktop,870,2354.000,2602499
Mobile,1090,4078.000,2600208
Mobile,900,3871.000,2588907
Mobile,670,3921.000,2577335
Mobile,1070,4173.000,2568739
Mobile,1100,4072.000,2565034
Desktop,890,2539.000,2557440
Mobile,890,4207.000,2546163
Mobile,350,2825.000,2529502
Mobile,220,3783.000,2520164
Mobile,1480,4399.000,2519452
Mobile,770,3444.000,2505118
Mobile,1770,3828.000,2503931
Mobile,1570,4305.000,2500357
Mobile,230,2410.000,2486554
Mobile,850,4599.000,2475573
Desktop,1170,3354.000,2473929
Mobile,1320,4346.000,2461305
Desktop,1380,2907.000,2450951
Mobile,1520,4221.000,2450353
Mobile,360,2915.000,2450198
Mobile,880,4207.000,2446916
Desktop,1200,3027.000,2445021
Mobile,1610,4159.000,2441397
Desktop,1330,2832.000,2436505
Desktop,1080,2462.000,2434907
Mobile,1380,4007.000,2432580
Desktop,2270,3599.000,2427314
Mobile,1050,4236.000,2423930
Mobile,1580,4401.000,2414465
Desktop,2510,2350.000,2412768
Mobile,840,4108.000,2408428
Mobile,1060,4187.000,2408247
Mobile,490,3492.000,2406779
Mobile,2990,1906.000,2406122
Mobile,370,2910.000,2391484
