DOM_SIZE,TTI,FREQ
294,3549,1472472
70,2424,933879
293,3626,722317
336,3090,721232
67,2779,658300
180,1931,621595
22,3386,565989
323,3677,532346
270,2676,505130
200,7579,491439
68,2809,486122
20,2742,480070
181,4648,458178
356,3285,442986
432,4178,432088
123,2774,427969
337,3296,415033
71,3269,401001
188,3485,398243
1025,5624,375133
416,8301,372286
69,3059,370493
201,6922,369550
1021,5467,365526
177,3998,360898
1027,5033,358714
313,7976,355875
419,6280,336073
21,2092,330295
176,3323,329342
10,3718,329053
1022,5305,327631
311,8316,321390
264,1917,313692
625,3686,306839
407,8006,305793
186,9177,304364
415,8682,300838
267,3478,299823
34,2194,299651
474,3362,299145
308,7585,294412
1200,6036,292197
414,8757,291452
417,8143,290222
66,3120,289214
195,3985,288644
199,8286.5,287208
1026,5342,284893
1017,6393,281331
1199,6124,279459
271,3071,278866
412,8716,278801
411,8422,278564
413,8813,277934
1020,5306,274981
1023,5109,274191
671,5822,269456
318,8369,262378
291,3971,262200
1028,5150,257859
406,8549,257481
422,8033,257343
312,9791,257129
410,8458,256393
405,8152,252799
1018,4872,252709
408,8377,251813
315,9026,250705
324,5028,250463
310,9637,249827
643,5084,248584
644,4979,247634
187,6266,247485
1019,5243,246169
418,8283,245919
409,8321,245591
263,2742,244055
1201,6256,243806
306,8375,243139
1183,5231,242641
305,8623,240588
1198,6395,240285
645,4707,238514
196,5365,236511
189,3834,235085
197,5734,233112
1174,5712,232746
211,7580,232049
1197,6310,231209
1195,6195,230389
319,8760,230316
600,4167,230164
902,3993,229925
1192,6108,229735
1182,5343,228961
1191,6150,228844
178,7996,228669
1190,5989,228667
314,9744,228258
295,5874,227760
1034,5353,227251
579,5538,227093
281,5531,226467
1193,6119,226227
1203,6363,225876
1196,6239,225843
179,5770,225569
442,4428,225406
184,5048,225209
1194,6232,225048
88,2777,224808
642,5416,224744
202,6835,223982
1024,5256,223689
640,5379,223653
316,9245,223468
309,9413,223300
292,4865,221664
198,6799,220096
421,8431,218737
1175,5602,218482
1774,5796,218344
420,8492,218127
1189,6060,218106
641,5426,217904
1202,6401,217454
1204,6353,217419
578,6279,217268
646,4742,217043
1846,7954,215876
404,8312,214028
1205,6334,213696
2706,3970,213331
317,9318,213259
580,5234,212885
1188,5913,211373
423,8300,211351
216,6197,210435
1292,5460,210315
1181,5525,210060
577,6484,210021
1206,6293,209513
28,1258,209316
467,4464,208543
845,4870,207409
203,5864,207389
185,7822,206845
1039,5275,206839
875,4799,206799
613,7982,206790
661,4529,206733
401,7881,206661
1173,5495,206348
320,9333,206239
307,8796,205982
468,4114,205768
1187,6037,204917
2709,5111,204898
1016,4687,204874
1568,5905,204768
1490,4662,204550
431,6836,204408
403,7816,204214
1186,6015,203172
848,5862,201784
2272,5259,201759
1029,5108,201604
1465,7233,201157
709,3514,200565
1184,5845,200483
1467,6915,200313
880,4955,199987
887,4989,199960
1293,5197,199780
433,6355,199335
1185,5851,199166
1300,5298,198219
1012,5103,197782
89,3344,197616
889,5010,197396
106,2280,197340
1004,4817,197168
693,5694,196828
1207,6470,196489
849,5660,196354
1466,6807,196145
1180,5541,195853
692,5632,195710
470,5124,195701
24,2161,195600
898,4611,195442
2271,5152,194776
424,7826,193933
632,4163,193888
1176,5703,193887
1015,4766,193856
901,4938,193774
847,5812,193239
599,4151,193215
1208,6542,192858
1502,5095,192581
1030,5185,192395
954,5356,191871
956,5383,191764
471,5132.5,191462
843,5355,191247
1504,5197,191212
1225,5375,191019
304,8683,191004
888,5134,190960
1301,5538,190943
851,5465,190807
1418,6142,190507
1224,5231,190309
1566,6436,190084
1006,5008,189973
473,4668,189889
1456,6119,189867
