DEVICETYPENAME,IMAGES,TTI,FREQ
Mobile,2,4252.000,40598253
Mobile,1,4659.000,38860959
Mobile,3,4433.000,31889256
Desktop,13,1503.000,25829745
Mobile,23,2070.000,23843827
Desktop,1,1757.000,23698429
Desktop,2,3065.000,22804350
Mobile,19,2749.000,21952119
Mobile,15,2733.000,21369512
Desktop,5,3306.000,20696357
Mobile,14,3173.000,19722227
Desktop,9,1864.000,19604769
Mobile,5,3458.000,18906958
Desktop,3,3330.000,18246883
Desktop,6,2865.000,18122832
Mobile,16,3171.000,17147768
Mobile,26,3092.000,17070432
Mobile,25,3381.000,17067732
Mobile,17,3148.000,16941193
Mobile,18,3218.000,16482683
Mobile,6,3146.000,16447204
Desktop,4,2895.000,16278354
Mobile,24,3486.000,16086121
Mobile,20,3417.000,15720030
Mobile,4,3227.000,15517695
Mobile,29,3822.000,15055716
Mobile,30,3492.000,14922615
Mobile,86,1152.000,14561220
Mobile,13,3442.000,14298215
Mobile,12,3240.000,14151633
Mobile,21,3471.000,14124746
Mobile,28,3409.000,13989830
Mobile,32,3237.000,13957060
Mobile,31,3372.000,13819413
Mobile,22,3478.000,13607037
Mobile,11,3369.000,13383383
Desktop,18,2535.000,13371624
Mobile,27,3391.000,13152276
Desktop,12,2560.000,13016651
Mobile,9,3741.000,12778614
Desktop,24,3287.000,12757089
Mobile,8,3652.000,12673377
Mobile,10,3460.000,12551968
Desktop,8,3108.000,12330440
Desktop,15,2752.000,12263448
Desktop,7,2959.000,12181694
Desktop,23,3161.000,12126621
Desktop,14,2503.000,12092960
Desktop,11,2800.000,12078097
Mobile,7,3556.000,11995218
Desktop,10,2391.000,11756509
Desktop,21,3098.000,11578406
Mobile,33,3471.000,11562965
Desktop,19,3373.000,11425712
Desktop,17,2924.000,11246959
Mobile,35,3884.000,11234019
Desktop,22,3209.000,11140408
Desktop,16,2841.000,10945510
Mobile,34,3571.000,10669086
Desktop,27,3615.000,10304352
Desktop,26,3596.000,10126552
Desktop,20,3243.000,10121140
Desktop,25,3411.000,9776220
Desktop,28,3451.000,9597421
Mobile,36,3746.000,9342739
Mobile,37,3895.000,8937099
Desktop,30,3452.000,8881668
Desktop,33,3612.000,8839953
Desktop,29,3515.000,8799801
Desktop,31,3398.000,8579792
Desktop,36,3456.000,8526955
Desktop,35,3570.000,8443532
Mobile,54,4287.000,8412971
Mobile,64,3687.000,8412207
Mobile,55,4022.000,8297435
Desktop,58,2716.000,8142686
Mobile,66,2897.000,8060920
Desktop,38,3711.000,8036734
Mobile,38,3837.000,8032481
Mobile,44,3954.000,8024913
Desktop,32,3581.000,7920762
Mobile,41,3756.000,7859911
Desktop,34,3696.000,7857402
Mobile,65,3694.000,7378443
Mobile,42,3849.000,7184901
Desktop,37,3728.000,7172688
