TTI,IMAGES,FREQ
3083,86.568056,69590
3290,60.556928,65231
3414,63.919107,63219
3885,68.048978,63171
3831,60.986417,61770
3573,69.663016,60175
2628,61.423856,60103
2047,80.482048,59270
3053,65.295000,58244
2699,72.567622,58176
4422,64.832249,58080
3092,66.619386,57691
3381,81.222309,57321
3284,68.967745,56953
3157,67.542420,56943
3462,68.184022,56890
3145,68.775752,56830
3262,68.742285,56807
3238,68.568489,56805
3543,68.211624,56794
3121,67.769359,56781
3268,68.179940,56780
3300,68.125978,56772
2259,53.392942,56759
3216,69.134050,56710
3188,68.730827,56707
3204,68.569298,56661
3200,67.999047,56661
3166,67.603163,56658
3199,69.084545,56656
3265,68.617302,56653
3116,68.863491,56641
3254,68.870760,56639
3109,68.942107,56639
3047,68.699297,56624
3180,68.570987,56623
3221,67.308290,56609
3211,68.802342,56608
3127,68.825416,56603
3286,68.859864,56602
3303,68.207876,56601
3267,68.289061,56597
3048,67.673629,56592
3232,68.975485,56578
3143,67.892000,56565
3098,69.079286,56555
3167,68.783279,56552
3295,69.093295,56552
3264,68.076646,56546
3044,69.651970,56544
3253,68.748753,56542
3465,69.457284,56536
3201,68.837714,56536
3179,68.969220,56530
3140,68.402353,56530
3099,69.407808,56529
3100,68.777334,56524
3348,68.547512,56523
3049,68.529076,56508
3184,69.649300,56507
3307,69.337929,56503
3293,68.571469,56500
3117,69.325492,56499
3089,68.047402,56496
3320,68.769254,56495
3176,68.220334,56487
3193,68.084378,56484
3416,68.339459,56481
3111,68.792404,56480
3280,68.383699,56474
3173,68.415774,56473
3257,68.621151,56471
3317,69.099045,56469
3260,68.927925,56469
3332,68.807392,56467
3244,69.301160,56465
3030,68.586030,56463
3269,69.127393,56463
3085,67.688068,56461
3118,68.143768,56459
3283,68.497866,56459
3203,67.941207,56452
3372,68.977784,56445
3149,67.889359,56444
3079,68.658038,56442
3281,68.941690,56440
3136,69.084163,56438
3183,68.464712,56435
3010,68.230322,56434
3261,68.351815,56433
3170,67.629271,56432
3119,68.829296,56431
3168,69.596268,56426
3391,68.912647,56426
3139,68.525255,56424
3218,67.866209,56424
3202,68.178911,56419
3023,67.507054,56418
3069,67.831496,56414
3366,68.479154,56414
3192,68.027211,56412
3322,68.969066,56411
3285,68.634912,56411
3291,67.758031,56408
3090,68.612005,56408
3152,69.154520,56407
3401,68.317324,56403
2999,67.568615,56402
3124,69.370330,56401
3337,68.239685,56399
3000,68.220646,56398
