IMAGE_SIZE,TTI,FREQ
126,9966.619703,11477897
84,9301.109176,7990051
42,9301.129045,6911696
168,10473.800669,3907663
210,10110.602563,1793757
252,10343.372885,1550021
420,15351.347540,855752
294,14623.459253,853057
2289,8308.415091,807037
1046,6460.102765,637457
44,140315.301444,582721
130192,7245.188332,539729
504,12835.738671,484317
378,16270.259149,464462
546,15174.647926,463840
2385,6041.549622,434966
55592,3720.064675,360929
24219,5074.420001,337411
336,16873.874926,333210
15130,66310.217408,326404
1150,6883.938566,326271
10419,6343.425728,325861
32991,13590.580216,323807
44796,3015.256434,321950
462,17194.221515,317220
43,8095.045572,312805
3101,20960.112444,299624
8352,9613.183382,285743
91022,3312.042045,257534
2583,3425.661983,251372
11165,7752.559047,250562
931297,19411.930419,250040
50362,4647.524257,241578
218018,2342.579702,225628
169,8205.086161,214830
2247,7265.508519,213703
767230,12922.866239,211511
85,8648.312880,203548
2331,10968.600855,198925
83155,3230.558587,187233
51796,9063.984362,184166
2373,11590.417672,182751
588,15936.226010,182173
46089,6230.205753,180780
3942,8526.867028,179226
86,62644.767726,178690
58327,3465.110181,176646
10285,5298.353125,170342
6888,7334.577412,168074
23024,7731.074644,166161
5430,18584.626089,164440
2427,15935.771383,162932
2337,4787.624975,154283
370105,4105.381127,153429
2469,15746.984047,151823
181818,6665.142996,151396
21093,6486.961449,151152
254032,5142.943091,149361
127,8036.149010,147990
65620,14338.658909,143261
7854807,7498.356021,137315
4150,4093.909929,132606
154742,6647.498111,128638
34534,212470.302735,127623
57984,6557.311223,127404
45872,2658.391951,126817
53971,6982.582882,126770
255110,5148.334224,126514
21615,9034.991014,126084
176129,5797.502150,124624
25246,9205.209953,121675
130234,6987.839186,121600
3184,7732.615491,120663
8394,6464.547450,118725
4812,6782.647902,118646
4080,4537.126792,115709
216905,3564.156073,115254
34718,7871.842367,113809
2343,6479.585848,112227
22172,9176.546404,112177
26230,6357.878467,109386
526982,6894.483485,105265
6020,6961.107444,100164
2511,15213.443431,99136
105782,45197.087460,96227
26232,14899.377350,95524
49620,73017.780153,94443
88122,3971.468111,94375
161115,6255.409621,91421
208308,11344.126646,90354
7350,5649.284125,90147
25353,6045.829733,89894
58285,3431.062067,89371
53377,7381.460077,88972
932036,20083.780648,88538
46763,6186.564007,88334
11448,7341.510449,88234
37310,3617.868196,87888
3210,2984.336564,87707
1,14975.014938,86626
2369281,7094.027072,85918
834391,4046.837784,83401
1365,2967.589416,82032
7257,9956.543049,81849
887840,6484.874870,81603
241492,9337.320103,80877
132058,7737.333491,80341
7905,8848.186001,79634
758208,7310.259255,79123
6601,6444.442454,78537
26062,7392.921896,78319
205,9407.767147,78045
318,5396.816491,77740
1234,7285.742207,76542
