DEVICETYPENAME,JS_SIZE,TTI,FREQ
Mobile,0,6133.000,15793912
Desktop,0,3865.000,12611114
Mobile,10000,4671.000,10808149
Mobile,20000,6322.000,6631422
Desktop,10000,4154.000,5684792
Mobile,30000,6826.000,5358481
Desktop,20000,4573.000,4535677
Mobile,80000,6460.000,4240599
Mobile,60000,7811.000,3907422
Mobile,40000,6394.000,3672891
Mobile,70000,7135.000,3542684
Desktop,30000,4645.000,3404249
Mobile,90000,7167.000,3257340
Desktop,80000,4801.000,2860556
Desktop,70000,4789.000,2778424
Mobile,210000,8079.000,2713553
Desktop,40000,4565.000,2640181
Mobile,100000,7333.000,2591486
Mobile,150000,7035.000,2556112
Desktop,160000,4452.000,2475629
Mobile,160000,7716.000,2475086
Mobile,50000,7733.000,2347459
Mobile,110000,7342.000,2339468
Mobile,130000,7484.000,2307059
Mobile,200000,7792.000,2219148
Desktop,50000,3927.000,2211547
Desktop,60000,4474.000,2207911
Mobile,140000,7844.000,2126745
Desktop,180000,4541.000,2084601
Mobile,120000,7470.000,2079294
Mobile,250000,6819.000,2074250
Mobile,320000,9472.000,2037935
Desktop,90000,4881.000,2031772
Mobile,190000,8048.000,1980135
Mobile,170000,7300.000,1971436
Mobile,420000,5207.000,1944576
Mobile,180000,7751.000,1930815
Mobile,300000,8460.000,1887497
Desktop,330000,5993.000,1882163
Desktop,300000,4450.000,1871338
Mobile,380000,8777.000,1818031
Mobile,220000,8042.000,1797791
Desktop,210000,5086.000,1792845
Mobile,260000,7185.000,1784764
Desktop,1020000,13274.000,1774691
Desktop,190000,4600.000,1725097
Mobile,270000,7009.000,1705124
Desktop,100000,4709.000,1699668
Mobile,350000,7539.000,1687022
Mobile,340000,7119.000,1666710
Desktop,220000,5034.000,1650715
Mobile,240000,7041.000,1632784
Mobile,290000,8233.000,1608843
Desktop,200000,4611.000,1594927
Desktop,170000,4530.000,1594902
Desktop,110000,5086.000,1560471
Mobile,430000,6190.000,1505774
Desktop,120000,5261.000,1486071
Desktop,140000,4907.000,1467681
Mobile,460000,10511.000,1463157
Desktop,130000,4632.000,1447740
Desktop,260000,4724.000,1438692
Mobile,360000,8088.000,1428887
Mobile,280000,7703.000,1424245
Desktop,380000,4884.000,1386132
Mobile,330000,8121.000,1382704
Mobile,230000,7830.000,1379183
Mobile,310000,8261.000,1369412
Desktop,340000,4845.000,1365729
Desktop,150000,4948.000,1363133
Desktop,310000,5183.000,1361028
Mobile,490000,9666.000,1352381
Desktop,270000,5003.000,1328631
Mobile,370000,8293.000,1318464
Desktop,240000,4414.000,1256285
Mobile,390000,8559.000,1251825
Mobile,400000,8334.000,1246024
Desktop,250000,4654.000,1244462
Desktop,280000,4906.000,1239346
Desktop,290000,5014.000,1236561
Desktop,320000,5551.000,1187411
Desktop,350000,5039.000,1134127
Desktop,390000,5081.000,1133324
Mobile,440000,7958.000,1129268
Desktop,230000,4778.000,1126309
Desktop,360000,4911.000,1092679
Desktop,370000,5209.000,1069352
Desktop,400000,4695.000,1058754
Desktop,1010000,11539.000,1039946
Desktop,440000,5450.000,1027033
Desktop,570000,5591.000,1007535
Mobile,500000,8296.000,990108
Desktop,430000,5254.000,986983
Mobile,450000,9155.000,957114
Mobile,410000,8432.000,934591
Mobile,530000,9704.000,869584
Mobile,510000,9135.000,853656
Mobile,480000,9186.000,835376
Desktop,620000,6241.000,817279
Mobile,470000,9751.000,816053
Desktop,560000,5601.000,799351
Desktop,600000,5195.000,764873
Desktop,420000,5200.000,755124
Desktop,630000,7417.000,751920
Mobile,600000,7821.000,742876
Desktop,410000,4969.000,734333
Mobile,520000,8468.000,730588
Mobile,710000,10613.000,724228
Desktop,610000,5595.000,710579
Desktop,580000,5665.000,702799
Desktop,590000,5464.000,701344
Desktop,520000,8606.000,696027
Mobile,620000,8391.000,664217
Desktop,450000,5756.000,647487
Desktop,500000,4923.000,646773
Desktop,490000,5041.000,595303
Desktop,550000,5331.000,589494
Desktop,690000,7114.000,563493
Mobile,550000,8641.000,551430
Desktop,510000,5039.000,551312
Desktop,730000,7100.000,544760
Mobile,560000,9535.000,524783
Mobile,590000,8980.000,517559
Desktop,480000,4940.000,514854
Mobile,700000,9137.000,511183
Mobile,540000,9245.000,508579
Desktop,460000,4879.000,507498
Desktop,640000,7085.000,505037
Mobile,570000,8839.000,499096
Mobile,690000,8771.000,492216
Desktop,720000,7437.000,481432
Desktop,740000,7197.000,478085
Mobile,610000,8940.000,471210
Mobile,580000,9058.000,466883
Tablet,0,10541.000,447255
Desktop,650000,7079.000,434280
Desktop,540000,5907.000,433042
Mobile,720000,9467.000,432149
Desktop,660000,6146.000,428783
Desktop,700000,6174.000,414765
Desktop,470000,5072.000,410181
Desktop,680000,5969.000,407656
Desktop,1000000,7978.000,399698
Desktop,760000,8512.000,391505
Mobile,630000,9665.000,385539
Desktop,770000,6647.000,371783
Mobile,740000,9302.000,369653
Mobile,650000,9187.000,368261
Mobile,680000,8967.000,366900
Mobile,640000,9140.000,365865
Mobile,770000,8694.000,363483
Desktop,750000,7257.000,354778
Desktop,710000,6700.000,347804
Desktop,530000,5540.000,343116
Desktop,670000,6415.000,336234
Mobile,750000,9956.000,314923
Mobile,660000,9186.000,314152
Desktop,960000,6330.000,313704
Mobile,670000,9001.000,306441
Desktop,910000,20289.000,303426
Desktop,850000,5654.000,300606
Mobile,900000,7809.000,297677
Mobile,730000,9627.000,295831
Desktop,990000,8564.000,289852
Mobile,760000,9827.000,281053
Desktop,790000,6646.000,276193
Desktop,800000,7123.000,260689
Tablet,20000,8845.000,258643
Tablet,10000,9726.000,254526
Mobile,800000,9718.000,244512
Mobile,790000,9718.000,238596
Desktop,810000,7281.000,229409
Desktop,860000,8585.000,222262
Desktop,870000,7324.000,219869
Mobile,850000,8486.000,219799
Desktop,780000,6204.000,217882
Mobile,780000,10221.000,215573
Desktop,980000,7067.000,213279
Desktop,2860000,9674.000,202801
Desktop,1140000,7384.000,186939
Mobile,940000,9127.000,186873
Tablet,30000,9275.000,174800
Desktop,820000,6269.500,173480
Desktop,1030000,9896.000,169537
Desktop,1100000,7427.000,167239
Tablet,160000,10695.000,164654
Desktop,880000,6806.000,160877
Desktop,970000,7187.000,159376
Desktop,900000,6829.000,158897
Mobile,870000,8400.000,155573
Mobile,860000,9066.000,155361
Mobile,960000,8190.000,154956
Desktop,930000,9312.000,153739
Mobile,820000,9562.000,153475
Mobile,810000,9879.000,151567
Tablet,70000,11987.000,146518
Tablet,80000,11993.000,144988
Desktop,1080000,7657.000,139574
Desktop,1040000,8577.000,136228
