DEVICETYPENAME,LAST_FONT_TIME,TTI,FREQ
Desktop,800,2843.000,33375
Desktop,700,2662.500,32950
Desktop,600,2524.500,32322
Desktop,900,2998.500,31988
Desktop,500,2395.000,31132
Desktop,1000,3139.000,30436
Desktop,1100,3291.000,28472
Mobile,1000,3428.000,27457
Mobile,1100,3680.000,27060
Mobile,900,3113.000,26592
Desktop,1200,3398.000,26566
Mobile,1200,3886.000,26534
Desktop,400,2075.000,26249
Mobile,1300,4050.000,25819
Mobile,800,2807.000,25384
Mobile,1400,4224.000,24983
Desktop,1300,3504.500,24950
Mobile,1500,4455.000,23619
Desktop,1400,3619.000,23213
Mobile,1600,4615.500,23012
Mobile,700,2531.000,22906
Desktop,300,1984.000,22399
Desktop,1500,3728.000,22327
Mobile,1700,4835.000,21759
Desktop,1600,3851.500,21020
Mobile,1800,4980.000,20961
Mobile,1900,5086.000,20255
Desktop,1700,3942.000,20153
Mobile,600,2358.000,19885
Mobile,2000,5210.000,19482
Desktop,1800,4062.000,19098
Mobile,2100,5302.000,18993
Desktop,1900,4186.500,18130
Mobile,2200,5523.000,18063
Mobile,2300,5626.000,17474
Desktop,2000,4333.000,17341
Desktop,200,1879.000,17333
Mobile,2400,5714.000,16417
Desktop,2100,4414.000,16286
Mobile,500,2329.000,15845
Desktop,2200,4535.000,15814
Mobile,2500,5795.000,15747
Mobile,2600,5793.000,15449
Desktop,2300,4650.000,14984
Mobile,2700,5915.000,14702
Desktop,2400,4712.000,14066
Mobile,2800,6186.500,14008
Mobile,2900,6331.000,13640
Desktop,2500,4888.000,13364
Desktop,2600,4972.000,12900
Desktop,2700,5109.500,12410
Mobile,3000,6332.500,12286
Desktop,2800,5159.000,11726
Mobile,3100,6471.000,11632
Desktop,2900,5228.000,11226
Mobile,3200,6505.500,11072
Mobile,400,2313.000,10929
Mobile,3300,6629.500,10772
Desktop,3000,5312.000,10725
Desktop,3100,5455.000,10185
Mobile,3400,6811.000,10169
Mobile,3500,6891.000,9726
Desktop,3200,5526.000,9604
Desktop,3300,5594.000,9383
Desktop,100,1796.000,9355
Mobile,3600,6838.000,9201
Mobile,3700,7103.500,8906
Desktop,3400,5732.000,8901
Desktop,3500,5719.000,8387
Mobile,3800,7170.000,8373
Mobile,3900,7183.500,8074
Desktop,3600,5872.000,8058
Desktop,3700,5975.000,7775
Mobile,4000,7374.000,7709
Mobile,300,2315.000,7659
Desktop,3800,6046.000,7415
Mobile,4100,7460.000,7195
Desktop,3900,6148.000,7032
Desktop,4000,6216.000,6832
Mobile,4200,7545.500,6652
Desktop,4100,6302.000,6453
Desktop,4200,6406.500,6330
Mobile,4300,7672.000,6311
Mobile,4400,7809.000,6089
Desktop,4300,6499.000,6009
Desktop,4400,6568.000,5858
Mobile,4500,7994.000,5770
Desktop,4500,6698.000,5582
Mobile,4600,8048.000,5559
Desktop,4700,6840.000,5274
Mobile,4700,8064.000,5263
Desktop,4600,6773.500,5242
Mobile,4800,8230.500,5200
Desktop,4800,6932.500,4878
Mobile,4900,8295.500,4852
Desktop,4900,7112.000,4812
Mobile,200,2135.000,4583
Desktop,5000,7191.000,4549
Mobile,5000,8387.000,4521
Mobile,5100,8518.000,4491
Desktop,5100,7151.000,4411
Mobile,5200,8597.000,4361
Desktop,5200,7298.000,4214
Mobile,5300,8818.500,4168
Desktop,5300,7512.000,4158
Mobile,5400,8827.000,3999
Desktop,5400,7567.000,3896
Mobile,5500,9000.500,3830
Desktop,5500,7696.000,3735
Desktop,5600,7714.000,3706
Mobile,5600,8943.000,3656
Mobile,5700,9007.000,3603
Desktop,5700,7897.000,3525
Desktop,5800,7980.000,3462
Desktop,5900,7900.000,3427
Mobile,5800,9323.000,3405
Mobile,5900,9560.000,3356
Mobile,6000,9342.500,3316
Desktop,6000,8007.000,3266
Desktop,6100,8126.000,3240
Desktop,6200,8405.000,3209
Mobile,6100,9582.500,3076
Mobile,6200,9655.000,3068
Desktop,6300,8323.000,2966
Mobile,6300,9955.000,2855
Desktop,6400,8647.000,2829
Desktop,6500,8626.000,2814
Mobile,6400,10031.000,2812
Mobile,6600,10159.500,2746
Desktop,6600,8879.500,2714
Mobile,6500,10109.000,2645
Desktop,6700,8967.000,2613
Mobile,6700,10324.000,2605
Mobile,6800,10258.000,2586
Desktop,6800,8938.000,2541
Mobile,6900,10631.000,2447
Mobile,7000,10655.500,2420
Desktop,7000,9119.000,2397
Desktop,6900,8910.000,2381
Mobile,100,2137.000,2297
