DEVICETYPENAME,TTFB,TTI,FREQ
Mobile,0,2181.000,27353071
Desktop,10,2167.000,23200143
Desktop,0,2281.000,17694677
Mobile,20,3193.000,15867705
Mobile,10,2580.000,11593068
Mobile,180,2176.000,11310002
Mobile,170,2137.000,11262655
Mobile,190,2222.000,11176462
Mobile,160,2106.000,11174303
Mobile,200,2269.000,11125997
Mobile,150,2073.000,11026681
Mobile,210,2324.000,10977168
Mobile,220,2377.000,10820114
Mobile,30,3514.000,10773103
Mobile,140,2053.000,10708485
Mobile,230,2443.000,10603293
Mobile,130,2033.000,10467433
Mobile,240,2506.000,10318601
Mobile,120,2015.000,10098997
Mobile,250,2571.000,10086591
Mobile,260,2617.000,9908735
Mobile,110,1983.000,9813353
Mobile,270,2679.000,9633465
Mobile,280,2738.000,9378330
Mobile,100,2017.000,9191220
Mobile,290,2784.000,9140105
Mobile,300,2821.000,8990657
Mobile,310,2855.000,8814942
Mobile,90,2025.000,8730372
Mobile,320,2883.000,8686054
Mobile,330,2908.000,8578683
Mobile,340,2932.000,8446833
Mobile,350,2959.000,8376365
Mobile,80,2076.000,8286866
Mobile,360,2988.000,8254847
Mobile,370,3014.000,8168631
Mobile,380,3046.000,8078881
Mobile,390,3076.000,7924344
Desktop,20,2755.000,7845788
Mobile,400,3106.000,7837170
Desktop,130,1746.000,7770223
Desktop,140,1826.000,7740272
Desktop,120,1687.000,7728603
Mobile,410,3135.000,7717119
Desktop,150,1912.000,7663336
Mobile,40,3350.000,7662750
Desktop,110,1636.000,7623080
Mobile,420,3161.000,7604026
Desktop,160,1997.000,7603043
Mobile,70,2239.000,7575048
Desktop,100,1587.000,7539716
Desktop,170,2076.000,7535339
Desktop,90,1547.000,7502894
Mobile,430,3187.000,7500253
Desktop,180,2138.000,7462663
Desktop,80,1559.000,7421385
Mobile,440,3220.000,7368188
Desktop,190,2212.000,7348943
Mobile,450,3243.000,7295338
Desktop,200,2259.000,7235622
Mobile,460,3266.000,7188181
Desktop,210,2295.000,7111331
Mobile,470,3291.000,7103979
Desktop,70,1677.000,7037784
Desktop,220,2334.000,7028769
Mobile,480,3319.000,7017863
Desktop,230,2382.000,6919352
Mobile,60,2535.000,6911662
Mobile,490,3349.000,6901303
Mobile,500,3383.000,6835534
Desktop,240,2407.000,6827979
Mobile,510,3401.000,6777780
Mobile,50,2922.000,6767281
Desktop,250,2435.000,6745378
Mobile,520,3422.000,6693790
Desktop,260,2460.000,6675413
Desktop,270,2480.000,6624673
Mobile,530,3451.000,6589054
Desktop,60,1863.000,6548121
Desktop,280,2515.000,6523860
Mobile,540,3479.000,6463485
Desktop,290,2540.000,6433963
Mobile,550,3501.000,6385751
Desktop,300,2570.000,6372965
Desktop,310,2591.000,6292718
Desktop,50,1976.000,6292522
Mobile,560,3528.000,6270421
Desktop,320,2630.000,6217207
Mobile,570,3549.000,6170406
Desktop,330,2664.000,6150981
Desktop,40,2110.000,6088776
Desktop,340,2690.000,6076706
Mobile,580,3577.000,6075082
Desktop,30,2388.000,6032156
Desktop,350,2716.000,5987261
Mobile,590,3607.000,5945330
Desktop,360,2749.000,5903877
