"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","non_bounce_sessions","page_visit_time","session_duration","session_length","sessions","bounces","beacons","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop","0","100","799.296998068","157","3.764","1","2","5","6.188","0.834876192","307","88.0","12","47","452","8.114","307","5","2447","1.69","7.53","0 - 100 ms","0.511400651465798","0.44652081699818036","5"
"article","Desktop","0","200","873.339222996","3464","3.993","1","2","5","5.772","0.840665865","7345","164.0","171","45","421","7.655","7345","37","55248","0.52","7.02","100 - 200 ms","0.47161334240980257","0.44652081699818036","5"
"article","Desktop","0","300","1014.848040776","5456","3.966","1","2","5","5.129","0.842257672","12398","254.0","379","47","410","6.875","12398","113","83709","0.94","6.83","200 - 300 ms","0.44007097919019195","0.44652081699818036","5"
"article","Desktop","0","400","1049.367297118","6134","3.764","1","2","5","4.552","0.838596119","14131","351.0","440","50","391","6.187","14131","189","85816","1.38","6.52","300 - 400 ms","0.43408109829452973","0.44652081699818036","5"
"article","Desktop","0","500","1162.811073428","7090","3.854","1","2","5","4.58","0.824232364","15376","451.0","592","50","384","6.357","15376","378","95832","2.56","6.4","400 - 500 ms","0.46110822060353795","0.44652081699818036","5"
"article","Desktop","0","600","1224.012947041","8690","4.13","1","3","5","4.729","0.807571595","17685","552.0","801","53","436","6.758","17685","906","116921","5.37","7.27","500 - 600 ms","0.4913768730562624","0.44652081699818036","5"
"article","Desktop","0","700","1167.453900172","11064","4.22","1","3","6","4.632","0.799623849","22184","653.0","946","51","419","6.736","22184","2370","146424","11.16","6.98","600 - 700 ms","0.4987378290659935","0.44652081699818036","5"
"article","Desktop","0","800","1093.46453886","13513","4.2","1","3","6","4.347","0.799060962","27652","753.0","1119","47","397","6.4","27652","4577","173328","17.25","6.62","700 - 800 ms","0.4886807464197888","0.44652081699818036","5"
"article","Desktop","0","900","1056.899334913","15983","3.982","1","2","5","3.931","0.798185992","33594","853.0","1186","45","362","5.826","33594","7104","191458","21.92","6.03","800 - 900 ms","0.47576948264571056","0.44652081699818036","5"
"article","Desktop","0","1000","1041.342919656","18800","3.836","1","2","5","3.6","0.79265609","39809","952.0","1295","42","337","5.412","39809","9803","210885","25.45","5.62","0.9 - 1.0 s","0.4722550177095632","0.44652081699818036","5"
