VALUE	BOUNCE_RATE	FREQUENCY	TIMER
1080	0.527238	1049221	FCP
350	0.64787	374382	FCP
3130	0.557851	503310	FCP
14040	0.612614	7468	FCP
130	0.703596	55205	FCP
28250	0.658144	1056	FCP
23880	0.647059	1717	FCP
25410	0.651836	1416	FCP
5820	0.611071	111352	FCP
12130	0.61663	11918	FCP
9700	0.608245	22098	FCP
18930	0.642069	3171	FCP
23390	0.625525	1904	FCP
18100	0.635991	3662	FCP
27750	0.663818	1053	FCP
9240	0.606533	25377	FCP
10130	0.608196	19132	FCP
20140	0.668991	2725	FCP
16920	0.627993	4301	FCP
17670	0.629611	3877	FCP
25360	0.653576	1426	FCP
16210	0.627463	4872	FCP
25240	0.649158	1485	FCP
22690	0.628415	2013	FCP
4030	0.571238	295206	FCP
6770	0.59594	66505	FCP
7260	0.601031	54300	FCP
23840	0.629508	1830	FCP
12030	0.612625	12182	FCP
12750	0.607706	10278	FCP
8250	0.606677	36601	FCP
16180	0.615717	4861	FCP
27450	0.671986	1128	FCP
29190	0.656775	1011	FCP
27280	0.655377	1181	FCP
27480	0.667854	1123	FCP
16970	0.629242	4391	FCP
13430	0.618593	8702	FCP
24700	0.628057	1554	FCP
2380	0.54429	751651	FCP
4500	0.578204	221107	FCP
4990	0.580197	165692	FCP
13980	0.614211	7600	FCP
8880	0.61019	29263	FCP
29530	0.675983	966	FCP
21730	0.630638	2350	FCP
24890	0.623315	1484	FCP
26550	0.614947	1231	FCP
760	0.550916	851621	FCP
10690	0.61207	16454	FCP
25940	0.63685	1308	FCP
10500	0.611086	17608	FCP
11590	0.610577	13425	FCP
17760	0.634044	3801	FCP
15500	0.621096	5603	FCP
15940	0.63168	5183	FCP
26800	0.651733	1183	FCP
21650	0.611225	2441	FCP
16610	0.634783	4600	FCP
21340	0.628156	2337	FCP
25810	0.638526	1303	FCP
800	0.546277	885227	FCP
9320	0.606733	24683	FCP
2220	0.542502	806025	FCP
7550	0.594361	47456	FCP
13800	0.621981	8198	FCP
21070	0.638099	2462	FCP
24120	0.620261	1688	FCP
12630	0.606313	10549	FCP
14000	0.623245	7623	FCP
11710	0.600031	12981	FCP
17540	0.63097	3978	FCP
20520	0.650677	2731	FCP
24540	0.619018	1588	FCP
7040	0.598642	59214	FCP
5360	0.581832	133616	FCP
2770	0.551476	609858	FCP
7130	0.593313	57157	FCP
17060	0.621439	4282	FCP
18530	0.642628	3425	FCP
18510	0.624813	3345	FCP
24620	0.668579	1569	FCP
23810	0.637226	1687	FCP
26590	0.6392	1250	FCP
23700	0.642857	1778	FCP
28150	0.653737	1057	FCP
2320	0.542805	770897	FCP
2900	0.554512	570177	FCP
2560	0.548083	681632	FCP
6480	0.593055	75885	FCP
26180	0.60489	1268	FCP
6880	0.594739	63369	FCP
12870	0.608095	10130	FCP
9600	0.607184	22746	FCP
12910	0.599486	9735	FCP
10650	0.608842	16942	FCP
24810	0.668639	1521	FCP
13190	0.619227	9268	FCP
25930	0.642487	1351	FCP
19680	0.633504	2925	FCP
21850	0.622279	2343	FCP
22260	0.626571	2228	FCP
23220	0.606452	1860	FCP
24590	0.648579	1548	FCP
1050	0.528756	1038079	FCP
1730	0.533356	969036	FCP
1160	0.526548	1059986	FCP
940	0.535047	985886	FCP
8310	0.598546	35496	FCP
12800	0.607175	10147	FCP
11990	0.613082	12292	FCP
14690	0.623918	6698	FCP
9030	0.608844	27590	FCP
15290	0.617432	5748	FCP
24500	0.633548	1550	FCP
25880	0.637422	1288	FCP
26510	0.643556	1226	FCP
2040	0.537946	867977	FCP
5490	0.582103	124892	FCP
12160	0.607361	11601	FCP
22780	0.655882	2040	FCP
27910	0.662397	1093	FCP
29990	0.673734	849	FCP
16140	0.617617	4961	FCP
17120	0.634055	4252	FCP
27610	0.63974	1077	FCP
4950	0.582664	169535	FCP
1010	0.53051	1024776	FCP
1360	0.531743	1067007	FCP
3260	0.559806	465340	FCP
27860	0.620896	1005	FCP
2210	0.541592	809663	FCP
4580	0.579991	212343	FCP
9000	0.604575	27932	FCP
7470	0.594638	49832	FCP
12380	0.609285	11072	FCP
24250	0.650442	1582	FCP
18960	0.625	3152	FCP
22830	0.64416	2029	FCP
18140	0.633425	3650	FCP
7330	0.595494	52375	FCP
730	0.555807	821111	FCP
7310	0.595073	52402	FCP
14370	0.62265	6967	FCP
16300	0.620669	4906	FCP
14890	0.615721	6412	FCP
20270	0.635409	2762	FCP
24970	0.634525	1483	FCP
26670	0.640306	1176	FCP
1910	0.536313	912217	FCP
6700	0.59492	68695	FCP
260	0.673903	245841	FCP
23520	0.620708	1835	FCP
19190	0.619551	3120	FCP
14140	0.620138	7558	FCP
21110	0.631113	2597	FCP
23640	0.628855	1816	FCP
26310	0.682081	1211	FCP
5710	0.587258	111084	FCP
1920	0.536268	912877	FCP
2020	0.537519	875564	FCP
9210	0.600605	25799	FCP
4730	0.580275	192700	FCP
18890	0.626604	3195	FCP
19160	0.61541	3063	FCP
7940	0.595465	41099	FCP
21550	0.61994	2347	FCP
24240	0.636901	1691	FCP
28580	0.632207	1006	FCP
17800	0.634365	3911	FCP
29100	0.67992	1006	FCP
19130	0.623934	3167	FCP
29980	0.641396	831	FCP
14260	0.619709	7205	FCP
25300	0.63765	1413	FCP
6120	0.588836	89266	FCP
1000	0.531616	1018107	FCP
7350	0.593893	51649	FCP
8180	0.597711	37314	FCP
18550	0.619201	3406	FCP
18740	0.64037	3245	FCP
21420	0.621956	2423	FCP
16890	0.627859	4372	FCP
23690	0.628	1750	FCP
2470	0.547485	716686	FCP
6850	0.594073	64386	FCP
11140	0.606721	14969	FCP
12510	0.611659	10756	FCP
23960	0.614558	1676	FCP
15530	0.613429	5585	FCP
22750	0.616937	2031	FCP
19340	0.633421	3028	FCP
15300	0.617652	5869	FCP
19910	0.618596	2850	FCP
29310	0.643939	924	FCP
1610	0.530906	1003259	FCP
6260	0.589825	84230	FCP
8120	0.598792	37928	FCP
12650	0.617165	10498	FCP
12180	0.611408	11781	FCP
22880	0.643422	2022	FCP
15230	0.634635	5890	FCP
23660	0.624196	1711	FCP
13340	0.609585	9098	FCP
27230	0.655229	1224	FCP
27210	0.646491	1140	FCP
20710	0.647872	2678	FCP
18440	0.640092	3462	FCP
23540	0.64123	1756	FCP
28950	0.65444	1036	FCP
24110	0.638626	1688	FCP
8770	0.608173	29804	FCP
11000	0.608057	15515	FCP
24940	0.639429	1542	FCP
27680	0.650538	1116	FCP
28750	0.660057	1059	FCP
28570	0.653575	993	FCP
27650	0.64684	1076	FCP
4680	0.5799	198817	FCP
9330	0.603997	24717	FCP
9290	0.604638	24709	FCP
21010	0.634494	2528	FCP
15970	0.621209	5045	FCP
26480	0.641876	1237	FCP
11190	0.604692	14409	FCP
13470	0.612553	8747	FCP
19830	0.632724	2897	FCP
8680	0.605	31043	FCP
15060	0.618491	6165	FCP
28200	0.652739	1077	FCP
16280	0.618047	4998	FCP
24780	0.636072	1558	FCP
29080	0.656379	972	FCP
1690	0.53216	980532	FCP
2000	0.53837	880325	FCP
2050	0.538686	865912	FCP
5180	0.581931	148430	FCP
10280	0.609565	18359	FCP
5900	0.589223	100843	FCP
8080	0.597765	38741	FCP
7190	0.593756	55255	FCP
5610	0.585862	116722	FCP
22580	0.638691	2109	FCP
6590	0.594093	71982	FCP
21210	0.643287	2495	FCP
19800	0.625625	2802	FCP
17150	0.619438	4270	FCP
290	0.664647	291764	FCP
1490	0.528877	1032287	FCP
28560	0.663065	1018	FCP
20240	0.635704	2756	FCP
24920	0.626	1500	FCP
26090	0.652042	1322	FCP
22440	0.621378	2105	FCP
16760	0.632806	4548	FCP
28320	0.68803	1061	FCP
6380	0.591137	80017	FCP
16360	0.620056	4627	FCP
11500	0.594904	13461	FCP
10860	0.606897	16006	FCP
12450	0.61492	10938	FCP
20790	0.629188	2597	FCP
25910	0.64431	1327	FCP
27360	0.658662	1166	FCP
14960	0.617804	6201	FCP
1810	0.534747	947509	FCP
1980	0.537745	890497	FCP
690	0.560478	781114	FCP
11130	0.603812	15109	FCP
7200	0.595691	55183	FCP
20720	0.633675	2637	FCP
25130	0.642706	1419	FCP
25710	0.642264	1325	FCP
28450	0.652259	1018	FCP
22010	0.611595	2294	FCP
25740	0.652332	1372	FCP
10	0.833333	12	FCP
10230	0.599018	18946	FCP
5150	0.583239	150789	FCP
10210	0.608909	18745	FCP
14390	0.608268	6918	FCP
19270	0.644682	3093	FCP
28400	0.645349	1032	FCP
26120	0.628133	1237	FCP
15610	0.614137	5362	FCP
24840	0.638328	1435	FCP
18920	0.628385	3065	FCP
24140	0.599258	1617	FCP
13840	0.608723	7933	FCP
8160	0.600679	37724	FCP
20340	0.641016	2755	FCP
22030	0.642487	2316	FCP
14560	0.629054	6753	FCP
29200	0.644068	1003	FCP
24210	0.632307	1591	FCP
28510	0.656688	1069	FCP
28710	0.647648	999	FCP
18260	0.629103	3443	FCP
3420	0.563344	424522	FCP
2250	0.541773	795150	FCP
10180	0.60472	18984	FCP
4850	0.58013	179520	FCP
4320	0.57647	248084	FCP
5950	0.590057	97133	FCP
26170	0.672986	1266	FCP
7820	0.600497	43026	FCP
10890	0.613123	15850	FCP
18460	0.62323	3461	FCP
22050	0.63452	2219	FCP
23770	0.631429	1750	FCP
29390	0.666307	926	FCP
20740	0.650422	2606	FCP
40	0.472615	1625	FCP
28720	0.6759	1083	FCP
28390	0.63992	997	FCP
1520	0.529256	1023104	FCP
4550	0.577692	213858	FCP
3920	0.56969	314276	FCP
13490	0.613609	8450	FCP
27310	0.658843	1193	FCP
8030	0.595952	39431	FCP
17400	0.619024	4037	FCP
18410	0.635322	3318	FCP
23490	0.643597	1835	FCP
10310	0.608249	18208	FCP
16700	0.634971	4438	FCP
17730	0.630758	3973	FCP
1900	0.535577	922499	FCP
5120	0.5811	152318	FCP
18560	0.637544	3388	FCP
20440	0.631024	2843	FCP
13060	0.609441	9512	FCP
17010	0.635289	4228	FCP
22960	0.618506	2021	FCP
25510	0.611547	1403	FCP
8210	0.600553	36861	FCP
16320	0.616136	4809	FCP
27030	0.65625	1216	FCP
10980	0.606509	15670	FCP
220	0.680301	178940	FCP
16670	0.608724	4562	FCP
11700	0.601351	13024	FCP
18130	0.63238	3743	FCP
28010	0.644724	1033	FCP
10900	0.610175	15961	FCP
4520	0.577728	218480	FCP
5620	0.586903	114956	FCP
11510	0.600665	13540	FCP
23430	0.638752	1827	FCP
11260	0.610762	14477	FCP
80	0.644674	12186	FCP
29900	0.660613	881	FCP
23350	0.64591	1895	FCP
27920	0.654741	1118	FCP
8190	0.602547	37451	FCP
28130	0.646296	1080	FCP
25010	0.632818	1487	FCP
6400	0.591416	79237	FCP
12190	0.613642	11655	FCP
7070	0.597331	58671	FCP
20130	0.626168	2675	FCP
28120	0.642648	1027	FCP
26890	0.656223	1149	FCP
16260	0.628866	4656	FCP
8400	0.607867	34881	FCP
25790	0.606932	1356	FCP
12500	0.613991	10821	FCP
20070	0.641606	2740	FCP
2840	0.554685	586365	FCP
5520	0.583118	122008	FCP
6510	0.588888	75629	FCP
8240	0.602253	36576	FCP
13350	0.607016	8980	FCP
10080	0.600588	19401	FCP
24270	0.634628	1571	FCP
10300	0.604083	18514	FCP
13740	0.621256	8214	FCP
14850	0.618867	6339	FCP
17570	0.634184	3879	FCP
17200	0.629772	4165	FCP
3770	0.567302	344275	FCP
17550	0.64564	3979	FCP
12710	0.604541	10350	FCP
21930	0.640605	2315	FCP
24650	0.619616	1509	FCP
24990	0.644244	1442	FCP
20730	0.633219	2631	FCP
16830	0.637225	4540	FCP
15520	0.62277	5718	FCP
16540	0.626016	4551	FCP
29300	0.661734	946	FCP
25230	0.639918	1458	FCP
860	0.539534	934921	FCP
14010	0.624167	7655	FCP
620	0.575854	704830	FCP
7730	0.599605	44586	FCP
4740	0.579372	191899	FCP
6200	0.591614	86521	FCP
6970	0.597193	61136	FCP
8450	0.608865	34180	FCP
16060	0.617009	5115	FCP
21160	0.641335	2487	FCP
23650	0.632229	1781	FCP
22330	0.626654	2116	FCP
8070	0.601821	38661	FCP
930	0.535703	983709	FCP
13050	0.610797	9558	FCP
5340	0.583213	134834	FCP
12400	0.608802	11043	FCP
18800	0.625112	3337	FCP
26920	0.646351	1247	FCP
21170	0.65509	2505	FCP
22110	0.618474	2241	FCP
28190	0.659512	1025	FCP
10250	0.606445	18371	FCP
2720	0.551406	627126	FCP
4160	0.573325	271715	FCP
3380	0.561137	435974	FCP
8800	0.606293	29748	FCP
10120	0.607414	19099	FCP
19960	0.62804	2796	FCP
16850	0.618379	4418	FCP
22140	0.625688	2180	FCP
15470	0.623416	5603	FCP
14290	0.622857	7175	FCP
17610	0.633251	4030	FCP
10350	0.605606	18053	FCP
5730	0.585798	108819	FCP
7160	0.600206	56319	FCP
10760	0.605173	16430	FCP
11790	0.601817	12655	FCP
10960	0.614784	15625	FCP
29970	0.661234	859	FCP
24880	0.626236	1517	FCP
11090	0.607062	15094	FCP
6070	0.589723	92657	FCP
14310	0.618161	7147	FCP
3440	0.562748	418756	FCP
3870	0.56906	321834	FCP
4200	0.574012	265855	FCP
2910	0.555391	564844	FCP
7090	0.597039	57539	FCP
6080	0.585401	92060	FCP
20900	0.635023	2644	FCP
22150	0.625404	2165	FCP
22300	0.63341	2185	FCP
26810	0.657763	1198	FCP
12720	0.60682	10176	FCP
20250	0.644912	2712	FCP
2750	0.551287	613388	FCP
2780	0.553309	606981	FCP
10970	0.608646	15684	FCP
11550	0.602757	13712	FCP
11890	0.60745	12429	FCP
24490	0.626444	1558	FCP
24720	0.629728	1507	FCP
26750	0.624096	1245	FCP
29570	0.647497	939	FCP
2520	0.547053	697912	FCP
3900	0.570438	319304	FCP
5010	0.582129	164259	FCP
4610	0.580181	206808	FCP
3890	0.568572	320844	FCP
5020	0.579354	162291	FCP
24190	0.626367	1737	FCP
9820	0.607775	21118	FCP
9350	0.607942	24527	FCP
10240	0.602338	18395	FCP
6450	0.593264	77109	FCP
5690	0.586513	111619	FCP
26080	0.647148	1315	FCP
17500	0.629416	3991	FCP
22170	0.655459	2290	FCP
14300	0.62161	7265	FCP
28430	0.642351	987	FCP
24690	0.651399	1572	FCP
24480	0.634021	1552	FCP
2010	0.537833	880777	FCP
6800	0.592679	66272	FCP
11900	0.610846	12576	FCP
13130	0.610719	9348	FCP
27830	0.652368	1119	FCP
24860	0.630449	1537	FCP
19770	0.653983	2812	FCP
23820	0.643247	1651	FCP
21020	0.639258	2481	FCP
22620	0.628297	2085	FCP
25920	0.637396	1321	FCP
16720	0.62419	4630	FCP
22630	0.627184	2060	FCP
29790	0.627407	883	FCP
11360	0.59705	14168	FCP
4410	0.576969	233976	FCP
11830	0.602522	12690	FCP
14810	0.609392	6495	FCP
23670	0.642704	1864	FCP
13510	0.620227	8642	FCP
27320	0.655143	1157	FCP
22940	0.620253	1975	FCP
25260	0.635575	1383	FCP
4590	0.578263	208727	FCP
2480	0.54715	711948	FCP
2280	0.54222	784337	FCP
6280	0.59139	82996	FCP
6750	0.595751	66845	FCP
9520	0.61308	23165	FCP
11610	0.60448	13481	FCP
18190	0.633594	3578	FCP
14700	0.62749	6526	FCP
26410	0.616438	1241	FCP
17330	0.630872	4172	FCP
11730	0.604429	12870	FCP
25770	0.665192	1356	FCP
16430	0.617852	4739	FCP
17090	0.623521	4311	FCP
28670	0.665354	1016	FCP
27490	0.653813	1167	FCP
23180	0.632716	1944	FCP
16000	0.629644	5168	FCP
17720	0.617632	3834	FCP
16860	0.615177	4441	FCP
17250	0.642466	4201	FCP
27060	0.637327	1227	FCP
17850	0.627172	3798	FCP
24430	0.624767	1607	FCP
3370	0.561591	433661	FCP
3090	0.557077	510445	FCP
4450	0.5776	228461	FCP
17340	0.629227	4051	FCP
3750	0.567609	347461	FCP
10020	0.612259	19317	FCP
9090	0.602056	26750	FCP
29660	0.634989	926	FCP
23890	0.643064	1723	FCP
27560	0.669284	1146	FCP
18900	0.624843	3188	FCP
17240	0.626623	4237	FCP
700	0.559901	792262	FCP
1700	0.533295	980842	FCP
320	0.655748	329584	FCP
9640	0.612118	22561	FCP
750	0.553078	838892	FCP
12010	0.597461	12051	FCP
17520	0.632087	3933	FCP
17170	0.621205	4282	FCP
15420	0.618442	5661	FCP
29670	0.666275	851	FCP
2970	0.555967	546561	FCP
10840	0.610264	15939	FCP
4890	0.580749	175384	FCP
14120	0.617587	7403	FCP
9160	0.603085	25998	FCP
17020	0.619082	4203	FCP
25520	0.633954	1396	FCP
27770	0.661858	1109	FCP
15780	0.618144	5324	FCP
2120	0.540173	838229	FCP
3990	0.570482	301508	FCP
7790	0.602272	43125	FCP
28050	0.644954	1090	FCP
13970	0.615663	7725	FCP
17740	0.621842	3919	FCP
12880	0.605622	9960	FCP
15090	0.623228	5924	FCP
24380	0.635379	1662	FCP
12320	0.606717	11493	FCP
18690	0.623762	3333	FCP
26130	0.631167	1277	FCP
26150	0.625954	1310	FCP
1390	0.527784	1052552	FCP
3240	0.560154	470960	FCP
3200	0.560713	481453	FCP
8550	0.605278	32856	FCP
4930	0.579422	171899	FCP
10640	0.617405	16984	FCP
12290	0.608374	11368	FCP
12460	0.613972	10893	FCP
29930	0.674752	907	FCP
19240	0.629408	3176	FCP
25860	0.653585	1325	FCP
3060	0.556808	518446	FCP
3320	0.560686	450145	FCP
14320	0.61087	7157	FCP
18980	0.634057	3271	FCP
3560	0.564036	390021	FCP
9250	0.606295	25288	FCP
15280	0.625908	5782	FCP
15220	0.616227	5842	FCP
7880	0.600775	42580	FCP
15550	0.627627	5473	FCP
20610	0.641709	2738	FCP
19570	0.638945	2994	FCP
21970	0.616087	2300	FCP
20090	0.631298	2620	FCP
5290	0.58198	139809	FCP
4630	0.577852	204926	FCP
15570	0.624794	5469	FCP
26540	0.640506	1185	FCP
21940	0.617411	2240	FCP
16040	0.629977	5224	FCP
23320	0.623397	1872	FCP
27640	0.648232	1103	FCP
10730	0.608303	16620	FCP
12950	0.605042	9758	FCP
13860	0.613448	8105	FCP
10770	0.605453	16064	FCP
13660	0.613623	8383	FCP
21240	0.619148	2371	FCP
23460	0.646288	1832	FCP
27840	0.643875	1053	FCP
27630	0.663462	1144	FCP
1540	0.530268	1018358	FCP
7270	0.597337	53258	FCP
15730	0.613679	5278	FCP
10200	0.611452	18914	FCP
8840	0.607093	29241	FCP
7850	0.595556	42300	FCP
13120	0.61001	9331	FCP
10190	0.609253	18869	FCP
9480	0.614506	23990	FCP
28210	0.643878	980	FCP
14510	0.618582	6953	FCP
18400	0.636952	3399	FCP
29950	0.650549	910	FCP
16390	0.633125	4800	FCP
29510	0.652807	962	FCP
3840	0.570163	329441	FCP
470	0.617488	523568	FCP
2930	0.555728	559578	FCP
4040	0.572849	292559	FCP
4140	0.573021	274983	FCP
11100	0.598524	15037	FCP
14920	0.618933	6243	FCP
11110	0.603761	14890	FCP
20590	0.63295	2610	FCP
17490	0.627815	4041	FCP
23510	0.639147	1829	FCP
21360	0.641036	2471	FCP
26970	0.650714	1191	FCP
3630	0.56608	375929	FCP
3050	0.557606	523484	FCP
6390	0.591991	79307	FCP
5990	0.586765	95914	FCP
14380	0.617481	7082	FCP
6570	0.592833	72749	FCP
7210	0.596391	55031	FCP
14870	0.616595	6291	FCP
