VALUE	SESSIONLENGTH	FREQUENCY	TIMER
1080	6.171	621671	FID
130	6.682	2658474	FID
350	6.276	983288	FID
3130	6.879	220592	FID
14040	5.379	4171	FID
25410	5.163	630	FID
28250	6.544	479	FID
23880	4.944	840	FID
5820	6.4	53046	FID
18930	5.036	1655	FID
9700	5.627	13311	FID
12130	5.19	6831	FID
18100	5.618	1854	FID
23390	6.07	856	FID
27750	4.569	557	FID
10130	5.74	10874	FID
9240	5.622	14335	FID
25240	4.632	713	FID
16920	5.392	2368	FID
22690	6.746	911	FID
16210	5.526	2765	FID
20140	5.084	1317	FID
17670	4.846	2019	FID
25360	5.114	688	FID
4030	6.469	133556	FID
7260	5.923	29715	FID
8250	5.837	20660	FID
6770	5.956	34701	FID
29190	5.57	375	FID
16970	5.942	2388	FID
12030	5.694	6570	FID
12750	5.397	5753	FID
23840	4.721	826	FID
27450	4.928	547	FID
16180	6.022	2775	FID
27280	5.305	566	FID
27480	5.312	471	FID
13430	5.058	4251	FID
24700	5.332	703	FID
4500	6.143	102649	FID
2380	6.654	328423	FID
29530	5.338	452	FID
4990	6.324	79507	FID
13980	5.929	3880	FID
8880	5.807	17141	FID
21730	4.764	1159	FID
26550	3.875	625	FID
24890	7.805	714	FID
760	6.073	689938	FID
17760	4.743	2029	FID
15940	5.143	2766	FID
10500	5.409	9917	FID
10690	5.563	9586	FID
16610	6.317	2581	FID
15500	5.502	2799	FID
11590	5.66	7848	FID
25940	6.273	604	FID
25810	6.314	777	FID
26800	6.895	543	FID
21650	4.516	1236	FID
21340	4.468	1079	FID
800	6.197	691067	FID
2220	6.543	354006	FID
11710	5.747	7212	FID
13800	5.864	4178	FID
7550	6.15	26213	FID
9320	5.988	14023	FID
12630	5.711	5560	FID
24120	4.871	734	FID
14000	5.204	4019	FID
21070	4.893	1098	FID
17540	5.638	1816	FID
20520	5.219	1575	FID
24540	5.883	757	FID
2770	6.74	266576	FID
7040	6.155	31856	FID
17060	4.785	1914	FID
5360	6.229	66322	FID
7130	6.205	30978	FID
18510	6.019	1871	FID
23700	5.864	943	FID
23810	5.202	804	FID
18530	5.178	1702	FID
28150	4.344	487	FID
26590	6.811	679	FID
24620	4.169	765	FID
2320	6.663	337155	FID
2560	6.653	299257	FID
2900	6.862	252114	FID
6480	6.016	39560	FID
10650	5.613	9361	FID
12910	5.533	5524	FID
23220	5.078	978	FID
19680	5.119	1484	FID
9600	5.609	13001	FID
6880	5.798	33605	FID
21850	9.755	1077	FID
12870	5.012	5562	FID
24810	4.402	793	FID
26180	6.727	562	FID
13190	5.401	5063	FID
25930	7.243	691	FID
22260	8.704	1203	FID
24590	5.324	905	FID
940	6.163	656564	FID
1050	6.26	631820	FID
1730	6.167	455077	FID
1160	6.138	600969	FID
8310	5.961	20556	FID
12800	6.368	5301	FID
14690	4.665	3638	FID
11990	5.9	6684	FID
9030	5.566	15745	FID
24500	4.225	722	FID
15290	5.272	2944	FID
26510	5.715	572	FID
25880	5.227	546	FID
2040	6.451	386336	FID
5490	6.102	61863	FID
29990	4.406	362	FID
12160	5.018	6484	FID
27910	4.786	575	FID
22780	5.536	855	FID
16140	5.92	2634	FID
17120	4.754	2371	FID
27610	5.464	469	FID
1360	6.154	548511	FID
1010	6.143	636832	FID
4950	6.329	84266	FID
2210	6.619	356140	FID
3260	6.828	205936	FID
9000	5.976	16387	FID
4580	6.668	99656	FID
7470	5.786	27278	FID
12380	5.752	5883	FID
18960	4.788	1790	FID
27860	5.038	473	FID
24250	4.802	779	FID
22830	5.197	881	FID
7330	6.013	28507	FID
18140	5.045	1945	FID
730	6.119	699773	FID
7310	6.017	28236	FID
14370	5.62	3924	FID
14890	5.033	3433	FID
20270	4.485	1338	FID
16300	5.019	2587	FID
26670	5.691	570	FID
24970	4.657	726	FID
1910	6.311	414781	FID
260	6.493	1281721	FID
19190	5.277	1707	FID
6700	6.155	36157	FID
14140	5.322	3795	FID
23640	5.731	906	FID
21110	4.656	1445	FID
23520	4.971	828	FID
26310	4.736	581	FID
5710	6.011	55179	FID
4730	6.376	90342	FID
2020	6.454	393987	FID
1920	6.398	415660	FID
18890	5.685	1664	FID
25300	4.861	728	FID
7940	5.683	22856	FID
9210	5.646	15988	FID
14260	4.842	3938	FID
29100	6.678	432	FID
17800	5.532	1995	FID
21550	4.467	1182	FID
24240	6.401	747	FID
19130	5.92	1438	FID
19160	5.27	1745	FID
29980	3.295	410	FID
28580	4.212	442	FID
1000	6.339	643789	FID
8180	5.805	20494	FID
6120	6.134	48220	FID
7350	5.751	27980	FID
23690	4.666	845	FID
18740	5.926	1708	FID
18550	5.299	1748	FID
16890	5.079	2276	FID
21420	4.763	1115	FID
2470	6.677	312924	FID
15300	6.381	3018	FID
6850	6.188	34703	FID
15530	5.459	2906	FID
11140	5.226	8168	FID
12510	5.443	5762	FID
19340	5.798	1400	FID
19910	4.346	1410	FID
23960	5.131	691	FID
29310	4.736	524	FID
22750	5.062	911	FID
1610	6.254	482681	FID
6260	6.377	44727	FID
8120	5.987	21789	FID
12180	6.693	6358	FID
12650	5.998	5785	FID
15230	5.207	3290	FID
18440	5.184	1585	FID
13340	5.672	4789	FID
27210	5.673	524	FID
27230	6.654	567	FID
20710	6.167	1358	FID
22880	5.011	942	FID
23540	5.447	794	FID
24110	5	763	FID
23660	4.748	973	FID
28950	5.443	620	FID
8770	6.197	16702	FID
11000	5.489	8564	FID
27650	4.014	479	FID
27680	6.248	458	FID
24940	5.031	670	FID
28570	5.407	410	FID
28750	6.36	469	FID
15970	6.52	3199	FID
4680	6.318	93809	FID
8680	5.921	18429	FID
13470	5.228	4435	FID
9290	5.508	14137	FID
11190	5.631	8374	FID
15060	5.739	3390	FID
9330	5.653	14296	FID
28200	4.599	457	FID
16280	5.701	2834	FID
29080	4.439	380	FID
24780	5.102	654	FID
19830	5.756	1552	FID
