date,platform,count
2019-10-01,Desktop,664
2019-10-01,Mobile,782
2019-09-01,Desktop,718
2019-09-01,Mobile,843
2019-08-01,Desktop,715
2019-08-01,Mobile,901
2019-07-01,Desktop,749
2019-07-01,Mobile,911
2019-06-01,Desktop,722
2019-06-01,Mobile,988
2019-05-01,Desktop,783
2019-05-01,Mobile,1108
2019-04-01,Desktop,849
2019-04-01,Mobile,1081
2019-03-01,Desktop,841
2019-03-01,Mobile,1070
2019-02-01,Desktop,827
2019-02-01,Mobile,1022
2019-01-01,Desktop,1094
2019-01-01,Mobile,1221
2018-12-15,Desktop,1166
2018-12-15,Mobile,356
2018-12-01,Desktop,440
2018-12-01,Mobile,367
2018-11-15,Desktop,467
2018-11-15,Mobile,401
2018-11-01,Desktop,489
2018-11-01,Mobile,417
2018-10-15,Desktop,525
2018-10-15,Mobile,449
2018-10-01,Desktop,548
2018-10-01,Mobile,471
2018-09-15,Desktop,554
2018-09-15,Mobile,490
2018-09-01,Desktop,617
2018-09-01,Mobile,541
2018-08-15,Desktop,674
2018-08-15,Mobile,595
2018-08-01,Desktop,718
2018-08-01,Mobile,630
2018-07-15,Desktop,700
2018-07-15,Mobile,616
2018-07-01,Desktop,767
2018-07-01,Mobile,498
2018-06-15,Desktop,615
2018-06-15,Mobile,543
2018-06-01,Desktop,689
2018-05-01,Desktop,446
2018-05-01,Mobile,348
2018-04-15,Desktop,488
2018-04-15,Mobile,399
2018-04-01,Desktop,497
2018-04-01,Mobile,400
2018-03-15,Desktop,181
2018-03-15,Mobile,197
2018-03-01,Desktop,481
2018-03-01,Mobile,367
2018-02-15,Desktop,632
2018-02-15,Mobile,506
2018-02-01,Desktop,687
2018-02-01,Mobile,582
2018-01-15,Desktop,729
2018-01-15,Mobile,494
2018-01-01,Desktop,680
2018-01-01,Mobile,498
2017-12-15,Desktop,664
2017-12-15,Mobile,493
2017-12-01,Desktop,585
2017-12-01,Mobile,409
2017-11-15,Desktop,623
2017-11-15,Mobile,427
2017-11-01,Desktop,633
2017-11-01,Mobile,418
2017-10-15,Desktop,662
2017-10-15,Mobile,463
2017-10-01,Desktop,722
2017-10-01,Mobile,460
2017-09-15,Desktop,353
2017-09-15,Mobile,234
