date,platform,num_pages,mean_async,p50_async,p75_async,p90_async,p95_async,mean_sync,p50_sync,p75_sync,p90_sync,p95_sync
2016-05-15,Mobile,4735,10.073495248152048,6,14,25,33,8.2259767687434131,6,11,18,23
2016-05-15,Desktop,496446,6.2307379261993221,4,9,15,20,9.72774617014932,7,13,21,28
2016-06-01,Mobile,4726,10.096084656084606,6,14,25,33,8.2463492063491941,6,11,18,23
2016-06-01,Desktop,496558,6.2587839348402738,4,9,15,21,9.7174317174317171,7,13,21,28
2016-06-15,Desktop,496827,6.33069932435153,4,9,15,21,9.6887104697327118,7,13,21,28
2016-06-15,Mobile,4726,6.10497354497338,6,14,25,33,8.2444444444444347,6,11,18,24
2016-07-01,Desktop,496442,6.3069424214769612,4,9,15,21,9.793389378765994,7,13,22,28
2016-07-01,Mobile,92433,7.514531801164205,4,10,18,24,8.9941137007943617,6,12,20,26
2016-07-15,Mobile,460713,5.8326823920193682,3,8,14,19,9.358503305363481,7,13,21,27
2016-07-15,Desktop,496451,6.3578759913859972,4,9,15,21,9.8082276224262248,7,13,22,28
2016-08-01,Desktop,496751,6.4268916834784973,4,9,15,21,9.8437325086475251,7,13,22,28
2016-08-01,Mobile,460170,5.8964835981664905,4,8,14,19,9.355402400777221,7,13,21,27
2016-08-15,Mobile,460106,5.9503833303988554,4,8,14,19,9.3546985416707482,7,13,21,27
2016-08-15,Desktop,496453,6.44275644215408,4,9,15,21,9.8064724736542068,7,13,22,28
2016-09-01,Desktop,495999,6.4497676153605745,4,9,15,21,9.7186804988456412,7,13,22,28
2016-09-01,Mobile,459820,6.0018402786086078,4,8,14,19,9.3451566520851053,7,13,21,27
2016-09-15,Desktop,495870,6.4888899645632527,4,9,16,21,9.6433877288413132,7,13,21,28
2016-09-15,Mobile,460025,6.04630406706991,4,8,14,19,9.3321730320173515,7,13,21,27
2016-10-01,Desktop,496234,6.5947377967673013,4,9,16,22,9.720490547785074,7,13,22,28
2016-10-01,Mobile,475453,6.2193613941785841,4,8,15,20,9.4975975495847287,7,13,21,27
2016-10-15,Mobile,474375,6.235727358601963,4,8,15,20,9.4213897744716064,7,13,21,27
2016-10-15,Desktop,495869,6.59135922486749,4,9,16,22,9.6252329511992425,7,13,22,28
2016-11-01,Mobile,475192,6.3178874297777936,4,8,15,20,9.5400958537062817,7,13,21,28
2016-11-01,Desktop,496300,6.6730744817830674,4,9,16,22,9.7266321289461981,7,13,22,28
2016-11-15,Desktop,495447,6.8504983791072362,4,9,16,22,9.6452868960004583,7,13,21,28
2016-11-15,Mobile,475603,6.3582056280743382,4,9,15,20,9.42956495040051,7,13,21,27
2017-02-15,Mobile,480906,6.3996102378088606,4,9,15,20,9.17250616672828,7,12,21,27
2017-02-15,Desktop,493788,6.9270078462665738,4,9,16,22,9.5391158873735939,7,13,21,28
2017-03-01,Desktop,484877,7.1105285520406936,4,9,17,23,9.7728480263349855,7,13,22,28
2017-03-01,Mobile,476025,6.58183052101012,4,9,15,21,9.3626941154470718,7,13,21,27
2017-03-15,Desktop,481455,7.1798181565133756,4,9,17,23,9.8117315430106284,7,13,22,28
2017-03-15,Mobile,474031,6.6195398515405879,4,9,15,21,9.3764384914355,7,13,21,27
2017-04-01,Mobile,473363,6.7440430032094429,4,9,15,21,9.3725191065510334,7,13,21,27
2017-04-01,Desktop,480207,7.25968900219118,4,10,17,23,9.8171523664329214,7,13,22,28
2017-04-15,Desktop,479964,7.3545329329714573,4,10,17,24,9.8062988253778389,7,13,22,28
2017-04-15,Mobile,473290,6.8289206735645855,4,9,16,22,9.3710628423616242,7,13,21,27
2017-05-01,Mobile,468309,6.9932800491985327,4,9,16,22,9.35850200829799,7,13,21,27
2017-05-01,Desktop,475825,7.5702648685115825,5,10,17,24,9.7880589549434056,7,13,21,28
2017-05-15,Desktop,474730,7.6127925347038454,5,10,18,24,9.8310892507321643,7,13,21,28
2017-05-15,Mobile,466067,7.0794392222577125,4,9,16,22,9.3799496638898141,7,13,21,27
2017-06-01,Desktop,475153,7.6553236536441025,5,10,18,25,9.8445616464592032,7,13,22,28
2017-06-01,Mobile,466799,7.1574853416567574,4,9,17,23,9.4012112279588,7,13,21,27
2017-06-15,Desktop,474696,7.71028133854375,5,10,18,25,9.8641106394632487,7,13,22,28
2017-06-15,Mobile,466341,7.22973103372851,4,10,17,23,9.4215155862341113,7,13,21,27
2017-07-01,Mobile,466888,7.3146771816797527,4,10,17,23,9.4724794811604163,7,13,21,27
2017-07-01,Desktop,474768,7.7870496747884381,5,10,18,25,9.8973330131768567,7,13,22,28
2017-07-15,Desktop,474975,7.8517816727195937,5,10,18,25,9.9010579504186342,7,13,22,28
2017-07-15,Mobile,467158,7.3904824491928025,4,10,17,23,9.4899734137059113,7,13,21,28
2017-08-01,Mobile,466437,7.3707874804100371,4,10,17,24,9.486948934153979,7,13,21,28
2017-08-01,Desktop,475373,7.7833738629958127,5,10,18,25,9.9685677742905057,7,13,22,28
2017-08-15,Mobile,466428,7.3578816023051905,4,10,17,23,9.48034637714706,7,13,21,28
2017-08-15,Desktop,473847,7.7880433979743957,5,10,18,25,10.009235048443836,7,13,22,28
2017-09-01,Desktop,472956,7.7843520327471785,5,10,18,25,10.026412604978036,7,13,22,28
2017-09-01,Mobile,465891,7.3175936002198627,4,10,17,23,9.4985457971926621,7,13,21,28
2017-09-15,Desktop,472025,7.83589004819654,5,10,18,25,10.008330067263365,7,13,22,28
2017-09-15,Mobile,465026,7.4396291820242446,4,10,17,24,9.4846395685403433,7,13,21,28
2017-10-01,Mobile,464761,7.4589735369361883,5,10,17,24,9.4983615234495922,7,13,21,28
2017-10-01,Desktop,471996,7.8843650554880211,5,10,18,25,9.9905104725907226,7,13,22,28
2017-10-16,Desktop,473134,8.2552617228944829,5,11,19,26,9.9187481770491921,7,13,22,28
2017-10-16,Mobile,464291,7.7303458391396829,5,10,18,25,9.5198313126897336,7,13,21,28
2017-11-01,Mobile,463616,7.841567159028223,5,11,18,25,9.5331200821369837,7,13,21,28
2017-11-01,Desktop,472269,8.3755529158171331,5,11,19,27,9.9217606914701459,7,13,22,28
2017-11-15,Mobile,462885,7.8775805601403057,5,11,18,25,9.545445511186383,7,13,21,28
2017-11-15,Desktop,471571,8.4140649022096383,5,11,20,27,9.9222810562988215,7,13,22,28
2017-12-01,Mobile,462355,7.8885401909788264,5,11,18,25,9.5520173892356528,7,13,21,28
2017-12-01,Desktop,470823,8.4504431601685575,5,11,20,27,9.9334803100104843,7,13,22,28
2017-12-15,Desktop,469974,8.63015826407427,5,11,20,27,9.9335239821779453,7,13,22,28
2017-12-15,Mobile,461489,7.9447419115081459,5,11,19,25,9.5460520185745974,7,13,21,28
2018-01-01,Desktop,469066,8.5372676766169917,5,11,20,27,9.9192864117203481,7,13,22,28
2018-01-01,Mobile,460813,7.9398324266024938,5,11,18,25,9.5288153763026244,7,13,21,28
2018-01-15,Desktop,467774,8.5330586992863644,5,11,20,27,9.9142491887101887,7,13,22,28
2018-01-15,Mobile,459774,7.9765188984152831,5,11,19,25,9.5253341859260114,7,13,21,28
2018-02-01,Desktop,462125,8.5724468487962717,5,11,20,27,9.890263456856637,7,13,22,28
2018-02-01,Mobile,458254,8.035717637302243,5,11,19,25,9.5120655601749249,7,13,21,28
2018-02-15,Desktop,466294,8.5045357844441529,5,11,20,27,9.9008925737519089,7,13,22,28
2018-02-15,Mobile,458207,7.9972828874284438,5,11,19,25,9.5163823337486164,7,13,21,28
2018-03-01,Mobile,458407,8.0234115098591374,5,11,19,25,9.5233776971118,7,13,21,28
2018-03-01,Desktop,466203,8.5197371102287818,5,11,20,27,9.8942027400079482,7,13,22,29
2018-03-15,Mobile,456485,8.06428921933739,5,11,19,25,9.5217532268380829,7,13,21,28
2018-03-15,Desktop,465131,8.537386241725395,5,11,20,27,9.8761295205004274,7,13,22,29
2018-04-15,Mobile,452766,8.11698537434369,5,11,19,25,9.5009298401382054,7,13,21,28
2018-04-15,Desktop,462145,8.4938298585940828,5,11,20,27,9.9082517391728349,7,13,22,29
2018-05-01,Mobile,451375,8.265052340072101,5,11,19,26,9.4952755469399488,7,13,21,28
2018-05-01,Desktop,460574,8.6578790813200843,6,12,20,27,9.9046798125818487,7,13,22,29
2018-05-15,Desktop,460159,8.7475323693169678,6,12,20,27,9.81100404643643,7,13,22,28
2018-05-15,Mobile,450974,8.4019455667066918,5,11,19,26,9.3715225267976372,6,12,21,28
2018-06-15,Mobile,451307,8.2650213712616871,5,11,19,26,9.36964859840448,6,12,21,28
2018-06-15,Desktop,461068,8.6363855223089914,5,12,20,27,9.7985047758681745,7,13,22,29
2018-07-01,Mobile,451109,8.3100359336657181,5,11,19,26,9.3879439337275716,6,12,21,28
2018-07-01,Desktop,1277805,8.9155700595943674,6,12,22,29,9.9050285450440665,7,13,23,29
2018-07-15,Desktop,1277631,8.8969992118224255,6,12,22,29,9.9748307609943616,7,13,23,29
2018-07-15,Mobile,1272071,8.2259246739566709,5,11,21,26,9.0032930577718311,6,12,19,26
2018-08-01,Mobile,1268277,8.2399209635757344,5,11,21,26,9.0123340660866447,6,12,19,26
2018-08-01,Desktop,1275374,8.9219366240804767,6,12,22,29,9.97425853122303,7,13,23,29
2018-08-15,Mobile,1267278,8.2650752242207091,5,11,21,26,9.04519844895909,6,12,19,26
2018-08-15,Desktop,1273533,8.9803742662139179,6,12,22,29,9.99480499901072,7,13,23,29
2018-09-01,Desktop,1271631,9.0040687935956463,6,12,22,29,9.99056093360489,7,13,23,29
2018-09-01,Mobile,1264872,8.3823544061014648,5,12,21,27,9.04813059987941,6,12,20,26
2018-09-15,Mobile,1262660,8.4417964988088627,5,12,21,27,9.060250772973788,6,12,20,26
2018-09-15,Desktop,1269868,9.2510056163316854,6,12,22,29,9.9713789149738652,7,13,23,28
2018-10-01,Mobile,1260678,8.4615551192814,5,12,21,27,9.0838653895730772,6,12,20,26
2018-10-01,Desktop,1268373,9.4145886107635377,6,12,23,29,9.9596333255280509,7,13,23,28
2018-10-15,Desktop,1266354,9.2112943320655685,6,12,23,29,9.9640202724045288,7,13,23,28
2018-10-15,Mobile,1259050,8.49703744887009,5,12,21,27,9.0484539930900247,6,12,20,26
2018-11-01,Mobile,1256640,8.5620464094729272,5,12,21,27,9.0762875604786259,6,12,20,26
2018-11-01,Desktop,1263887,9.3699036147246737,6,12,23,29,9.9781095763384045,7,13,23,28
2018-11-15,Desktop,1261709,9.5049353733193751,6,12,23,30,9.9654817120918313,7,13,23,28
2018-11-15,Mobile,1254529,8.5831181129476644,5,12,21,27,9.1066998903171452,6,12,20,26
2018-12-01,Mobile,1250154,8.7060445449834454,5,12,22,27,9.0969218143072315,6,12,20,26
2018-12-01,Desktop,1258645,9.4422485168551145,6,13,23,30,9.9657488263153162,7,13,23,28
2018-12-15,Desktop,3840067,7.6676802782453644,4,10,17,25,10.950334421509631,8,14,24,31
2018-12-17,Mobile,1247239,8.6781985475105667,5,12,22,27,9.1046760922934364,6,12,20,27
2019-01-01,Mobile,3992249,7.4933928219406445,4,9,17,23,10.514566851917284,7,14,23,31
2019-01-01,Desktop,3831026,7.6862082601914672,4,10,17,25,10.964063925450784,8,14,24,31
2019-02-01,Mobile,4167391,7.679578508269838,4,10,17,24,10.469295522928132,7,14,23,30
2019-02-01,Desktop,3447061,8.0252066978816678,5,10,18,25,10.969080317720032,8,14,24,31
2019-03-01,Desktop,3435418,8.0901861666825354,5,10,18,26,10.987815158338954,8,14,24,31
2019-03-01,Mobile,4146466,7.7179481119334019,4,10,17,24,10.48754408575593,7,14,23,31
2019-04-01,Desktop,3946357,7.9812652434967548,5,10,18,25,11.191464021863196,8,15,25,32
2019-04-01,Mobile,4959085,7.5463523102250374,4,9,17,24,10.611404444853145,7,14,24,31
2019-05-01,Desktop,4093363,8.0898951423256822,5,10,18,26,11.220226278766733,8,15,25,32
2019-05-01,Mobile,5172794,7.6703545554157389,4,10,17,25,10.636358961550384,7,14,24,31
2019-06-01,Desktop,4076133,8.19493529650161,5,10,18,26,11.212085869643126,8,15,25,32
2019-06-01,Mobile,5141224,7.762407458771472,4,10,17,25,10.638759423343291,7,14,24,31
2019-07-01,Mobile,5297442,7.9014565291423651,4,10,17,25,10.76741103351319,7,14,24,31
2019-07-01,Desktop,4371973,8.20005004613497,5,10,18,26,11.32079869788552,8,15,25,32
2019-08-01,Mobile,5274891,7.9428617956708223,4,10,17,26,10.768937913211564,7,14,24,32
2019-08-01,Desktop,4353054,8.2487957280479289,5,10,18,26,11.344896962930388,8,15,25,33
2019-09-01,Mobile,5250124,8.0082968417564864,4,10,17,26,10.74682051858356,7,14,24,32
2019-09-01,Desktop,4340660,8.3216653366041342,5,10,18,26,11.308402339926968,8,15,25,33
2019-10-01,Desktop,4325231,8.1670425632020738,5,10,18,26,11.322703264461916,8,15,25,33
2019-10-01,Mobile,5226039,7.8280656212758677,4,9,17,25,10.768456031663266,7,14,24,32
